Geo_type,Geography,Year,Category,Value
State,Vermont,2020-2021,0 ACEs,0.598
State,Vermont,2020-2021,1 ACE,0.174
State,Vermont,2020-2021,2 or more ACEs,0.228
Country,US,2020-2021,0 ACEs,0.612
Country,US,2020-2021,1 ACE,0.216
Country,US,2020-2021,2 or more ACEs,0.172
State,Vermont,2019-2020,0 ACEs,0.61
State,Vermont,2019-2020,1 ACE,0.17
State,Vermont,2019-2020,2 or more ACEs,0.22
Country,US,2019-2020,0 ACEs,0.602
Country,US,2019-2020,1 ACE,0.217
Country,US,2019-2020,2 or more ACEs,0.181
State,Vermont,2018-2019,0 ACEs,0.587
State,Vermont,2018-2019,1 ACE,0.211
State,Vermont,2018-2019,2 or more ACEs,0.182
Country,US,2018-2019,0 ACEs,0.602
Country,US,2018-2019,1 ACE,0.216
Country,US,2018-2019,2 or more ACEs,0.182
State,Vermont,2017-2018,0 ACEs,0.565
State,Vermont,2017-2018,1 ACE,0.225
State,Vermont,2017-2018,2 or more ACEs,0.21
Country,US,2017-2018,0 ACEs,0.582
Country,US,2017-2018,1 ACE,0.233
Country,US,2017-2018,2 or more ACEs,0.186
State,Vermont,2016-2017,0 ACEs,0.558
State,Vermont,2016-2017,1 ACE,0.227
State,Vermont,2016-2017,2 or more ACEs,0.215
Country,US,2016-2017,0 ACEs,0.55
Country,US,2016-2017,1 ACE,0.246
Country,US,2016-2017,2 or more ACEs,0.205
