Geo type,Geography,Year,Category,Value
State,Vermont,2024,Individual,191
State,Vermont,2024,Household,325
State,Vermont,2023,Individual,258
State,Vermont,2023,Household,441
State,Vermont,2022,Individual,249
State,Vermont,2022,Household,428
State,Vermont,2021,Individual,191
State,Vermont,2021,Household,333
State,Vermont,2020,Individual,131
State,Vermont,2020,Household,228
State,Vermont,2019,Individual,121
State,Vermont,2019,Household,213
State,Vermont,2018,Individual,122
State,Vermont,2018,Household,220
State,Vermont,2017,Individual,127
State,Vermont,2017,Household,229
State,Vermont,2016,Individual,122
State,Vermont,2016,Household,227
State,Vermont,2015,Individual,120
State,Vermont,2015,Household,229
State,Vermont,2014,Individual,119
State,Vermont,2014,Household,227
