geo type,geography,year,category,value
AHSD,Barre District,2023-06,Infant,37
AHSD,Barre District,2023-06,Preschool,224
AHSD,Barre District,2023-06,School,182
AHSD,Barre District,2023-06,Toddler,57
AHSD,Bennington District,2023-06,Infant,105
AHSD,Bennington District,2023-06,Preschool,334
AHSD,Bennington District,2023-06,School,136
AHSD,Bennington District,2023-06,Toddler,85
AHSD,Brattleboro District,2023-06,Infant,65
AHSD,Brattleboro District,2023-06,Preschool,196
AHSD,Brattleboro District,2023-06,School,80
AHSD,Brattleboro District,2023-06,Toddler,57
AHSD,Burlington District,2023-06,Infant,218
AHSD,Burlington District,2023-06,Preschool,591
AHSD,Burlington District,2023-06,School,702
AHSD,Burlington District,2023-06,Toddler,166
AHSD,Hartford District,2023-06,Infant,57
AHSD,Hartford District,2023-06,Preschool,137
AHSD,Hartford District,2023-06,School,103
AHSD,Hartford District,2023-06,Toddler,30
AHSD,Middlebury District,2023-06,Infant,46
AHSD,Middlebury District,2023-06,Preschool,183
AHSD,Middlebury District,2023-06,School,229
AHSD,Middlebury District,2023-06,Toddler,44
AHSD,Morrisville District,2023-06,Infant,63
AHSD,Morrisville District,2023-06,Preschool,190
AHSD,Morrisville District,2023-06,School,138
AHSD,Morrisville District,2023-06,Toddler,43
AHSD,Newport District,2023-06,Infant,45
AHSD,Newport District,2023-06,Preschool,169
AHSD,Newport District,2023-06,School,138
AHSD,Newport District,2023-06,Toddler,52
AHSD,Rutland District,2023-06,Infant,124
AHSD,Rutland District,2023-06,Preschool,329
AHSD,Rutland District,2023-06,School,359
AHSD,Rutland District,2023-06,Toddler,102
AHSD,Springfield District,2023-06,Infant,63
AHSD,Springfield District,2023-06,Preschool,192
AHSD,Springfield District,2023-06,School,186
AHSD,Springfield District,2023-06,Toddler,52
AHSD,St. Albans District,2023-06,Infant,93
AHSD,St. Albans District,2023-06,Preschool,274
AHSD,St. Albans District,2023-06,School,250
AHSD,St. Albans District,2023-06,Toddler,69
AHSD,St. Johnsbury District,2023-06,Infant,110
AHSD,St. Johnsbury District,2023-06,Preschool,276
AHSD,St. Johnsbury District,2023-06,School,270
AHSD,St. Johnsbury District,2023-06,Toddler,83
AHSD,Barre District,2023-05,Infant,45
AHSD,Barre District,2023-05,Preschool,216
AHSD,Barre District,2023-05,School,135
AHSD,Barre District,2023-05,Toddler,51
AHSD,Bennington District,2023-05,Infant,99
AHSD,Bennington District,2023-05,Preschool,320
AHSD,Bennington District,2023-05,School,102
AHSD,Bennington District,2023-05,Toddler,86
AHSD,Brattleboro District,2023-05,Infant,67
AHSD,Brattleboro District,2023-05,Preschool,178
AHSD,Brattleboro District,2023-05,School,55
AHSD,Brattleboro District,2023-05,Toddler,56
AHSD,Burlington District,2023-05,Infant,213
AHSD,Burlington District,2023-05,Preschool,565
AHSD,Burlington District,2023-05,School,543
AHSD,Burlington District,2023-05,Toddler,161
AHSD,Hartford District,2023-05,Infant,53
AHSD,Hartford District,2023-05,Preschool,130
AHSD,Hartford District,2023-05,School,92
