geo type,geography,year,category,value
county,Addison,2023-06,Infant,46
county,Addison,2023-06,Preschool,183
county,Addison,2023-06,School,229
county,Addison,2023-06,Toddler,44
county,Bennington,2023-06,Infant,105
county,Bennington,2023-06,Preschool,334
county,Bennington,2023-06,School,136
county,Bennington,2023-06,Toddler,85
county,Caledonia,2023-06,Infant,96
county,Caledonia,2023-06,Preschool,246
county,Caledonia,2023-06,School,249
county,Caledonia,2023-06,Toddler,75
county,Chittenden,2023-06,Infant,218
county,Chittenden,2023-06,Preschool,591
county,Chittenden,2023-06,School,702
county,Chittenden,2023-06,Toddler,166
county,Essex,2023-06,Infant,*
county,Essex,2023-06,Preschool,41
county,Essex,2023-06,School,24
county,Essex,2023-06,Toddler,*
county,Franklin,2023-06,Infant,83
county,Franklin,2023-06,Preschool,238
county,Franklin,2023-06,School,225
county,Franklin,2023-06,Toddler,62
county,Grand Isle,2023-06,Infant,*
county,Grand Isle,2023-06,Preschool,36
county,Grand Isle,2023-06,School,25
county,Grand Isle,2023-06,Toddler,*
county,Lamoille,2023-06,Infant,53
county,Lamoille,2023-06,Preschool,162
county,Lamoille,2023-06,School,128
county,Lamoille,2023-06,Toddler,37
county,Orange,2023-06,Infant,39
county,Orange,2023-06,Preschool,102
county,Orange,2023-06,School,67
county,Orange,2023-06,Toddler,26
county,Orleans,2023-06,Infant,49
county,Orleans,2023-06,Preschool,172
county,Orleans,2023-06,School,138
county,Orleans,2023-06,Toddler,52
county,Rutland,2023-06,Infant,124
county,Rutland,2023-06,Preschool,329
county,Rutland,2023-06,School,359
county,Rutland,2023-06,Toddler,102
county,Washington,2023-06,Infant,31
county,Washington,2023-06,Preschool,206
county,Washington,2023-06,School,164
county,Washington,2023-06,Toddler,48
county,Windham,2023-06,Infant,85
county,Windham,2023-06,Preschool,243
county,Windham,2023-06,School,105
county,Windham,2023-06,Toddler,69
county,Windsor,2023-06,Infant,74
county,Windsor,2023-06,Preschool,212
county,Windsor,2023-06,School,222
county,Windsor,2023-06,Toddler,57
county,Addison,2023-05,Infant,50
county,Addison,2023-05,Preschool,175
county,Addison,2023-05,School,160
county,Addison,2023-05,Toddler,40
county,Bennington,2023-05,Infant,99
county,Bennington,2023-05,Preschool,320
county,Bennington,2023-05,School,102
county,Bennington,2023-05,Toddler,86
county,Caledonia,2023-05,Infant,92
county,Caledonia,2023-05,Preschool,235
county,Caledonia,2023-05,School,234
county,Caledonia,2023-05,Toddler,75
county,Chittenden,2023-05,Infant,213
county,Chittenden,2023-05,Preschool,565
county,Chittenden,2023-05,School,543
county,Chittenden,2023-05,Toddler,161
county,Essex,2023-05,Infant,*
county,Essex,2023-05,Preschool,37
county,Essex,2023-05,School,21
county,Essex,2023-05,Toddler,*
county,Franklin,2023-05,Infant,88
county,Franklin,2023-05,Preschool,227
county,Franklin,2023-05,School,198
county,Franklin,2023-05,Toddler,58
