geo type,geography,year,category,value
AHSD,Barre District,2023-06,None of the above,0
AHSD,Barre District,2023-06,Qualified Immigrant,*
AHSD,Barre District,2023-06,US Citizen,436
AHSD,Barre District,2023-06,Unreported,*
AHSD,Bennington District,2023-06,None of the above,0
AHSD,Bennington District,2023-06,Qualified Immigrant,*
AHSD,Bennington District,2023-06,US Citizen,550
AHSD,Bennington District,2023-06,Unreported,*
AHSD,Brattleboro District,2023-06,None of the above,*
AHSD,Brattleboro District,2023-06,Qualified Immigrant,*
AHSD,Brattleboro District,2023-06,US Citizen,363
AHSD,Brattleboro District,2023-06,Unreported,31
AHSD,Burlington District,2023-06,None of the above,*
AHSD,Burlington District,2023-06,Qualified Immigrant,*
AHSD,Burlington District,2023-06,US Citizen,1436
AHSD,Burlington District,2023-06,Unreported,216
AHSD,Hartford District,2023-06,None of the above,0
AHSD,Hartford District,2023-06,Qualified Immigrant,0
AHSD,Hartford District,2023-06,US Citizen,298
AHSD,Hartford District,2023-06,Unreported,29
AHSD,Middlebury District,2023-06,None of the above,0
AHSD,Middlebury District,2023-06,Qualified Immigrant,*
AHSD,Middlebury District,2023-06,US Citizen,446
AHSD,Middlebury District,2023-06,Unreported,*
AHSD,Morrisville District,2023-06,None of the above,0
AHSD,Morrisville District,2023-06,Qualified Immigrant,*
AHSD,Morrisville District,2023-06,US Citizen,368
AHSD,Morrisville District,2023-06,Unreported,*
AHSD,Newport District,2023-06,None of the above,0
AHSD,Newport District,2023-06,Qualified Immigrant,0
AHSD,Newport District,2023-06,US Citizen,354
AHSD,Newport District,2023-06,Unreported,50
AHSD,Rutland District,2023-06,None of the above,0
AHSD,Rutland District,2023-06,Qualified Immigrant,*
AHSD,Rutland District,2023-06,US Citizen,820
AHSD,Rutland District,2023-06,Unreported,*
AHSD,Springfield District,2023-06,None of the above,0
AHSD,Springfield District,2023-06,Qualified Immigrant,0
AHSD,Springfield District,2023-06,US Citizen,450
AHSD,Springfield District,2023-06,Unreported,43
AHSD,St. Albans District,2023-06,None of the above,*
AHSD,St. Albans District,2023-06,Qualified Immigrant,0
AHSD,St. Albans District,2023-06,US Citizen,615
AHSD,St. Albans District,2023-06,Unreported,*
