geo type,geography,year,category,value
county,Addison,2023-06,None of the above,0
county,Addison,2023-06,Qualified Immigrant,*
county,Addison,2023-06,US Citizen,446
county,Addison,2023-06,Unreported,*
county,Bennington,2023-06,None of the above,0
county,Bennington,2023-06,Qualified Immigrant,*
county,Bennington,2023-06,US Citizen,550
county,Bennington,2023-06,Unreported,*
county,Caledonia,2023-06,None of the above,0
county,Caledonia,2023-06,Qualified Immigrant,*
county,Caledonia,2023-06,US Citizen,596
county,Caledonia,2023-06,Unreported,*
county,Chittenden,2023-06,None of the above,*
county,Chittenden,2023-06,Qualified Immigrant,*
county,Chittenden,2023-06,US Citizen,1436
county,Chittenden,2023-06,Unreported,216
county,Essex,2023-06,None of the above,0
county,Essex,2023-06,Qualified Immigrant,0
county,Essex,2023-06,US Citizen,*
county,Essex,2023-06,Unreported,*
county,Franklin,2023-06,None of the above,*
county,Franklin,2023-06,Qualified Immigrant,0
county,Franklin,2023-06,US Citizen,548
county,Franklin,2023-06,Unreported,*
county,Grand Isle,2023-06,None of the above,0
county,Grand Isle,2023-06,Qualified Immigrant,0
county,Grand Isle,2023-06,US Citizen,*
county,Grand Isle,2023-06,Unreported,11
county,Lamoille,2023-06,None of the above,0
county,Lamoille,2023-06,Qualified Immigrant,*
county,Lamoille,2023-06,US Citizen,323
county,Lamoille,2023-06,Unreported,*
county,Orange,2023-06,None of the above,0
county,Orange,2023-06,Qualified Immigrant,0
county,Orange,2023-06,US Citizen,215
county,Orange,2023-06,Unreported,19
county,Orleans,2023-06,None of the above,0
county,Orleans,2023-06,Qualified Immigrant,0
county,Orleans,2023-06,US Citizen,359
county,Orleans,2023-06,Unreported,52
county,Rutland,2023-06,None of the above,0
county,Rutland,2023-06,Qualified Immigrant,*
county,Rutland,2023-06,US Citizen,820
county,Rutland,2023-06,Unreported,*
county,Washington,2023-06,None of the above,0
county,Washington,2023-06,Qualified Immigrant,*
county,Washington,2023-06,US Citizen,392
county,Washington,2023-06,Unreported,*
county,Windham,2023-06,None of the above,*
county,Windham,2023-06,Qualified Immigrant,*
county,Windham,2023-06,US Citizen,460
county,Windham,2023-06,Unreported,38
county,Windsor,2023-06,None of the above,0
county,Windsor,2023-06,Qualified Immigrant,0
county,Windsor,2023-06,US Citizen,512
county,Windsor,2023-06,Unreported,53
county,Addison,2023-05,None of the above,0
county,Addison,2023-05,Qualified Immigrant,*
county,Addison,2023-05,US Citizen,369
county,Addison,2023-05,Unreported,*
county,Bennington,2023-05,None of the above,0
county,Bennington,2023-05,Qualified Immigrant,*
county,Bennington,2023-05,US Citizen,503
county,Bennington,2023-05,Unreported,*
county,Caledonia,2023-05,None of the above,0
county,Caledonia,2023-05,Qualified Immigrant,0
county,Caledonia,2023-05,US Citizen,569
county,Caledonia,2023-05,Unreported,67
county,Chittenden,2023-05,None of the above,*
county,Chittenden,2023-05,Qualified Immigrant,*
county,Chittenden,2023-05,US Citizen,1259
county,Chittenden,2023-05,Unreported,203
county,Essex,2023-05,None of the above,0
county,Essex,2023-05,Qualified Immigrant,0
county,Essex,2023-05,US Citizen,*
county,Essex,2023-05,Unreported,*
county,Franklin,2023-05,None of the above,*
county,Franklin,2023-05,Qualified Immigrant,0
county,Franklin,2023-05,US Citizen,514
county,Franklin,2023-05,Unreported,*
county,Grand Isle,2023-05,None of the above,0
county,Grand Isle,2023-05,Qualified Immigrant,0
county,Grand Isle,2023-05,US Citizen,*
county,Grand Isle,2023-05,Unreported,12
county,Lamoille,2023-05,None of the above,0
county,Lamoille,2023-05,Qualified Immigrant,*
county,Lamoille,2023-05,US Citizen,302
county,Lamoille,2023-05,Unreported,*
county,Orange,2023-05,None of the above,0
county,Orange,2023-05,Qualified Immigrant,0
county,Orange,2023-05,US Citizen,201
county,Orange,2023-05,Unreported,20
county,Orleans,2023-05,None of the above,0
county,Orleans,2023-05,Qualified Immigrant,0
county,Orleans,2023-05,US Citizen,355
county,Orleans,2023-05,Unreported,57
county,Rutland,2023-05,None of the above,0
county,Rutland,2023-05,Qualified Immigrant,*
county,Rutland,2023-05,US Citizen,733
county,Rutland,2023-05,Unreported,*
county,Washington,2023-05,None of the above,0
county,Washington,2023-05,Qualified Immigrant,*
county,Washington,2023-05,US Citizen,347
county,Washington,2023-05,Unreported,*
county,Windham,2023-05,None of the above,*
county,Windham,2023-05,Qualified Immigrant,*
county,Windham,2023-05,US Citizen,406
county,Windham,2023-05,Unreported,39
county,Windsor,2023-05,None of the above,0
county,Windsor,2023-05,Qualified Immigrant,0
county,Windsor,2023-05,US Citizen,465
county,Windsor,2023-05,Unreported,58
county,Addison,2023-04,None of the above,0
county,Addison,2023-04,Qualified Immigrant,*
county,Addison,2023-04,US Citizen,371
county,Addison,2023-04,Unreported,*
county,Bennington,2023-04,None of the above,0
county,Bennington,2023-04,Qualified Immigrant,*
county,Bennington,2023-04,US Citizen,496
county,Bennington,2023-04,Unreported,*
county,Caledonia,2023-04,None of the above,0
county,Caledonia,2023-04,Qualified Immigrant,0
county,Caledonia,2023-04,US Citizen,559
county,Caledonia,2023-04,Unreported,71
county,Chittenden,2023-04,None of the above,*
county,Chittenden,2023-04,Qualified Immigrant,*
county,Chittenden,2023-04,US Citizen,1256
county,Chittenden,2023-04,Unreported,240
county,Essex,2023-04,None of the above,0
county,Essex,2023-04,Qualified Immigrant,0
county,Essex,2023-04,US Citizen,*
county,Essex,2023-04,Unreported,*
county,Franklin,2023-04,None of the above,*
county,Franklin,2023-04,Qualified Immigrant,0
county,Franklin,2023-04,US Citizen,516
county,Franklin,2023-04,Unreported,*
county,Grand Isle,2023-04,None of the above,0
county,Grand Isle,2023-04,Qualified Immigrant,0
county,Grand Isle,2023-04,US Citizen,*
county,Grand Isle,2023-04,Unreported,13
county,Lamoille,2023-04,None of the above,0
county,Lamoille,2023-04,Qualified Immigrant,*
county,Lamoille,2023-04,US Citizen,294
county,Lamoille,2023-04,Unreported,*
county,Orange,2023-04,None of the above,0
county,Orange,2023-04,Qualified Immigrant,*
county,Orange,2023-04,US Citizen,199
county,Orange,2023-04,Unreported,*
county,Orleans,2023-04,None of the above,0
county,Orleans,2023-04,Qualified Immigrant,0
county,Orleans,2023-04,US Citizen,366
county,Orleans,2023-04,Unreported,58
county,Rutland,2023-04,None of the above,0
county,Rutland,2023-04,Qualified Immigrant,*
county,Rutland,2023-04,US Citizen,729
county,Rutland,2023-04,Unreported,*
county,Washington,2023-04,None of the above,0
county,Washington,2023-04,Qualified Immigrant,*
county,Washington,2023-04,US Citizen,339
county,Washington,2023-04,Unreported,*
county,Windham,2023-04,None of the above,*
county,Windham,2023-04,Qualified Immigrant,*
county,Windham,2023-04,US Citizen,412
county,Windham,2023-04,Unreported,47
county,Windsor,2023-04,None of the above,0
county,Windsor,2023-04,Qualified Immigrant,0
county,Windsor,2023-04,US Citizen,463
county,Windsor,2023-04,Unreported,71
county,Addison,2023-03,None of the above,0
county,Addison,2023-03,Qualified Immigrant,*
county,Addison,2023-03,US Citizen,358
county,Addison,2023-03,Unreported,*
county,Bennington,2023-03,None of the above,0
county,Bennington,2023-03,Qualified Immigrant,*
county,Bennington,2023-03,US Citizen,471
county,Bennington,2023-03,Unreported,*
county,Caledonia,2023-03,None of the above,0
county,Caledonia,2023-03,Qualified Immigrant,0
county,Caledonia,2023-03,US Citizen,540
county,Caledonia,2023-03,Unreported,76
county,Chittenden,2023-03,None of the above,*
county,Chittenden,2023-03,Qualified Immigrant,*
county,Chittenden,2023-03,US Citizen,1200
county,Chittenden,2023-03,Unreported,257
county,Essex,2023-03,None of the above,0
county,Essex,2023-03,Qualified Immigrant,0
county,Essex,2023-03,US Citizen,*
county,Essex,2023-03,Unreported,*
county,Franklin,2023-03,None of the above,*
county,Franklin,2023-03,Qualified Immigrant,0
county,Franklin,2023-03,US Citizen,478
county,Franklin,2023-03,Unreported,*
county,Grand Isle,2023-03,None of the above,0
county,Grand Isle,2023-03,Qualified Immigrant,0
county,Grand Isle,2023-03,US Citizen,*
county,Grand Isle,2023-03,Unreported,16
county,Lamoille,2023-03,None of the above,0
county,Lamoille,2023-03,Qualified Immigrant,*
county,Lamoille,2023-03,US Citizen,289
