Month.Year,County,None of the above,Qualified Immigrant,US Citizen,Unreported
2023-06-01,Addison,0,*,446,*
2023-06-01,Bennington,0,*,550,*
2023-06-01,Caledonia,0,*,596,*
2023-06-01,Chittenden,*,*,1436,216
2023-06-01,Essex,0,0,*,*
2023-06-01,Franklin,*,0,548,*
2023-06-01,Grand Isle,0,0,67,11
2023-06-01,Lamoille,0,*,323,*
2023-06-01,Orange,0,0,215,19
2023-06-01,Orleans,0,0,359,52
2023-06-01,Rutland,0,*,820,*
2023-06-01,Washington,0,*,392,*
2023-06-01,Windham,*,*,460,38
2023-06-01,Windsor,0,0,512,53
2023-05-01,Addison,0,*,369,*
2023-05-01,Bennington,0,*,503,*
2023-05-01,Caledonia,0,0,569,67
2023-05-01,Chittenden,*,*,1259,203
2023-05-01,Essex,0,0,*,*
2023-05-01,Franklin,*,0,514,*
2023-05-01,Grand Isle,0,0,56,12
2023-05-01,Lamoille,0,*,302,*
2023-05-01,Orange,0,0,201,20
2023-05-01,Orleans,0,0,355,57
2023-05-01,Rutland,0,*,733,*
2023-05-01,Washington,0,*,347,*
2023-05-01,Windham,*,*,406,39
2023-05-01,Windsor,0,0,465,58
2023-04-01,Addison,0,*,371,*
2023-04-01,Bennington,0,*,496,*
2023-04-01,Caledonia,0,0,559,71
2023-04-01,Chittenden,*,*,1256,240
2023-04-01,Essex,0,0,*,*
2023-04-01,Franklin,*,0,516,*
2023-04-01,Grand Isle,0,0,49,13
2023-04-01,Lamoille,0,*,294,*
2023-04-01,Orange,0,*,199,*
2023-04-01,Orleans,0,0,366,58
2023-04-01,Rutland,0,*,729,*
2023-04-01,Washington,0,*,339,*
2023-04-01,Windham,*,*,412,47
2023-04-01,Windsor,0,0,463,71
2023-03-01,Addison,0,*,358,*
2023-03-01,Bennington,0,*,471,*
2023-03-01,Caledonia,0,0,540,76
2023-03-01,Chittenden,*,*,1200,257
2023-03-01,Essex,0,0,*,*
2023-03-01,Franklin,*,0,478,*
2023-03-01,Grand Isle,0,0,48,16
2023-03-01,Lamoille,0,*,289,*
2023-03-01,Orange,0,*,192,*
2023-03-01,Orleans,0,0,348,69
2023-03-01,Rutland,0,0,717,110
2023-03-01,Washington,0,*,321,*
2023-03-01,Windham,*,*,391,57
2023-03-01,Windsor,0,0,431,85
2023-02-01,Addison,0,*,334,*
2023-02-01,Bennington,0,*,460,*
2023-02-01,Caledonia,0,0,532,83
2023-02-01,Chittenden,*,*,1109,314
2023-02-01,Essex,0,0,70,13
2023-02-01,Franklin,*,0,459,*
2023-02-01,Grand Isle,0,0,48,19
2023-02-01,Lamoille,0,*,284,*
2023-02-01,Orange,0,*,184,*
2023-02-01,Orleans,0,0,325,84
2023-02-01,Rutland,0,0,729,122
2023-02-01,Washington,0,*,305,*
2023-02-01,Windham,*,*,373,62
2023-02-01,Windsor,0,0,419,99
2023-01-01,Addison,0,*,334,*
2023-01-01,Bennington,0,*,460,*
2023-01-01,Caledonia,0,0,532,111
2023-01-01,Chittenden,*,*,1109,387
2023-01-01,Essex,0,0,70,15
2023-01-01,Franklin,*,0,459,*
2023-01-01,Grand Isle,0,0,48,18
2023-01-01,Lamoille,0,*,284,*
2023-01-01,Orange,0,*,184,*
2023-01-01,Orleans,0,0,325,100
2023-01-01,Rutland,0,0,729,133
2023-01-01,Washington,0,*,305,*
2023-01-01,Windham,*,*,373,76
2023-01-01,Windsor,0,0,419,118
2022-12-01,Addison,0,*,302,*
2022-12-01,Bennington,0,*,411,*
2022-12-01,Caledonia,0,0,462,147
2022-12-01,Chittenden,0,18,923,456
2022-12-01,Essex,0,0,51,20
2022-12-01,Franklin,*,0,424,*
2022-12-01,Grand Isle,0,0,45,19
2022-12-01,Lamoille,0,*,233,*
2022-12-01,Orange,0,*,155,*
2022-12-01,Orleans,0,0,281,119
2022-12-01,Rutland,0,0,690,161
2022-12-01,Washington,0,*,243,*
2022-12-01,Windham,*,*,327,87
2022-12-01,Windsor,0,0,366,136
2022-11-01,Addison,0,*,301,*
2022-11-01,Bennington,0,*,399,*
2022-11-01,Caledonia,0,0,414,178
2022-11-01,Chittenden,0,20,889,487
2022-11-01,Essex,0,0,50,23
2022-11-01,Franklin,*,0,421,*
2022-11-01,Grand Isle,0,0,44,22
2022-11-01,Lamoille,0,*,225,*
2022-11-01,Orange,0,*,154,*
2022-11-01,Orleans,0,0,267,126
2022-11-01,Rutland,0,0,682,176
2022-11-01,Washington,0,*,238,*
2022-11-01,Windham,*,*,317,94
2022-11-01,Windsor,0,0,364,146
2022-10-01,Addison,0,*,289,*
2022-10-01,Bennington,0,*,377,*
2022-10-01,Caledonia,0,0,383,203
2022-10-01,Chittenden,0,18,830,521
2022-10-01,Essex,0,0,47,25
2022-10-01,Franklin,*,0,399,*
2022-10-01,Grand Isle,0,0,42,24
2022-10-01,Lamoille,0,*,204,*
2022-10-01,Orange,0,*,138,*
2022-10-01,Orleans,0,0,253,144
2022-10-01,Rutland,0,0,640,193
2022-10-01,Washington,0,*,228,*
2022-10-01,Windham,*,*,294,120
2022-10-01,Windsor,0,0,347,160
2022-09-01,Addison,0,*,281,*
2022-09-01,Bennington,0,*,371,*
2022-09-01,Caledonia,0,0,345,253
2022-09-01,Chittenden,0,18,733,643
2022-09-01,Essex,0,0,40,30
2022-09-01,Franklin,*,*,364,216
2022-09-01,Grand Isle,0,0,40,29
2022-09-01,Lamoille,0,*,163,*
2022-09-01,Orange,0,*,134,*
2022-09-01,Orleans,0,0,238,161
2022-09-01,Rutland,0,0,619,224
2022-09-01,Washington,0,*,208,*
2022-09-01,Windham,*,*,285,151
2022-09-01,Windsor,0,0,329,203
2022-08-01,Addison,0,*,330,*
2022-08-01,Bennington,0,*,366,*
2022-08-01,Caledonia,0,*,*,325
2022-08-01,Chittenden,*,*,612,871
2022-08-01,Essex,0,0,31,33
2022-08-01,Franklin,0,*,330,*
2022-08-01,Grand Isle,0,0,36,38
2022-08-01,Lamoille,0,*,*,216
2022-08-01,Orange,0,*,141,*
2022-08-01,Orleans,0,0,234,182
2022-08-01,Rutland,0,*,643,*
2022-08-01,Washington,0,*,233,*
2022-08-01,Windham,*,*,253,206
2022-08-01,Windsor,0,*,300,*
2022-07-01,Addison,0,*,266,*
2022-07-01,Bennington,0,*,327,*
2022-07-01,Caledonia,0,*,*,364
2022-07-01,Chittenden,*,*,401,967
2022-07-01,Essex,0,0,26,39
2022-07-01,Franklin,0,*,*,303
2022-07-01,Grand Isle,0,0,35,37
2022-07-01,Lamoille,0,*,*,230
2022-07-01,Orange,0,*,112,*
2022-07-01,Orleans,0,0,182,204
2022-07-01,Rutland,0,*,567,*
2022-07-01,Washington,0,*,*,215
2022-07-01,Windham,0,*,*,250
2022-07-01,Windsor,0,*,*,316
