Month.Year,AHS District,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2023-06-01,Barre District,*,0,444,*,32
2023-06-01,Bennington District,*,0,543,*,94
2023-06-01,Brattleboro District,31,*,271,*,87
2023-06-01,Burlington District,43,*,1394,*,231
2023-06-01,Hartford District,*,0,279,*,37
2023-06-01,Middlebury District,*,0,380,*,102
2023-06-01,Morrisville District,*,0,409,*,17
2023-06-01,Newport District,*,*,362,*,34
2023-06-01,Rutland District,*,0,827,*,55
2023-06-01,Springfield District,36,0,423,*,*
2023-06-01,St. Albans District,*,0,580,*,81
2023-06-01,St. Johnsbury District,*,0,643,*,69
2023-05-01,Barre District,*,0,393,*,31
2023-05-01,Bennington District,*,0,501,*,87
2023-05-01,Brattleboro District,26,*,241,*,80
2023-05-01,Burlington District,39,*,1244,*,188
2023-05-01,Hartford District,*,0,261,*,35
2023-05-01,Middlebury District,*,0,326,*,83
2023-05-01,Morrisville District,*,0,386,*,16
2023-05-01,Newport District,*,*,365,*,35
2023-05-01,Rutland District,*,0,745,*,51
2023-05-01,Springfield District,29,0,393,*,*
2023-05-01,St. Albans District,*,0,538,*,75
2023-05-01,St. Johnsbury District,*,0,613,*,65
2023-04-01,Barre District,*,0,388,*,29
2023-04-01,Bennington District,*,0,515,*,76
2023-04-01,Brattleboro District,27,*,246,*,84
2023-04-01,Burlington District,40,*,1291,*,175
2023-04-01,Hartford District,*,0,271,*,34
2023-04-01,Middlebury District,*,0,341,*,80
2023-04-01,Morrisville District,*,0,387,*,17
2023-04-01,Newport District,*,*,376,*,37
2023-04-01,Rutland District,*,0,769,*,40
2023-04-01,Springfield District,*,0,401,*,30
2023-04-01,St. Albans District,*,0,536,*,74
2023-04-01,St. Johnsbury District,*,0,607,*,68
2023-03-01,Barre District,*,0,377,*,27
2023-03-01,Bennington District,*,0,496,*,72
2023-03-01,Brattleboro District,27,*,238,*,81
2023-03-01,Burlington District,41,*,1264,*,162
2023-03-01,Hartford District,*,0,266,*,32
2023-03-01,Middlebury District,*,0,336,*,73
2023-03-01,Morrisville District,*,0,377,*,17
2023-03-01,Newport District,*,0,378,*,33
2023-03-01,Rutland District,*,0,755,*,41
2023-03-01,Springfield District,28,0,396,*,*
2023-03-01,St. Albans District,*,0,525,*,66
2023-03-01,St. Johnsbury District,*,0,597,*,62
2023-02-01,Barre District,*,0,378,*,19
2023-02-01,Bennington District,*,0,507,*,66
2023-02-01,Brattleboro District,*,0,236,*,73
2023-02-01,Burlington District,38,*,1250,*,145
2023-02-01,Hartford District,*,0,269,*,26
2023-02-01,Middlebury District,*,0,338,*,66
2023-02-01,Morrisville District,*,0,381,*,16
2023-02-01,Newport District,*,0,373,*,32
2023-02-01,Rutland District,*,0,778,*,41
2023-02-01,Springfield District,28,0,401,*,*
2023-02-01,St. Albans District,*,0,528,*,63
2023-02-01,St. Johnsbury District,*,0,595,*,65
2023-01-01,Barre District,*,0,366,*,17
2023-01-01,Bennington District,*,0,493,*,57
2023-01-01,Brattleboro District,*,0,231,*,72
2023-01-01,Burlington District,38,*,1236,*,135
2023-01-01,Hartford District,*,0,254,*,24
2023-01-01,Middlebury District,10,0,332,0,55
2023-01-01,Morrisville District,*,0,364,*,13
2023-01-01,Newport District,*,0,376,*,31
2023-01-01,Rutland District,*,0,785,*,35
2023-01-01,Springfield District,25,0,392,*,*
2023-01-01,St. Albans District,*,0,533,*,58
2023-01-01,St. Johnsbury District,*,0,608,*,56
2022-12-01,Barre District,*,0,365,*,13
2022-12-01,Bennington District,*,0,497,*,54
2022-12-01,Brattleboro District,*,0,232,*,67
2022-12-01,Burlington District,*,0,1236,*,119
2022-12-01,Hartford District,*,0,259,0,*
2022-12-01,Middlebury District,10,0,328,0,52
2022-12-01,Morrisville District,*,0,368,*,10
2022-12-01,Newport District,*,0,370,*,24
2022-12-01,Rutland District,*,0,791,*,27
2022-12-01,Springfield District,22,0,391,*,*
2022-12-01,St. Albans District,*,0,548,*,58
2022-12-01,St. Johnsbury District,*,0,592,*,55
2022-11-01,Barre District,*,0,364,*,14
2022-11-01,Bennington District,*,0,498,*,51
2022-11-01,Brattleboro District,*,0,232,*,62
2022-11-01,Burlington District,*,0,1238,*,115
2022-11-01,Hartford District,*,0,262,0,*
2022-11-01,Middlebury District,10,0,335,0,48
2022-11-01,Morrisville District,*,0,370,*,10
2022-11-01,Newport District,*,0,367,*,20
2022-11-01,Rutland District,*,0,800,*,26
2022-11-01,Springfield District,21,0,400,*,*
2022-11-01,St. Albans District,*,0,570,*,54
2022-11-01,St. Johnsbury District,*,0,585,*,46
2022-10-01,Barre District,*,0,365,*,12
2022-10-01,Bennington District,*,0,497,*,46
2022-10-01,Brattleboro District,*,0,239,*,60
2022-10-01,Burlington District,*,0,1215,*,113
2022-10-01,Hartford District,*,0,259,0,*
2022-10-01,Middlebury District,10,0,328,0,46
2022-10-01,Morrisville District,*,0,371,*,10
2022-10-01,Newport District,*,0,371,*,20
2022-10-01,Rutland District,*,0,786,*,22
2022-10-01,Springfield District,18,0,401,*,*
2022-10-01,St. Albans District,*,0,575,*,55
