Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2023-06-01,Addison,*,0,380,*,102
2023-06-01,Bennington,*,0,543,*,94
2023-06-01,Caledonia,*,0,576,*,64
2023-06-01,Chittenden,43,*,1394,*,231
2023-06-01,Essex,0,0,81,*,*
2023-06-01,Franklin,*,0,514,*,70
2023-06-01,Grand Isle,*,0,66,0,*
2023-06-01,Lamoille,*,0,356,*,16
2023-06-01,Orange,*,0,212,*,15
2023-06-01,Orleans,*,*,371,*,32
2023-06-01,Rutland,*,0,827,*,55
2023-06-01,Washington,*,0,396,*,31
2023-06-01,Windham,37,*,360,*,94
2023-06-01,Windsor,*,0,479,*,47
2023-05-01,Addison,*,0,326,*,83
2023-05-01,Bennington,*,0,501,*,87
2023-05-01,Caledonia,*,0,549,*,61
2023-05-01,Chittenden,39,*,1244,*,188
2023-05-01,Essex,0,0,78,*,*
2023-05-01,Franklin,*,0,481,*,65
2023-05-01,Grand Isle,*,0,57,0,*
2023-05-01,Lamoille,*,0,338,*,15
2023-05-01,Orange,*,0,201,*,14
2023-05-01,Orleans,*,*,372,*,34
2023-05-01,Rutland,*,0,745,*,51
2023-05-01,Washington,*,0,348,*,30
2023-05-01,Windham,32,*,320,*,86
2023-05-01,Windsor,*,0,446,*,46
2023-04-01,Addison,*,0,341,*,80
2023-04-01,Bennington,*,0,515,*,76
2023-04-01,Caledonia,*,0,541,*,65
2023-04-01,Chittenden,40,*,1291,*,175
2023-04-01,Essex,0,0,78,*,*
2023-04-01,Franklin,*,0,485,*,64
2023-04-01,Grand Isle,*,0,51,0,*
2023-04-01,Lamoille,*,0,341,*,16
2023-04-01,Orange,*,0,207,*,14
2023-04-01,Orleans,*,*,381,*,36
2023-04-01,Rutland,*,0,769,*,40
2023-04-01,Washington,*,0,343,*,28
2023-04-01,Windham,33,*,329,*,90
2023-04-01,Windsor,*,0,456,*,46
2023-03-01,Addison,*,0,336,*,73
2023-03-01,Bennington,*,0,496,*,72
2023-03-01,Caledonia,*,0,532,*,61
2023-03-01,Chittenden,41,*,1264,*,162
2023-03-01,Essex,0,0,79,*,*
2023-03-01,Franklin,*,0,469,*,59
2023-03-01,Grand Isle,*,0,56,0,*
2023-03-01,Lamoille,*,0,335,*,16
2023-03-01,Orange,*,0,207,*,14
2023-03-01,Orleans,*,0,379,*,32
2023-03-01,Rutland,*,0,755,*,41
2023-03-01,Washington,*,0,330,*,26
2023-03-01,Windham,33,*,321,*,87
2023-03-01,Windsor,*,0,446,*,40
2023-02-01,Addison,*,0,338,*,66
2023-02-01,Bennington,*,0,507,*,66
2023-02-01,Caledonia,*,0,530,*,64
2023-02-01,Chittenden,38,*,1250,*,145
2023-02-01,Essex,0,0,81,*,*
2023-02-01,Franklin,*,0,469,*,56
2023-02-01,Grand Isle,*,0,59,0,*
2023-02-01,Lamoille,*,0,338,*,15
2023-02-01,Orange,*,0,206,*,12
2023-02-01,Orleans,*,0,371,*,32
2023-02-01,Rutland,*,0,778,*,41
2023-02-01,Washington,*,0,334,*,18
