Month.Year,AHS District,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2023-06-01,Barre District,*,273,0,*,0,0
2023-06-01,Bennington District,330,330,0,0,0,0
2023-06-01,Brattleboro District,193,202,0,*,*,0
2023-06-01,Burlington District,872,*,0,*,0,0
2023-06-01,Hartford District,*,168,0,*,0,0
2023-06-01,Middlebury District,249,251,*,*,0,0
2023-06-01,Morrisville District,223,211,0,0,0,0
2023-06-01,Newport District,180,224,0,0,0,0
2023-06-01,Rutland District,457,*,0,*,0,0
2023-06-01,Springfield District,250,243,0,0,0,0
2023-06-01,St. Albans District,*,345,0,*,0,0
2023-06-01,St. Johnsbury District,387,*,0,*,0,0
2023-05-01,Barre District,*,248,0,*,0,0
2023-05-01,Bennington District,302,305,0,0,0,0
2023-05-01,Brattleboro District,*,180,0,*,0,0
2023-05-01,Burlington District,774,*,0,*,0,0
2023-05-01,Hartford District,*,157,0,*,0,0
2023-05-01,Middlebury District,216,207,*,*,0,0
2023-05-01,Morrisville District,210,200,0,0,0,0
2023-05-01,Newport District,187,219,0,0,0,0
2023-05-01,Rutland District,*,413,0,*,0,0
2023-05-01,Springfield District,230,225,0,0,0,0
2023-05-01,St. Albans District,*,320,0,*,0,0
2023-05-01,St. Johnsbury District,367,*,0,*,0,0
2023-04-01,Barre District,*,242,0,*,0,0
2023-04-01,Bennington District,301,311,0,0,0,0
2023-04-01,Brattleboro District,175,191,0,0,0,0
2023-04-01,Burlington District,788,*,0,*,0,0
2023-04-01,Hartford District,*,163,0,*,0,0
2023-04-01,Middlebury District,219,212,*,*,0,0
2023-04-01,Morrisville District,212,199,0,0,0,0
2023-04-01,Newport District,196,224,0,0,0,0
2023-04-01,Rutland District,*,418,0,*,0,0
2023-04-01,Springfield District,236,229,0,0,0,0
2023-04-01,St. Albans District,*,316,0,*,0,0
2023-04-01,St. Johnsbury District,363,*,0,*,0,0
2023-03-01,Barre District,*,233,0,*,0,0
2023-03-01,Bennington District,293,296,0,0,0,0
2023-03-01,Brattleboro District,170,185,0,0,0,0
2023-03-01,Burlington District,776,*,0,*,0,0
2023-03-01,Hartford District,*,160,0,*,0,0
2023-03-01,Middlebury District,206,213,*,*,0,0
2023-03-01,Morrisville District,202,199,0,0,0,0
2023-03-01,Newport District,195,222,0,0,0,0
2023-03-01,Rutland District,419,408,0,0,0,0
2023-03-01,Springfield District,229,225,0,0,0,0
2023-03-01,St. Albans District,*,308,0,*,0,0
2023-03-01,St. Johnsbury District,354,*,0,*,0,0
2023-02-01,Barre District,*,229,0,*,0,0
2023-02-01,Bennington District,295,298,0,0,0,0
2023-02-01,Brattleboro District,166,178,0,0,0,0
2023-02-01,Burlington District,764,*,0,*,0,0
2023-02-01,Hartford District,*,158,0,*,0,0
2023-02-01,Middlebury District,*,211,0,*,0,0
2023-02-01,Morrisville District,208,196,0,0,0,0
2023-02-01,Newport District,193,218,0,0,0,0
2023-02-01,Rutland District,436,415,0,0,0,0
2023-02-01,Springfield District,230,225,0,0,0,0
2023-02-01,St. Albans District,*,306,0,*,0,0
2023-02-01,St. Johnsbury District,350,*,0,*,0,0
2023-01-01,Barre District,*,222,0,*,0,0
2023-01-01,Bennington District,288,280,0,0,0,0
2023-01-01,Brattleboro District,159,180,0,0,0,0
2023-01-01,Burlington District,744,*,0,*,0,0
2023-01-01,Hartford District,*,147,0,*,0,0
2023-01-01,Middlebury District,*,198,0,*,0,0
2023-01-01,Morrisville District,195,192,0,0,0,0
2023-01-01,Newport District,197,216,0,0,0,0
2023-01-01,Rutland District,439,416,0,0,0,0
2023-01-01,Springfield District,227,215,0,0,0,0
2023-01-01,St. Albans District,*,305,0,*,0,0
2023-01-01,St. Johnsbury District,350,*,0,*,0,0
2022-12-01,Barre District,*,214,0,*,0,0
2022-12-01,Bennington District,287,280,0,0,0,0
2022-12-01,Brattleboro District,151,182,0,0,0,0
2022-12-01,Burlington District,734,*,0,*,0,0
2022-12-01,Hartford District,140,145,0,0,0,0
2022-12-01,Middlebury District,195,*,0,*,0,0
2022-12-01,Morrisville District,192,193,0,0,0,0
2022-12-01,Newport District,191,209,0,0,0,0
2022-12-01,Rutland District,441,410,0,0,0,0
2022-12-01,Springfield District,216,216,0,0,0,0
2022-12-01,St. Albans District,314,*,0,*,0,0
2022-12-01,St. Johnsbury District,341,326,0,0,0,0
2022-11-01,Barre District,*,215,0,*,0,0
2022-11-01,Bennington District,289,278,0,0,0,0
2022-11-01,Brattleboro District,148,181,0,0,0,0
2022-11-01,Burlington District,730,*,0,*,0,0
2022-11-01,Hartford District,135,150,0,0,0,0
2022-11-01,Middlebury District,195,198,0,0,0,0
2022-11-01,Morrisville District,196,191,0,0,0,0
2022-11-01,Newport District,187,206,0,0,0,0
