Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2023-06-01,Barre District,*,*,10,0,10,*,405,22,49
2023-06-01,Bennington District,*,*,*,0,*,*,540,32,75
2023-06-01,Brattleboro District,*,*,*,0,*,*,202,12,169
2023-06-01,Burlington District,*,43,181,0,*,14,718,67,645
2023-06-01,Hartford District,*,*,*,*,0,0,246,*,62
2023-06-01,Middlebury District,0,0,*,0,0,*,85,0,414
2023-06-01,Morrisville District,0,0,*,*,*,0,306,14,102
2023-06-01,Newport District,0,0,*,0,*,*,216,0,176
2023-06-01,Rutland District,0,*,26,0,*,*,759,34,85
2023-06-01,Springfield District,*,*,*,0,0,*,408,15,51
2023-06-01,St. Albans District,*,*,10,0,*,*,546,22,95
2023-06-01,St. Johnsbury District,*,*,*,0,*,*,237,10,474
2023-05-01,Barre District,0,*,*,0,10,*,360,22,45
2023-05-01,Bennington District,*,*,*,0,0,*,489,26,80
2023-05-01,Brattleboro District,*,*,*,0,*,*,177,10,155
2023-05-01,Burlington District,*,35,161,0,*,13,647,59,559
2023-05-01,Hartford District,*,*,*,0,0,0,227,*,61
2023-05-01,Middlebury District,0,0,*,0,0,*,73,0,349
2023-05-01,Morrisville District,0,0,*,*,*,0,277,15,106
2023-05-01,Newport District,*,0,*,0,*,*,211,0,183
2023-05-01,Rutland District,0,*,23,0,*,*,676,34,83
2023-05-01,Springfield District,0,*,*,0,0,*,371,14,57
2023-05-01,St. Albans District,*,*,*,0,*,*,509,22,87
2023-05-01,St. Johnsbury District,*,*,*,0,*,*,214,*,466
2023-04-01,Barre District,0,*,*,0,*,*,348,20,52
2023-04-01,Bennington District,*,*,*,0,0,*,484,23,95
2023-04-01,Brattleboro District,*,*,*,0,0,*,166,*,178
2023-04-01,Burlington District,*,34,162,0,*,12,645,60,598
2023-04-01,Hartford District,*,*,*,0,0,0,230,*,68
2023-04-01,Middlebury District,0,0,*,0,*,0,77,0,353
2023-04-01,Morrisville District,0,0,*,*,*,0,265,15,121
2023-04-01,Newport District,*,0,10,0,*,*,205,0,202
2023-04-01,Rutland District,0,*,23,0,*,*,677,33,97
2023-04-01,Springfield District,0,*,*,0,0,*,372,14,70
2023-04-01,St. Albans District,*,*,10,0,*,*,500,24,86
2023-04-01,St. Johnsbury District,0,*,*,0,*,*,201,*,476
2023-03-01,Barre District,0,*,*,0,10,*,329,20,57
2023-03-01,Bennington District,*,*,*,0,0,*,447,20,113
2023-03-01,Brattleboro District,*,*,*,0,0,*,152,*,185
2023-03-01,Burlington District,*,34,164,0,*,*,608,58,601
2023-03-01,Hartford District,*,*,*,0,0,0,209,*,85
2023-03-01,Middlebury District,0,0,*,0,*,0,71,0,347
2023-03-01,Morrisville District,0,0,*,*,*,0,249,15,128
2023-03-01,Newport District,*,0,*,0,*,*,197,0,208
2023-03-01,Rutland District,0,*,22,0,*,*,648,31,120
2023-03-01,Springfield District,0,*,*,0,0,*,355,13,78
2023-03-01,St. Albans District,*,*,10,0,*,*,471,22,98
2023-03-01,St. Johnsbury District,0,*,*,0,*,*,185,*,476
2023-02-01,Barre District,0,*,*,0,*,0,311,19,70
2023-02-01,Bennington District,0,*,*,0,0,*,421,20,144
2023-02-01,Brattleboro District,*,*,*,0,0,*,144,*,183
2023-02-01,Burlington District,*,34,149,0,*,*,573,51,627
2023-02-01,Hartford District,*,*,*,0,0,0,201,*,91
2023-02-01,Middlebury District,0,0,*,0,*,0,72,0,341
2023-02-01,Morrisville District,0,0,*,*,*,0,238,15,143
2023-02-01,Newport District,*,0,*,0,*,*,179,0,221
2023-02-01,Rutland District,0,*,24,0,*,*,635,31,156
2023-02-01,Springfield District,0,*,*,0,0,*,337,12,98
2023-02-01,St. Albans District,*,*,*,0,*,*,446,22,125
2023-02-01,St. Johnsbury District,0,*,*,0,*,*,179,*,483
2023-01-01,Barre District,0,*,*,0,*,0,288,16,80
2023-01-01,Bennington District,0,*,*,0,0,*,376,16,169
2023-01-01,Brattleboro District,*,*,*,0,0,*,129,*,195
2023-01-01,Burlington District,*,30,141,0,*,*,532,47,661
2023-01-01,Hartford District,*,*,*,0,0,0,175,*,98
2023-01-01,Middlebury District,0,0,0,0,0,0,64,0,333
2023-01-01,Morrisville District,0,0,*,*,*,0,203,16,161
2023-01-01,Newport District,*,0,*,0,*,*,172,0,230
2023-01-01,Rutland District,0,*,*,0,0,0,596,29,206
2023-01-01,Springfield District,0,*,*,0,0,*,311,11,113
2023-01-01,St. Albans District,*,*,*,0,*,*,424,21,147
2023-01-01,St. Johnsbury District,0,*,*,0,*,*,171,*,496
2022-12-01,Barre District,0,*,*,0,*,0,255,15,108
2022-12-01,Bennington District,0,*,*,0,0,*,352,15,193
2022-12-01,Brattleboro District,*,*,*,0,0,*,121,*,200
2022-12-01,Burlington District,*,24,132,0,*,*,497,43,695
2022-12-01,Hartford District,*,*,*,0,0,0,166,*,105
2022-12-01,Middlebury District,0,0,0,0,0,0,55,0,335
2022-12-01,Morrisville District,0,0,*,0,*,0,190,15,176
2022-12-01,Newport District,*,0,*,0,*,*,149,0,246
2022-12-01,Rutland District,0,*,*,0,0,0,558,29,240
2022-12-01,Springfield District,0,*,*,0,0,*,291,10,124
2022-12-01,St. Albans District,*,*,*,0,*,*,408,16,182
2022-12-01,St. Johnsbury District,0,*,*,0,0,*,153,*,498
