Month.Year,County,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2023-06-01,Addison,0,0,*,0,0,*,85,0,414
2023-06-01,Bennington,*,*,*,0,*,*,540,32,75
2023-06-01,Caledonia,*,*,*,0,*,*,230,12,409
2023-06-01,Chittenden,*,43,181,0,*,14,718,67,645
2023-06-01,Essex,0,0,*,0,0,*,34,0,51
2023-06-01,Franklin,0,0,*,0,*,*,493,19,81
2023-06-01,Grand Isle,*,*,*,0,0,*,53,*,14
2023-06-01,Lamoille,0,0,*,*,*,0,259,12,97
2023-06-01,Orange,0,*,*,0,0,0,172,*,51
2023-06-01,Orleans,0,0,*,0,*,*,224,0,175
2023-06-01,Rutland,0,*,26,0,*,*,759,34,85
2023-06-01,Washington,*,*,10,0,10,*,365,18,42
2023-06-01,Windham,*,*,*,0,*,*,289,16,177
2023-06-01,Windsor,*,*,*,*,0,*,447,16,81
2023-05-01,Addison,0,0,*,0,0,*,73,0,349
2023-05-01,Bennington,*,*,*,0,0,*,489,26,80
2023-05-01,Caledonia,*,*,*,0,*,*,208,10,404
2023-05-01,Chittenden,*,35,161,0,*,13,647,59,559
2023-05-01,Essex,0,0,*,0,0,*,30,0,50
2023-05-01,Franklin,0,0,*,0,*,*,465,18,73
2023-05-01,Grand Isle,*,*,*,0,0,0,44,*,14
2023-05-01,Lamoille,0,0,*,*,*,0,236,13,100
2023-05-01,Orange,0,*,*,0,0,0,161,*,49
2023-05-01,Orleans,*,0,*,0,*,*,218,0,182
2023-05-01,Rutland,0,*,23,0,*,*,676,34,83
2023-05-01,Washington,0,*,*,0,10,*,323,18,39
2023-05-01,Windham,*,*,*,0,*,*,252,14,164
2023-05-01,Windsor,*,*,*,0,0,*,409,15,85
2023-04-01,Addison,0,0,*,0,*,0,77,0,353
2023-04-01,Bennington,*,*,*,0,0,*,484,23,95
2023-04-01,Caledonia,0,*,*,0,*,*,195,10,413
2023-04-01,Chittenden,*,34,162,0,*,12,645,60,598
2023-04-01,Essex,0,0,*,0,0,*,29,0,51
2023-04-01,Franklin,*,0,*,0,*,*,462,20,72
2023-04-01,Grand Isle,*,*,*,0,0,0,38,*,14
2023-04-01,Lamoille,0,0,*,*,*,0,226,13,115
2023-04-01,Orange,0,*,*,0,0,0,160,*,56
2023-04-01,Orleans,*,0,10,0,*,*,210,0,201
2023-04-01,Rutland,0,*,23,0,*,*,677,33,97
2023-04-01,Washington,0,*,*,0,*,*,312,16,45
2023-04-01,Windham,*,*,*,0,0,*,243,13,189
2023-04-01,Windsor,*,*,*,0,0,0,412,15,97
2023-03-01,Addison,0,0,*,0,*,0,71,0,347
2023-03-01,Bennington,*,*,*,0,0,*,447,20,113
2023-03-01,Caledonia,0,*,*,0,*,*,179,*,416
2023-03-01,Chittenden,*,34,164,0,*,*,608,58,601
2023-03-01,Essex,0,0,*,0,0,*,29,0,50
2023-03-01,Franklin,*,0,*,0,*,*,430,18,85
2023-03-01,Grand Isle,*,*,*,0,0,0,41,*,13
2023-03-01,Lamoille,0,0,*,*,*,0,216,13,120
2023-03-01,Orange,0,*,0,0,0,0,152,*,66
2023-03-01,Orleans,*,0,*,0,*,*,197,0,208
2023-03-01,Rutland,0,*,22,0,*,*,648,31,120
2023-03-01,Washington,0,*,*,0,10,*,292,16,49
2023-03-01,Windham,*,*,*,0,0,*,226,11,199
2023-03-01,Windsor,*,*,*,0,0,0,385,13,109
2023-02-01,Addison,0,0,*,0,*,0,72,0,341
2023-02-01,Bennington,0,*,*,0,0,*,421,20,144
2023-02-01,Caledonia,0,*,*,0,*,*,172,*,424
2023-02-01,Chittenden,*,34,149,0,*,*,573,51,627
2023-02-01,Essex,0,0,*,0,0,*,29,0,51
2023-02-01,Franklin,*,0,*,0,*,*,404,18,110
2023-02-01,Grand Isle,*,*,*,0,0,0,42,*,15
2023-02-01,Lamoille,0,0,*,*,*,0,207,13,132
2023-02-01,Orange,0,*,0,0,0,0,144,*,71
2023-02-01,Orleans,*,0,*,0,*,*,177,0,221
2023-02-01,Rutland,0,*,24,0,*,*,635,31,156
2023-02-01,Washington,0,*,*,0,*,0,279,15,60
2023-02-01,Windham,*,*,*,0,0,*,215,*,200
2023-02-01,Windsor,*,*,*,0,0,0,366,12,130
2023-01-01,Addison,0,0,*,0,*,0,72,0,333
2023-01-01,Bennington,0,*,*,0,0,*,421,16,169
2023-01-01,Caledonia,0,*,*,0,*,*,172,*,438
2023-01-01,Chittenden,*,34,149,0,*,*,573,47,661
2023-01-01,Essex,0,0,*,0,0,*,29,0,53
2023-01-01,Franklin,*,0,*,0,*,*,404,17,131
2023-01-01,Grand Isle,*,*,*,0,0,0,42,*,16
2023-01-01,Lamoille,0,0,*,*,*,0,207,14,147
2023-01-01,Orange,0,*,0,0,0,0,144,*,78
2023-01-01,Orleans,*,0,*,0,*,*,177,0,229
2023-01-01,Rutland,0,*,24,0,*,*,635,29,206
2023-01-01,Washington,0,*,*,0,*,0,279,13,69
2023-01-01,Windham,*,*,*,0,0,*,215,*,210
2023-01-01,Windsor,*,*,*,0,0,0,366,11,149
2022-12-01,Addison,0,0,0,0,0,0,55,0,335
2022-12-01,Bennington,0,*,*,0,0,*,352,15,193
2022-12-01,Caledonia,0,*,*,0,0,*,147,*,446
2022-12-01,Chittenden,*,24,132,0,*,*,497,43,695
2022-12-01,Essex,0,0,*,0,0,0,*,0,46
2022-12-01,Franklin,*,0,*,0,*,*,368,14,166
2022-12-01,Grand Isle,*,*,*,0,0,0,40,*,16
2022-12-01,Lamoille,0,0,*,0,*,0,164,13,161
2022-12-01,Orange,0,*,0,0,0,0,116,*,79
2022-12-01,Orleans,*,0,*,0,*,*,148,0,247
2022-12-01,Rutland,0,*,*,0,0,0,558,29,240
2022-12-01,Washington,0,*,*,0,*,0,227,12,96
2022-12-01,Windham,*,*,*,0,0,*,179,*,220
2022-12-01,Windsor,*,*,*,0,0,0,321,10,162
2022-11-01,Addison,0,0,0,0,0,0,56,0,337
2022-11-01,Bennington,0,*,*,0,0,*,347,16,197
2022-11-01,Caledonia,0,*,*,0,0,*,133,*,446
2022-11-01,Chittenden,*,22,129,0,*,*,493,42,705
2022-11-01,Essex,0,0,*,0,0,0,*,0,48
2022-11-01,Franklin,*,0,*,0,*,*,374,14,180
2022-11-01,Grand Isle,*,*,*,0,0,0,40,*,18
2022-11-01,Lamoille,0,0,*,0,*,0,159,13,166
2022-11-01,Orange,0,*,0,0,0,0,114,*,79
2022-11-01,Orleans,*,0,*,0,*,*,143,0,245
2022-11-01,Rutland,0,*,*,0,0,0,532,25,273
2022-11-01,Washington,0,*,*,0,*,0,222,12,99
2022-11-01,Windham,*,*,*,0,0,*,174,*,221
2022-11-01,Windsor,*,*,*,0,0,0,318,*,174
2022-10-01,Addison,0,0,0,0,0,0,53,0,331
2022-10-01,Bennington,0,*,*,0,0,*,332,15,204
2022-10-01,Caledonia,0,*,*,0,0,*,123,*,452
2022-10-01,Chittenden,*,23,122,0,*,*,465,40,715
2022-10-01,Essex,0,0,*,0,0,0,*,0,49
2022-10-01,Franklin,*,0,*,0,*,*,364,14,187
2022-10-01,Grand Isle,0,*,*,0,0,0,40,*,20
2022-10-01,Lamoille,0,0,*,0,*,0,148,11,181
2022-10-01,Orange,0,*,0,0,0,0,98,*,84
2022-10-01,Orleans,0,0,*,0,*,*,135,0,259
2022-10-01,Rutland,0,*,24,0,0,0,490,*,294
2022-10-01,Washington,0,*,*,0,*,0,208,10,121
2022-10-01,Windham,*,*,*,0,0,*,157,*,242
2022-10-01,Windsor,*,*,*,0,0,0,301,*,191
2022-09-01,Addison,0,0,*,0,0,0,*,0,330
2022-09-01,Bennington,0,*,*,0,0,*,326,14,230
2022-09-01,Caledonia,0,*,*,0,0,*,118,*,470
2022-09-01,Chittenden,0,23,114,0,*,*,440,38,776
2022-09-01,Essex,0,0,*,0,0,0,*,0,50
2022-09-01,Franklin,*,0,*,0,*,*,355,13,201
2022-09-01,Grand Isle,0,*,*,0,0,0,38,*,25
2022-09-01,Lamoille,0,0,*,0,*,0,113,11,195
2022-09-01,Orange,0,*,0,0,0,0,90,*,94
2022-09-01,Orleans,0,0,*,0,*,*,120,0,275
2022-09-01,Rutland,0,*,*,0,0,0,451,21,348
2022-09-01,Washington,0,*,*,0,*,0,179,*,144
