Month.Year,AHS District,Infant,Preschool,School,Toddler
2024-06-01,Barre District,75,263,223,61
2024-06-01,Bennington District,126,358,188,100
2024-06-01,Brattleboro District,81,238,124,80
2024-06-01,Burlington District,252,686,829,222
2024-06-01,Hartford District,76,158,154,69
2024-06-01,Middlebury District,73,227,270,60
2024-06-01,Morrisville District,91,215,144,53
2024-06-01,Newport District,65,212,151,41
2024-06-01,Rutland District,151,386,450,128
2024-06-01,Springfield District,78,246,256,66
2024-06-01,St. Albans District,109,299,282,80
2024-06-01,St. Johnsbury District,130,310,277,92
2024-05-01,Barre District,68,242,150,61
2024-05-01,Bennington District,115,335,146,91
2024-05-01,Brattleboro District,80,226,86,76
2024-05-01,Burlington District,248,645,611,208
2024-05-01,Hartford District,66,141,118,69
2024-05-01,Middlebury District,71,208,179,57
2024-05-01,Morrisville District,84,202,129,57
2024-05-01,Newport District,63,205,138,45
2024-05-01,Rutland District,151,349,316,127
2024-05-01,Springfield District,79,228,178,62
2024-05-01,St. Albans District,104,282,238,74
2024-05-01,St. Johnsbury District,126,298,247,84
2024-04-01,Barre District,68,229,150,63
2024-04-01,Bennington District,112,333,149,95
2024-04-01,Brattleboro District,80,220,92,78
2024-04-01,Burlington District,240,635,639,218
2024-04-01,Hartford District,67,141,112,60
2024-04-01,Middlebury District,70,201,187,54
2024-04-01,Morrisville District,86,198,129,51
2024-04-01,Newport District,65,189,135,45
2024-04-01,Rutland District,154,346,299,123
2024-04-01,Springfield District,78,221,181,70
2024-04-01,St. Albans District,113,277,237,70
2024-04-01,St. Johnsbury District,120,287,245,82
2024-03-01,Barre District,69,209,146,61
2024-03-01,Bennington District,109,324,141,90
2024-03-01,Brattleboro District,78,212,78,74
2024-03-01,Burlington District,219,593,628,220
2024-03-01,Hartford District,62,136,109,54
2024-03-01,Middlebury District,68,190,186,47
2024-03-01,Morrisville District,86,191,124,43
2024-03-01,Newport District,58,185,135,45
2024-03-01,Rutland District,146,340,287,118
2024-03-01,Springfield District,73,211,178,70
2024-03-01,St. Albans District,95,266,228,74
2024-03-01,St. Johnsbury District,114,269,239,84
2024-02-01,Barre District,63,207,138,60
2024-02-01,Bennington District,99,321,137,88
2024-02-01,Brattleboro District,81,205,70,75
2024-02-01,Burlington District,216,571,606,220
2024-02-01,Hartford District,63,132,104,52
2024-02-01,Middlebury District,67,182,188,46
2024-02-01,Morrisville District,83,186,119,43
2024-02-01,Newport District,59,187,136,44
2024-02-01,Rutland District,140,335,293,114
2024-02-01,Springfield District,75,207,174,63
2024-02-01,St. Albans District,94,272,224,74
2024-02-01,St. Johnsbury District,105,258,236,79
2024-01-01,Barre District,65,207,140,56
2024-01-01,Bennington District,100,310,137,93
2024-01-01,Brattleboro District,84,193,72,67
2024-01-01,Burlington District,216,556,571,209
2024-01-01,Hartford District,67,127,98,60
2024-01-01,Middlebury District,63,187,182,44
2024-01-01,Morrisville District,84,184,119,42
2024-01-01,Newport District,55,184,132,39
2024-01-01,Rutland District,138,327,290,114
2024-01-01,Springfield District,75,207,176,60
2024-01-01,St. Albans District,102,272,223,71
2024-01-01,St. Johnsbury District,107,252,238,82
2023-12-01,Barre District,61,200,144,58
2023-12-01,Bennington District,105,310,138,91
2023-12-01,Brattleboro District,82,195,67,67
2023-12-01,Burlington District,233,560,588,199
2023-12-01,Hartford District,71,123,93,56
2023-12-01,Middlebury District,54,176,178,50
2023-12-01,Morrisville District,81,181,122,48
2023-12-01,Newport District,52,191,141,47
2023-12-01,Rutland District,145,322,274,104
2023-12-01,Springfield District,81,201,170,59
2023-12-01,St. Albans District,104,274,221,67
2023-12-01,St. Johnsbury District,112,256,246,80
2023-11-01,Barre District,61,199,141,55
2023-11-01,Bennington District,116,296,133,86
2023-11-01,Brattleboro District,83,186,63,63
2023-11-01,Burlington District,235,557,576,200
2023-11-01,Hartford District,66,120,85,53
2023-11-01,Middlebury District,56,172,175,54
2023-11-01,Morrisville District,80,181,123,47
2023-11-01,Newport District,52,183,141,50
2023-11-01,Rutland District,134,315,267,107
2023-11-01,Springfield District,80,196,171,59
2023-11-01,St. Albans District,95,255,219,72
2023-11-01,St. Johnsbury District,118,260,239,70
2023-10-01,Barre District,63,199,139,55
2023-10-01,Bennington District,120,290,141,95
2023-10-01,Brattleboro District,79,181,59,63
2023-10-01,Burlington District,236,572,568,188
2023-10-01,Hartford District,67,120,80,54
2023-10-01,Middlebury District,59,169,178,54
2023-10-01,Morrisville District,80,173,124,41
2023-10-01,Newport District,55,183,139,53
2023-10-01,Rutland District,128,325,282,106
2023-10-01,Springfield District,76,183,174,63
2023-10-01,St. Albans District,95,262,224,69
2023-10-01,St. Johnsbury District,117,272,250,78
2023-09-01,Barre District,52,197,131,58
2023-09-01,Bennington District,115,301,143,95
2023-09-01,Brattleboro District,83,193,50,63
2023-09-01,Burlington District,237,587,580,189
2023-09-01,Hartford District,63,124,81,55
2023-09-01,Middlebury District,63,169,180,56
2023-09-01,Morrisville District,77,173,118,41
2023-09-01,Newport District,53,191,143,57
2023-09-01,Rutland District,127,329,300,100
2023-09-01,Springfield District,75,199,179,69
2023-09-01,St. Albans District,90,288,239,64
2023-09-01,St. Johnsbury District,112,286,256,85
2023-08-01,Barre District,43,207,179,51
2023-08-01,Bennington District,101,330,164,89
2023-08-01,Brattleboro District,76,190,60,62
2023-08-01,Burlington District,227,605,705,180
2023-08-01,Hartford District,55,128,106,46
2023-08-01,Middlebury District,55,187,238,48
2023-08-01,Morrisville District,77,190,138,42
2023-08-01,Newport District,48,184,141,59
2023-08-01,Rutland District,122,336,346,104
2023-08-01,Springfield District,75,194,213,62
2023-08-01,St. Albans District,90,285,249,64
2023-08-01,St. Johnsbury District,110,276,260,84
2023-07-01,Barre District,37,211,166,53
2023-07-01,Bennington District,103,340,153,87
2023-07-01,Brattleboro District,64,182,66,62
2023-07-01,Burlington District,211,594,615,168
2023-07-01,Hartford District,55,128,103,39
2023-07-01,Middlebury District,44,167,220,46
2023-07-01,Morrisville District,68,163,109,40
2023-07-01,Newport District,44,181,148,54
2023-07-01,Rutland District,125,322,366,99
2023-07-01,Springfield District,62,181,204,60
2023-07-01,St. Albans District,89,283,260,71
2023-07-01,St. Johnsbury District,108,277,265,81
