Month.Year,County,Infant,Preschool,School,Toddler
2024-06-01,Addison,73,227,270,60
2024-06-01,Bennington,126,358,188,100
2024-06-01,Caledonia,120,278,257,80
2024-06-01,Chittenden,252,686,829,222
2024-06-01,Essex,21,46,25,13
2024-06-01,Franklin,99,268,240,78
2024-06-01,Grand Isle,*,31,42,*
2024-06-01,Lamoille,74,179,134,46
2024-06-01,Orange,49,137,94,47
2024-06-01,Orleans,67,216,146,40
2024-06-01,Rutland,151,386,450,128
2024-06-01,Washington,67,230,204,56
2024-06-01,Windham,97,289,145,96
2024-06-01,Windsor,101,267,324,84
2024-05-01,Addison,71,208,179,57
2024-05-01,Bennington,115,335,146,91
2024-05-01,Caledonia,118,268,229,73
2024-05-01,Chittenden,248,645,611,208
2024-05-01,Essex,17,42,23,15
2024-05-01,Franklin,95,253,210,70
2024-05-01,Grand Isle,*,29,28,*
2024-05-01,Lamoille,68,169,120,49
2024-05-01,Orange,46,125,69,47
2024-05-01,Orleans,66,210,135,43
2024-05-01,Rutland,151,349,316,127
2024-05-01,Washington,61,213,138,55
2024-05-01,Windham,97,276,100,91
2024-05-01,Windsor,93,239,232,81
2024-04-01,Addison,70,201,187,54
2024-04-01,Bennington,112,333,149,95
2024-04-01,Caledonia,112,261,225,71
2024-04-01,Chittenden,240,635,639,218
2024-04-01,Essex,18,35,24,12
2024-04-01,Franklin,104,245,210,65
2024-04-01,Grand Isle,*,32,27,*
2024-04-01,Lamoille,70,166,120,45
2024-04-01,Orange,43,124,63,44
2024-04-01,Orleans,67,197,133,43
2024-04-01,Rutland,154,346,299,123
2024-04-01,Washington,61,201,138,57
2024-04-01,Windham,96,265,107,97
2024-04-01,Windsor,97,236,234,80
2024-03-01,Addison,68,190,186,47
2024-03-01,Bennington,109,324,141,90
2024-03-01,Caledonia,106,242,219,74
2024-03-01,Chittenden,219,593,628,220
2024-03-01,Essex,18,30,23,11
2024-03-01,Franklin,87,237,202,68
2024-03-01,Grand Isle,*,29,26,*
2024-03-01,Lamoille,70,162,116,37
2024-03-01,Orange,39,124,62,40
2024-03-01,Orleans,60,195,133,43
2024-03-01,Rutland,146,340,287,118
2024-03-01,Washington,63,181,134,56
2024-03-01,Windham,94,254,93,94
2024-03-01,Windsor,90,225,229,76
2024-02-01,Addison,67,182,188,46
2024-02-01,Bennington,99,321,137,88
2024-02-01,Caledonia,98,231,218,71
2024-02-01,Chittenden,216,571,606,220
2024-02-01,Essex,16,28,22,11
2024-02-01,Franklin,86,241,199,68
2024-02-01,Grand Isle,*,31,25,*
2024-02-01,Lamoille,67,159,111,35
2024-02-01,Orange,41,118,55,38
2024-02-01,Orleans,61,197,134,43
2024-02-01,Rutland,140,335,293,114
2024-02-01,Washington,58,181,127,55
2024-02-01,Windham,95,249,84,93
2024-02-01,Windsor,93,219,226,70
2024-01-01,Addison,63,187,182,44
2024-01-01,Bennington,100,310,137,93
2024-01-01,Caledonia,98,224,221,75
2024-01-01,Chittenden,216,556,571,209
2024-01-01,Essex,16,28,20,12
2024-01-01,Franklin,94,244,202,65
2024-01-01,Grand Isle,*,28,21,*
2024-01-01,Lamoille,68,159,111,32
2024-01-01,Orange,43,110,55,40
2024-01-01,Orleans,58,195,131,39
2024-01-01,Rutland,138,327,290,114
2024-01-01,Washington,61,182,125,51
2024-01-01,Windham,97,235,87,83
2024-01-01,Windsor,96,221,225,74
2023-12-01,Addison,54,176,178,50
2023-12-01,Bennington,105,310,138,91
2023-12-01,Caledonia,102,231,229,72
2023-12-01,Chittenden,233,560,588,199
2023-12-01,Essex,15,28,19,13
2023-12-01,Franklin,96,245,199,61
2023-12-01,Grand Isle,*,29,22,*
2023-12-01,Lamoille,66,154,115,38
2023-12-01,Orange,43,106,55,38
2023-12-01,Orleans,56,200,140,46
2023-12-01,Rutland,145,322,274,104
2023-12-01,Washington,57,177,129,53
2023-12-01,Windham,96,233,81,90
2023-12-01,Windsor,105,218,215,65
2023-11-01,Addison,56,172,175,54
2023-11-01,Bennington,116,296,133,86
2023-11-01,Caledonia,106,233,222,63
2023-11-01,Chittenden,235,557,576,200
2023-11-01,Essex,15,29,19,12
2023-11-01,Franklin,86,229,197,65
2023-11-01,Grand Isle,*,26,22,*
2023-11-01,Lamoille,65,156,116,38
2023-11-01,Orange,45,110,53,35
2023-11-01,Orleans,57,191,140,48
2023-11-01,Rutland,134,315,267,107
2023-11-01,Washington,56,172,125,50
2023-11-01,Windham,97,226,77,84
2023-11-01,Windsor,99,208,211,67
2023-10-01,Addison,59,169,178,54
2023-10-01,Bennington,120,290,141,95
2023-10-01,Caledonia,103,244,230,68
2023-10-01,Chittenden,236,572,568,188
2023-10-01,Essex,15,32,23,13
2023-10-01,Franklin,86,237,204,61
