Month.Year,AHS District,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-06-01,Barre District,0,*,553,*
2024-06-01,Bennington District,0,*,685,*
2024-06-01,Brattleboro District,*,*,484,31
2024-06-01,Burlington District,0,36,1819,134
2024-06-01,Hartford District,0,0,431,26
2024-06-01,Middlebury District,0,0,594,36
2024-06-01,Morrisville District,0,0,473,30
2024-06-01,Newport District,0,*,429,*
2024-06-01,Rutland District,*,*,1018,75
2024-06-01,Springfield District,0,*,616,*
2024-06-01,St. Albans District,0,0,697,73
2024-06-01,St. Johnsbury District,0,*,757,*
2024-05-01,Barre District,0,*,464,*
2024-05-01,Bennington District,0,*,606,*
2024-05-01,Brattleboro District,*,*,434,30
2024-05-01,Burlington District,0,31,1555,126
2024-05-01,Hartford District,0,0,370,24
2024-05-01,Middlebury District,0,0,480,35
2024-05-01,Morrisville District,0,0,443,29
2024-05-01,Newport District,0,0,413,38
2024-05-01,Rutland District,0,19,854,70
2024-05-01,Springfield District,0,*,517,*
2024-05-01,St. Albans District,0,0,631,67
2024-05-01,St. Johnsbury District,0,*,710,*
2024-04-01,Barre District,0,*,456,*
2024-04-01,Bennington District,0,*,604,*
2024-04-01,Brattleboro District,*,*,435,31
2024-04-01,Burlington District,0,30,1568,134
2024-04-01,Hartford District,0,0,358,22
2024-04-01,Middlebury District,0,0,474,38
2024-04-01,Morrisville District,0,0,431,33
2024-04-01,Newport District,0,0,396,38
2024-04-01,Rutland District,0,*,847,*
2024-04-01,Springfield District,0,*,518,*
2024-04-01,St. Albans District,0,0,633,64
2024-04-01,St. Johnsbury District,0,*,688,*
2024-03-01,Barre District,0,*,429,*
2024-03-01,Bennington District,0,*,576,*
2024-03-01,Brattleboro District,*,*,409,31
2024-03-01,Burlington District,0,31,1496,133
2024-03-01,Hartford District,0,0,336,25
2024-03-01,Middlebury District,0,0,454,37
2024-03-01,Morrisville District,0,0,411,33
2024-03-01,Newport District,0,0,381,42
2024-03-01,Rutland District,0,*,817,*
2024-03-01,Springfield District,0,*,500,*
2024-03-01,St. Albans District,0,0,592,71
2024-03-01,St. Johnsbury District,0,*,659,*
2024-02-01,Barre District,0,*,415,*
2024-02-01,Bennington District,0,*,554,*
2024-02-01,Brattleboro District,*,*,398,31
2024-02-01,Burlington District,0,27,1446,140
2024-02-01,Hartford District,0,0,323,28
2024-02-01,Middlebury District,0,0,442,41
2024-02-01,Morrisville District,0,0,398,33
2024-02-01,Newport District,0,0,383,43
2024-02-01,Rutland District,0,*,807,*
2024-02-01,Springfield District,0,*,488,*
2024-02-01,St. Albans District,0,0,592,72
2024-02-01,St. Johnsbury District,0,*,629,*
2024-01-01,Barre District,0,*,415,*
2024-01-01,Bennington District,0,*,546,*
2024-01-01,Brattleboro District,*,*,385,28
2024-01-01,Burlington District,*,*,1394,134
2024-01-01,Hartford District,0,0,323,29
2024-01-01,Middlebury District,0,0,433,43
2024-01-01,Morrisville District,0,0,396,33
2024-01-01,Newport District,0,0,364,46
2024-01-01,Rutland District,0,*,792,*
