Month.Year,County,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2024-06-01,Addison,322,*,0,*,0,0
2024-06-01,Bennington,*,400,0,*,0,0
2024-06-01,Caledonia,407,324,0,*,0,*
2024-06-01,Chittenden,1033,953,*,*,*,0
2024-06-01,Essex,57,48,0,0,0,0
2024-06-01,Franklin,347,338,0,0,0,0
2024-06-01,Grand Isle,42,43,0,0,0,0
2024-06-01,Lamoille,*,217,0,*,0,0
2024-06-01,Orange,161,166,0,0,0,0
2024-06-01,Orleans,*,258,0,*,0,0
2024-06-01,Rutland,559,*,0,*,0,0
2024-06-01,Washington,251,302,0,*,*,0
2024-06-01,Windham,294,324,*,*,*,0
2024-06-01,Windsor,392,382,*,*,0,0
2024-05-01,Addison,263,*,0,*,0,0
2024-05-01,Bennington,*,362,0,*,0,0
2024-05-01,Caledonia,373,311,0,*,0,*
2024-05-01,Chittenden,880,829,*,*,*,0
2024-05-01,Essex,48,49,0,0,0,0
2024-05-01,Franklin,313,315,0,0,0,0
2024-05-01,Grand Isle,33,37,0,0,0,0
2024-05-01,Lamoille,207,*,0,*,0,0
2024-05-01,Orange,142,145,0,0,0,0
2024-05-01,Orleans,*,246,0,*,0,0
2024-05-01,Rutland,482,*,0,*,0,0
2024-05-01,Washington,211,250,0,*,*,*
2024-05-01,Windham,276,280,*,*,*,0
2024-05-01,Windsor,330,*,*,0,0,0
2024-04-01,Addison,258,252,*,*,0,0
2024-04-01,Bennington,*,358,0,*,0,0
2024-04-01,Caledonia,364,301,0,*,0,*
2024-04-01,Chittenden,889,840,*,*,*,0
2024-04-01,Essex,45,44,0,0,0,0
2024-04-01,Franklin,310,314,0,0,0,0
2024-04-01,Grand Isle,33,40,0,0,0,0
2024-04-01,Lamoille,203,*,0,*,0,0
2024-04-01,Orange,135,139,0,0,0,0
2024-04-01,Orleans,*,242,0,*,0,0
2024-04-01,Rutland,464,*,0,*,0,0
2024-04-01,Washington,199,252,0,*,*,*
2024-04-01,Windham,276,282,*,*,0,0
2024-04-01,Windsor,329,*,*,0,0,0
2024-03-01,Addison,246,243,*,*,0,0
2024-03-01,Bennington,*,340,0,*,0,0
2024-03-01,Caledonia,347,290,0,*,0,*
2024-03-01,Chittenden,841,816,*,*,*,0
2024-03-01,Essex,41,41,0,0,0,0
2024-03-01,Franklin,296,298,0,0,0,0
2024-03-01,Grand Isle,30,39,0,0,0,0
2024-03-01,Lamoille,196,*,0,*,0,0
2024-03-01,Orange,129,136,0,0,0,0
2024-03-01,Orleans,*,240,0,*,0,0
2024-03-01,Rutland,447,*,0,*,0,0
2024-03-01,Washington,188,242,0,*,*,*
2024-03-01,Windham,260,269,*,*,0,0
2024-03-01,Windsor,315,305,0,0,0,0
2024-02-01,Addison,243,238,*,*,0,0
2024-02-01,Bennington,*,333,0,*,0,0
2024-02-01,Caledonia,337,277,0,*,0,*
2024-02-01,Chittenden,813,797,*,*,*,0
2024-02-01,Essex,38,39,0,0,0,0
2024-02-01,Franklin,293,301,0,0,0,0
2024-02-01,Grand Isle,30,40,0,0,0,0
2024-02-01,Lamoille,192,*,0,*,0,0
2024-02-01,Orange,125,127,0,0,0,0
2024-02-01,Orleans,*,240,0,*,0,0
2024-02-01,Rutland,449,*,0,*,0,0
2024-02-01,Washington,184,233,0,*,*,*
2024-02-01,Windham,253,262,*,*,0,0
2024-02-01,Windsor,309,299,0,0,0,0
2024-01-01,Addison,240,234,*,*,0,0
2024-01-01,Bennington,309,331,0,0,0,0
2024-01-01,Caledonia,338,276,0,*,0,*
2024-01-01,Chittenden,778,772,0,*,*,0
2024-01-01,Essex,36,40,0,0,0,0
2024-01-01,Franklin,302,303,0,0,0,0
2024-01-01,Grand Isle,25,38,0,0,0,0
2024-01-01,Lamoille,189,181,0,0,0,0
2024-01-01,Orange,122,126,0,0,0,0
2024-01-01,Orleans,*,229,0,*,0,0
2024-01-01,Rutland,441,*,0,*,0,0
2024-01-01,Washington,182,234,0,*,0,*
2024-01-01,Windham,245,250,*,*,0,0
2024-01-01,Windsor,*,311,0,*,0,0
2023-12-01,Addison,229,227,*,*,0,0
2023-12-01,Bennington,311,333,0,0,0,0
2023-12-01,Caledonia,346,*,0,*,0,0
2023-12-01,Chittenden,787,791,0,*,*,0
2023-12-01,Essex,34,41,0,0,0,0
2023-12-01,Franklin,298,303,0,0,0,0
2023-12-01,Grand Isle,27,38,0,0,0,0
2023-12-01,Lamoille,193,180,0,0,0,0
2023-12-01,Orange,118,124,0,0,0,0
2023-12-01,Orleans,*,242,0,*,0,0
2023-12-01,Rutland,427,*,0,*,0,0
2023-12-01,Washington,183,229,0,*,0,*
2023-12-01,Windham,241,252,*,*,0,0
2023-12-01,Windsor,*,306,0,*,0,0
2023-11-01,Addison,227,228,*,*,0,0
2023-11-01,Bennington,300,331,0,0,0,0
2023-11-01,Caledonia,339,*,0,*,0,0
2023-11-01,Chittenden,789,777,0,*,*,0
2023-11-01,Essex,35,40,0,0,0,0
2023-11-01,Franklin,292,285,0,0,0,0
2023-11-01,Grand Isle,28,36,0,0,0,0
2023-11-01,Lamoille,191,184,0,0,0,0
2023-11-01,Orange,118,125,0,0,0,0
2023-11-01,Orleans,*,240,0,*,0,0
2023-11-01,Rutland,415,*,0,*,0,0
2023-11-01,Washington,175,225,0,*,0,*
2023-11-01,Windham,231,246,*,*,0,0
2023-11-01,Windsor,*,295,0,*,0,0
2023-10-01,Addison,230,228,*,*,0,0
