Month.Year,County,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-09-01,Barre District,*,*,486,44
2024-09-01,Bennington District,*,*,638,80
2024-09-01,Brattleboro District,*,*,486,29
2024-09-01,Burlington District,*,*,1700,118
2024-09-01,Hartford District,0,0,451,27
2024-09-01,Middlebury District,0,0,559,38
2024-09-01,Morrisville District,*,*,485,28
2024-09-01,Newport District,0,*,441,*
2024-09-01,Rutland District,*,*,917,73
2024-09-01,Springfield District,0,*,617,*
2024-09-01,St. Albans District,0,0,711,73
2024-09-01,St. Johnsbury District,0,*,792,*
2024-08-01,Barre District,0,12,535,49
2024-08-01,Bennington District,0,*,679,*
2024-08-01,Brattleboro District,*,*,502,32
2024-08-01,Burlington District,*,*,1891,131
2024-08-01,Hartford District,*,0,442,*
2024-08-01,Middlebury District,0,*,642,*
2024-08-01,Morrisville District,*,0,507,*
2024-08-01,Newport District,0,*,434,*
2024-08-01,Rutland District,*,*,1011,79
2024-08-01,Springfield District,0,*,639,*
2024-08-01,St. Albans District,0,0,717,70
2024-08-01,St. Johnsbury District,0,*,783,*
2024-07-01,Barre District,0,12,489,48
2024-07-01,Bennington District,0,*,662,*
2024-07-01,Brattleboro District,0,*,433,*
2024-07-01,Burlington District,*,*,1741,127
2024-07-01,Hartford District,*,0,402,*
2024-07-01,Middlebury District,0,*,555,*
2024-07-01,Morrisville District,*,0,434,*
2024-07-01,Newport District,0,*,411,*
2024-07-01,Rutland District,*,*,988,69
2024-07-01,Springfield District,0,*,604,*
2024-07-01,St. Albans District,0,0,693,71
2024-07-01,St. Johnsbury District,0,*,742,*
