Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-09-01,Barre District,*,0,470,*,36
2024-09-01,Bennington District,*,0,613,*,76
2024-09-01,Brattleboro District,*,0,392,*,78
2024-09-01,Burlington District,54,0,1564,18,229
2024-09-01,Hartford District,*,0,397,*,52
2024-09-01,Middlebury District,*,0,270,*,313
2024-09-01,Morrisville District,*,0,479,*,18
2024-09-01,Newport District,*,0,404,*,60
2024-09-01,Rutland District,39,0,858,20,100
2024-09-01,Springfield District,42,0,534,13,57
2024-09-01,St. Albans District,*,0,672,*,86
2024-09-01,St. Johnsbury District,*,0,662,*,149
2024-08-01,Barre District,*,0,517,*,51
2024-08-01,Bennington District,*,0,641,*,94
2024-08-01,Brattleboro District,*,0,413,*,82
2024-08-01,Burlington District,54,0,1721,17,274
2024-08-01,Hartford District,*,0,391,*,55
2024-08-01,Middlebury District,*,0,337,*,326
2024-08-01,Morrisville District,*,0,506,*,16
2024-08-01,Newport District,*,0,404,*,56
2024-08-01,Rutland District,43,0,963,14,100
2024-08-01,Springfield District,46,0,551,13,58
2024-08-01,St. Albans District,*,0,677,*,83
2024-08-01,St. Johnsbury District,*,0,665,*,143
2024-07-01,Barre District,*,0,476,*,49
2024-07-01,Bennington District,*,0,610,*,106
2024-07-01,Brattleboro District,*,0,359,*,74
2024-07-01,Burlington District,46,0,1588,18,247
2024-07-01,Hartford District,*,0,359,*,49
2024-07-01,Middlebury District,*,0,303,*,270
2024-07-01,Morrisville District,*,0,439,*,14
2024-07-01,Newport District,*,0,388,*,56
2024-07-01,Rutland District,39,0,938,13,91
2024-07-01,Springfield District,45,0,522,14,52
2024-07-01,St. Albans District,*,0,647,*,88
2024-07-01,St. Johnsbury District,*,0,641,*,133
