Month.Year,AHS District,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2024-09-01,Barre District,240,288,0,*,*,0
2024-09-01,Bennington District,*,391,0,*,0,0
2024-09-01,Brattleboro District,255,259,0,*,*,0
2024-09-01,Burlington District,940,922,*,*,*,0
2024-09-01,Hartford District,244,232,*,*,0,0
2024-09-01,Middlebury District,*,303,0,*,0,0
2024-09-01,Morrisville District,249,264,*,*,0,0
2024-09-01,Newport District,*,265,0,*,0,0
2024-09-01,Rutland District,513,*,0,*,0,0
2024-09-01,Springfield District,318,328,0,0,0,0
2024-09-01,St. Albans District,393,391,0,0,0,0
2024-09-01,St. Johnsbury District,452,*,0,0,0,*
2024-08-01,Barre District,*,317,0,*,0,0
2024-08-01,Bennington District,*,399,0,*,0,0
2024-08-01,Brattleboro District,264,271,*,*,*,0
2024-08-01,Burlington District,1063,1000,*,*,*,0
2024-08-01,Hartford District,241,225,*,*,0,0
2024-08-01,Middlebury District,*,349,0,*,0,0
2024-08-01,Morrisville District,260,279,*,*,0,0
2024-08-01,Newport District,*,258,0,*,0,0
2024-08-01,Rutland District,*,563,0,*,0,0
2024-08-01,Springfield District,328,340,0,0,0,0
2024-08-01,St. Albans District,390,397,0,0,0,0
2024-08-01,St. Johnsbury District,455,*,0,0,0,*
2024-07-01,Barre District,*,290,0,*,0,0
2024-07-01,Bennington District,*,391,0,*,0,0
2024-07-01,Brattleboro District,224,239,*,*,*,0
2024-07-01,Burlington District,993,903,*,*,*,0
2024-07-01,Hartford District,212,214,*,*,0,0
2024-07-01,Middlebury District,294,*,0,*,0,0
2024-07-01,Morrisville District,*,240,0,*,0,0
2024-07-01,Newport District,*,247,0,*,0,0
2024-07-01,Rutland District,*,545,0,*,0,0
2024-07-01,Springfield District,305,328,0,0,0,0
2024-07-01,St. Albans District,385,379,0,0,0,0
2024-07-01,St. Johnsbury District,438,*,0,0,0,*
