Month.Year,County,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2024-09-01,Addison,*,303,0,*,0,0
2024-09-01,Bennington,*,391,0,*,0,0
2024-09-01,Caledonia,415,*,0,0,0,*
2024-09-01,Chittenden,940,922,*,*,*,0
2024-09-01,Essex,52,51,0,0,0,0
2024-09-01,Franklin,355,351,0,0,0,0
2024-09-01,Grand Isle,38,40,0,0,0,0
2024-09-01,Lamoille,210,223,*,*,0,0
2024-09-01,Orange,*,165,0,*,0,0
2024-09-01,Orleans,*,266,0,*,0,0
2024-09-01,Rutland,513,*,0,*,0,0
2024-09-01,Washington,216,269,0,*,*,0
2024-09-01,Windham,304,328,0,*,*,0
2024-09-01,Windsor,397,*,*,0,0,0
2024-08-01,Addison,*,349,0,*,0,0
2024-08-01,Bennington,*,399,0,*,0,0
2024-08-01,Caledonia,420,340,0,*,0,*
2024-08-01,Chittenden,1063,1000,*,*,*,0
2024-08-01,Essex,52,48,0,0,0,0
2024-08-01,Franklin,351,351,0,0,0,0
2024-08-01,Grand Isle,39,46,0,0,0,0
2024-08-01,Lamoille,220,236,*,*,0,0
2024-08-01,Orange,*,164,0,*,0,0
2024-08-01,Orleans,*,263,0,*,0,0
2024-08-01,Rutland,*,563,0,*,0,0
2024-08-01,Washington,*,292,0,*,0,0
2024-08-01,Windham,318,334,*,*,*,0
2024-08-01,Windsor,408,384,*,*,0,0
2024-09-01,Addison,*,303,0,*,0,0
2024-09-01,Bennington,*,391,0,*,0,0
2024-09-01,Caledonia,415,*,0,0,0,*
2024-09-01,Chittenden,940,922,*,*,*,0
2024-09-01,Essex,52,51,0,0,0,0
2024-09-01,Franklin,355,351,0,0,0,0
2024-09-01,Grand Isle,38,40,0,0,0,0
2024-09-01,Lamoille,210,223,*,*,0,0
2024-09-01,Orange,*,165,0,*,0,0
2024-09-01,Orleans,*,266,0,*,0,0
2024-09-01,Rutland,513,*,0,*,0,0
2024-09-01,Washington,216,269,0,*,*,0
2024-09-01,Windham,304,328,0,*,*,0
2024-09-01,Windsor,397,*,*,0,0,0
