Month.Year,AHS District,Infant,Preschool,School,Toddler
2024-12-01,Barre District,122,284,156,98
2024-12-01,Bennington District,150,338,181,106
2024-12-01,Brattleboro District,112,242,107,99
2024-12-01,Burlington District,423,894,733,318
2024-12-01,Hartford District,112,193,162,100
2024-12-01,Middlebury District,96,276,206,87
2024-12-01,Morrisville District,101,240,139,88
2024-12-01,Newport District,87,191,154,54
2024-12-01,Rutland District,192,429,345,150
2024-12-01,Springfield District,88,254,198,78
2024-12-01,St. Albans District,165,364,271,128
2024-12-01,St. Johnsbury District,138,312,291,102
2024-11-01,Barre District,123,293,156,86
2024-11-01,Bennington District,149,323,179,111
2024-11-01,Brattleboro District,117,237,105,96
2024-11-01,Burlington District,430,874,716,309
2024-11-01,Hartford District,122,189,156,97
2024-11-01,Middlebury District,106,282,209,82
2024-11-01,Morrisville District,111,241,135,86
2024-11-01,Newport District,82,192,152,61
2024-11-01,Rutland District,186,437,361,147
2024-11-01,Springfield District,88,261,199,81
2024-11-01,St. Albans District,155,358,268,122
2024-11-01,St. Johnsbury District,141,310,286,106
2024-10-01,Barre District,90,197,150,68
2024-10-01,Bennington District,137,310,206,117
2024-10-01,Brattleboro District,71,176,149,61
2024-10-01,Burlington District,438,847,649,317
2024-10-01,Hartford District,111,218,160,74
2024-10-01,Middlebury District,140,275,196,103
2024-10-01,Morrisville District,96,267,187,81
2024-10-01,Newport District,79,174,117,52
2024-10-01,Rutland District,174,411,316,161
2024-10-01,Springfield District,97,243,169,61
2024-10-01,St. Albans District,158,345,270,127
2024-10-01,St. Johnsbury District,177,392,288,134
