Month.Year,AHS District,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-12-01,Barre District,*,*,614,39
2024-12-01,Bennington District,*,*,684,82
2024-12-01,Brattleboro District,0,*,525,*
2024-12-01,Burlington District,11,51,2192,114
2024-12-01,Hartford District,0,*,540,*
2024-12-01,Middlebury District,*,0,630,*
2024-12-01,Morrisville District,*,*,541,24
2024-12-01,Newport District,*,*,459,25
2024-12-01,Rutland District,*,*,1019,78
2024-12-01,Springfield District,0,*,590,*
2024-12-01,St. Albans District,0,0,858,70
2024-12-01,St. Johnsbury District,0,*,806,*
2024-11-01,Barre District,*,*,614,39
2024-11-01,Bennington District,*,*,684,82
2024-11-01,Brattleboro District,0,*,525,*
2024-11-01,Burlington District,11,51,2192,114
2024-11-01,Hartford District,0,*,540,*
2024-11-01,Middlebury District,*,0,630,*
2024-11-01,Morrisville District,*,*,541,24
2024-11-01,Newport District,*,*,459,25
2024-11-01,Rutland District,*,*,1019,78
2024-11-01,Springfield District,0,*,590,*
2024-11-01,St. Albans District,0,0,858,70
2024-11-01,St. Johnsbury District,0,*,806,*
2024-10-01,Barre District,*,*,469,32
2024-10-01,Bennington District,*,*,708,53
2024-10-01,Brattleboro District,0,*,426,*
2024-10-01,Burlington District,*,*,2086,138
2024-10-01,Hartford District,*,*,519,38
2024-10-01,Middlebury District,0,*,660,*
2024-10-01,Morrisville District,0,*,595,*
2024-10-01,Newport District,0,*,392,*
2024-10-01,Rutland District,*,*,980,65
2024-10-01,Springfield District,0,*,533,*
2024-10-01,St. Albans District,*,*,833,56
2024-10-01,St. Johnsbury District,*,*,918,58
