Month.Year,County,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-12-01,Addison,*,0,630,*
2024-12-01,Bennington,*,*,684,82
2024-12-01,Caledonia,0,*,732,*
2024-12-01,Chittenden,11,51,2192,114
2024-12-01,Essex,0,0,*,*
2024-12-01,Franklin,0,0,764,62
2024-12-01,Grand Isle,0,0,*,*
2024-12-01,Lamoille,*,*,458,19
2024-12-01,Orange,0,*,368,*
2024-12-01,Orleans,*,*,467,23
2024-12-01,Rutland,*,*,1019,78
2024-12-01,Washington,*,*,567,36
2024-12-01,Windham,0,*,636,*
2024-12-01,Windsor,0,*,746,*
2024-11-01,Addison,*,0,643,*
2024-11-01,Bennington,*,*,675,78
2024-11-01,Caledonia,0,*,735,*
2024-11-01,Chittenden,10,51,2154,114
2024-11-01,Essex,0,0,*,*
2024-11-01,Franklin,0,0,745,64
2024-11-01,Grand Isle,0,0,*,*
2024-11-01,Lamoille,*,*,463,21
2024-11-01,Orange,0,*,364,*
2024-11-01,Orleans,*,*,466,23
2024-11-01,Rutland,*,*,1024,79
2024-11-01,Washington,*,*,562,36
2024-11-01,Windham,0,*,632,*
2024-11-01,Windsor,0,*,756,*
2024-10-01,Addison,0,*,660,*
2024-10-01,Bennington,*,*,708,53
2024-10-01,Caledonia,*,*,799,51
2024-10-01,Chittenden,*,*,2086,138
2024-10-01,Essex,0,*,134,*
2024-10-01,Franklin,*,*,753,52
2024-10-01,Grand Isle,0,0,*,*
2024-10-01,Lamoille,0,*,538,*
2024-10-01,Orange,0,*,332,*
2024-10-01,Orleans,0,*,398,*
2024-10-01,Rutland,*,*,980,65
2024-10-01,Washington,*,*,437,28
2024-10-01,Windham,0,*,548,*
2024-10-01,Windsor,*,*,666,44
