Month.Year,AHS District,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-12-01,Barre District,22,0,560,10,68
2024-12-01,Bennington District,*,0,672,*,67
2024-12-01,Brattleboro District,*,0,429,*,81
2024-12-01,Burlington District,64,0,1971,26,307
2024-12-01,Hartford District,*,0,481,*,51
2024-12-01,Middlebury District,*,0,291,*,361
2024-12-01,Morrisville District,*,0,514,*,32
2024-12-01,Newport District,*,0,417,*,61
2024-12-01,Rutland District,38,0,948,18,112
2024-12-01,Springfield District,37,0,510,10,61
2024-12-01,St. Albans District,*,0,784,*,110
2024-12-01,St. Johnsbury District,*,0,671,*,151
2024-11-01,Barre District,*,0,566,*,64
2024-11-01,Bennington District,*,0,661,*,61
2024-11-01,Brattleboro District,*,0,427,*,79
2024-11-01,Burlington District,63,0,1946,26,294
2024-11-01,Hartford District,*,0,478,*,52
2024-11-01,Middlebury District,*,0,297,*,368
2024-11-01,Morrisville District,*,0,522,*,31
2024-11-01,Newport District,*,0,418,*,62
2024-11-01,Rutland District,40,0,962,21,108
2024-11-01,Springfield District,37,0,523,10,59
2024-11-01,St. Albans District,*,0,761,*,109
2024-11-01,St. Johnsbury District,*,0,675,*,149
2024-10-01,Barre District,*,0,415,*,69
2024-10-01,Bennington District,*,0,642,*,99
2024-10-01,Brattleboro District,*,0,368,*,70
2024-10-01,Burlington District,75,0,1821,28,327
2024-10-01,Hartford District,*,0,467,*,74
2024-10-01,Middlebury District,*,0,584,*,93
2024-10-01,Morrisville District,*,0,507,*,92
2024-10-01,Newport District,*,0,340,*,60
2024-10-01,Rutland District,39,0,867,10,146
2024-10-01,Springfield District,*,0,471,*,81
2024-10-01,St. Albans District,37,0,716,16,131
2024-10-01,St. Johnsbury District,*,0,806,*,148
