Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-12-01,Addison,*,0,291,*,361
2024-12-01,Bennington,*,0,672,*,67
2024-12-01,Caledonia,*,0,616,*,130
2024-12-01,Chittenden,64,0,1971,26,307
2024-12-01,Essex,0,0,85,*,*
2024-12-01,Franklin,*,0,697,*,97
2024-12-01,Grand Isle,*,0,87,0,*
2024-12-01,Lamoille,*,0,435,*,28
2024-12-01,Orange,*,0,336,*,34
2024-12-01,Orleans,*,0,426,*,56
2024-12-01,Rutland,38,0,948,18,112
2024-12-01,Washington,*,0,513,*,67
2024-12-01,Windham,*,0,526,*,94
2024-12-01,Windsor,46,0,645,13,74
2024-11-01,Addison,*,0,297,*,368
2024-11-01,Bennington,*,0,661,*,61
2024-11-01,Caledonia,*,0,622,*,128
2024-11-01,Chittenden,63,0,1946,26,294
2024-11-01,Essex,0,0,87,*,*
2024-11-01,Franklin,*,0,680,*,98
2024-11-01,Grand Isle,*,0,81,0,*
2024-11-01,Lamoille,*,0,445,*,27
2024-11-01,Orange,*,0,334,*,33
2024-11-01,Orleans,*,0,425,*,57
2024-11-01,Rutland,40,0,962,21,108
2024-11-01,Washington,*,0,516,*,63
2024-11-01,Windham,*,0,525,*,92
2024-11-01,Windsor,46,0,655,14,74
2024-10-01,Addison,*,0,584,*,93
2024-10-01,Bennington,*,0,642,*,99
2024-10-01,Caledonia,*,0,706,*,123
2024-10-01,Chittenden,75,0,1821,28,327
2024-10-01,Essex,*,0,116,*,22
2024-10-01,Franklin,35,0,647,14,120
2024-10-01,Grand Isle,*,0,69,*,11
2024-10-01,Lamoille,*,0,460,*,81
2024-10-01,Orange,*,0,300,*,50
2024-10-01,Orleans,*,0,344,*,62
2024-10-01,Rutland,39,0,867,10,146
2024-10-01,Washington,*,0,382,*,66
2024-10-01,Windham,*,0,479,*,86
2024-10-01,Windsor,*,0,587,*,104
