Month.Year,County,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-12-01,Addison,0,*,*,0,*,*,166,*,487
2024-12-01,Bennington,*,*,18,0,*,11,652,30,56
2024-12-01,Caledonia,*,*,*,*,0,*,300,14,442
2024-12-01,Chittenden,*,47,255,*,30,30,1345,138,519
2024-12-01,Essex,0,0,*,0,0,*,49,0,57
2024-12-01,Franklin,*,*,12,*,*,*,626,28,136
2024-12-01,Grand Isle,*,0,0,0,0,*,79,*,15
2024-12-01,Lamoille,*,0,*,*,*,*,380,25,60
2024-12-01,Orange,*,*,*,0,*,*,320,*,55
2024-12-01,Orleans,*,0,*,0,*,0,400,*,79
2024-12-01,Rutland,0,*,38,0,*,*,900,27,136
2024-12-01,Washington,*,*,*,*,12,*,485,16,76
2024-12-01,Windham,*,*,15,0,12,11,502,31,103
2024-12-01,Windsor,*,*,13,0,*,11,636,24,83
2024-11-01,Addison,0,*,*,0,*,*,168,*,500
2024-11-01,Bennington,*,*,19,0,*,10,647,30,48
2024-11-01,Caledonia,*,*,*,*,0,*,296,16,446
2024-11-01,Chittenden,*,48,253,*,29,29,1328,135,503
2024-11-01,Essex,0,0,*,0,0,*,50,0,58
2024-11-01,Franklin,*,*,12,*,*,*,618,27,130
2024-11-01,Grand Isle,*,0,*,0,0,*,73,*,12
2024-11-01,Lamoille,*,0,*,*,*,*,389,25,56
2024-11-01,Orange,*,*,*,0,*,*,319,*,51
2024-11-01,Orleans,*,0,*,0,*,0,396,*,82
2024-11-01,Rutland,0,*,37,0,*,*,930,28,122
2024-11-01,Washington,*,*,*,0,10,*,491,16,68
2024-11-01,Windham,*,*,15,0,13,11,500,35,96
2024-11-01,Windsor,*,*,14,*,*,10,650,26,78
2024-10-01,Addison,0,*,26,*,*,*,489,22,153
2024-10-01,Bennington,*,*,36,0,*,*,530,33,152
2024-10-01,Caledonia,*,*,28,0,*,*,590,30,197
2024-10-01,Chittenden,10,18,88,0,15,21,1517,80,502
2024-10-01,Essex,0,0,*,0,*,*,91,*,35
2024-10-01,Franklin,0,*,28,0,*,*,563,27,185
2024-10-01,Grand Isle,0,*,*,0,0,0,60,*,16
2024-10-01,Lamoille,*,*,19,0,15,*,372,16,132
2024-10-01,Orange,0,*,16,0,*,*,253,11,78
2024-10-01,Orleans,*,*,15,0,*,*,290,*,104
2024-10-01,Rutland,*,*,46,0,11,12,723,30,234
2024-10-01,Washington,*,*,18,*,*,0,315,11,108
2024-10-01,Windham,0,*,28,0,*,*,382,33,135
2024-10-01,Windsor,*,*,23,*,*,*,499,20,151
