geo type,geography,year,category,value
AHSD,Barre District,2023-06,Hispanic,*
AHSD,Barre District,2023-06,Native American,0
AHSD,Barre District,2023-06,Non Hispanic,444
AHSD,Barre District,2023-06,Unknown,*
AHSD,Barre District,2023-06,Unreported,32
AHSD,Bennington District,2023-06,Hispanic,*
AHSD,Bennington District,2023-06,Native American,0
AHSD,Bennington District,2023-06,Non Hispanic,543
AHSD,Bennington District,2023-06,Unknown,*
AHSD,Bennington District,2023-06,Unreported,94
AHSD,Brattleboro District,2023-06,Hispanic,31
AHSD,Brattleboro District,2023-06,Native American,*
AHSD,Brattleboro District,2023-06,Non Hispanic,271
AHSD,Brattleboro District,2023-06,Unknown,*
AHSD,Brattleboro District,2023-06,Unreported,87
AHSD,Burlington District,2023-06,Hispanic,43
AHSD,Burlington District,2023-06,Native American,*
AHSD,Burlington District,2023-06,Non Hispanic,1394
AHSD,Burlington District,2023-06,Unknown,*
AHSD,Burlington District,2023-06,Unreported,231
AHSD,Hartford District,2023-06,Hispanic,*
AHSD,Hartford District,2023-06,Native American,0
AHSD,Hartford District,2023-06,Non Hispanic,279
AHSD,Hartford District,2023-06,Unknown,*
AHSD,Hartford District,2023-06,Unreported,37
AHSD,Middlebury District,2023-06,Hispanic,*
AHSD,Middlebury District,2023-06,Native American,0
AHSD,Middlebury District,2023-06,Non Hispanic,380
AHSD,Middlebury District,2023-06,Unknown,*
AHSD,Middlebury District,2023-06,Unreported,102
AHSD,Morrisville District,2023-06,Hispanic,*
AHSD,Morrisville District,2023-06,Native American,0
AHSD,Morrisville District,2023-06,Non Hispanic,409
AHSD,Morrisville District,2023-06,Unknown,*
AHSD,Morrisville District,2023-06,Unreported,*
AHSD,Newport District,2023-06,Hispanic,*
AHSD,Newport District,2023-06,Native American,*
AHSD,Newport District,2023-06,Non Hispanic,362
AHSD,Newport District,2023-06,Unknown,*
AHSD,Newport District,2023-06,Unreported,34
AHSD,Rutland District,2023-06,Hispanic,*
AHSD,Rutland District,2023-06,Native American,0
AHSD,Rutland District,2023-06,Non Hispanic,827
AHSD,Rutland District,2023-06,Unknown,*
AHSD,Rutland District,2023-06,Unreported,55
AHSD,Springfield District,2023-06,Hispanic,36
AHSD,Springfield District,2023-06,Native American,0
AHSD,Springfield District,2023-06,Non Hispanic,423
AHSD,Springfield District,2023-06,Unknown,*
AHSD,Springfield District,2023-06,Unreported,*
AHSD,St. Albans District,2023-06,Hispanic,*
AHSD,St. Albans District,2023-06,Native American,0
AHSD,St. Albans District,2023-06,Non Hispanic,580
AHSD,St. Albans District,2023-06,Unknown,*
AHSD,St. Albans District,2023-06,Unreported,81
AHSD,St. Johnsbury District,2023-06,Hispanic,*
AHSD,St. Johnsbury District,2023-06,Native American,0
AHSD,St. Johnsbury District,2023-06,Non Hispanic,643
AHSD,St. Johnsbury District,2023-06,Unknown,*
AHSD,St. Johnsbury District,2023-06,Unreported,69
AHSD,Barre District,2023-05,Hispanic,*
AHSD,Barre District,2023-05,Native American,0
AHSD,Barre District,2023-05,Non Hispanic,393
AHSD,Barre District,2023-05,Unknown,*
AHSD,Barre District,2023-05,Unreported,31
AHSD,Bennington District,2023-05,Hispanic,*
AHSD,Bennington District,2023-05,Native American,0
AHSD,Bennington District,2023-05,Non Hispanic,501
AHSD,Bennington District,2023-05,Unknown,*
AHSD,Bennington District,2023-05,Unreported,87
AHSD,Brattleboro District,2023-05,Hispanic,26
AHSD,Brattleboro District,2023-05,Native American,*
AHSD,Brattleboro District,2023-05,Non Hispanic,241
AHSD,Brattleboro District,2023-05,Unknown,*
AHSD,Brattleboro District,2023-05,Unreported,80
AHSD,Burlington District,2023-05,Hispanic,39
AHSD,Burlington District,2023-05,Native American,*
AHSD,Burlington District,2023-05,Non Hispanic,1244
AHSD,Burlington District,2023-05,Unknown,*
AHSD,Burlington District,2023-05,Unreported,188
AHSD,Hartford District,2023-05,Hispanic,*
AHSD,Hartford District,2023-05,Native American,0
AHSD,Hartford District,2023-05,Non Hispanic,261
AHSD,Hartford District,2023-05,Unknown,*
AHSD,Hartford District,2023-05,Unreported,35
AHSD,Middlebury District,2023-05,Hispanic,*
AHSD,Middlebury District,2023-05,Native American,0
AHSD,Middlebury District,2023-05,Non Hispanic,326
AHSD,Middlebury District,2023-05,Unknown,*
AHSD,Middlebury District,2023-05,Unreported,83
AHSD,Morrisville District,2023-05,Hispanic,*
AHSD,Morrisville District,2023-05,Native American,0
AHSD,Morrisville District,2023-05,Non Hispanic,386
AHSD,Morrisville District,2023-05,Unknown,*
AHSD,Morrisville District,2023-05,Unreported,*
AHSD,Newport District,2023-05,Hispanic,*
AHSD,Newport District,2023-05,Native American,*
AHSD,Newport District,2023-05,Non Hispanic,365
AHSD,Newport District,2023-05,Unknown,*
AHSD,Newport District,2023-05,Unreported,35
AHSD,Rutland District,2023-05,Hispanic,*
AHSD,Rutland District,2023-05,Native American,0
AHSD,Rutland District,2023-05,Non Hispanic,745
AHSD,Rutland District,2023-05,Unknown,*
AHSD,Rutland District,2023-05,Unreported,51
AHSD,Springfield District,2023-05,Hispanic,29
AHSD,Springfield District,2023-05,Native American,0
AHSD,Springfield District,2023-05,Non Hispanic,393
AHSD,Springfield District,2023-05,Unknown,*
AHSD,Springfield District,2023-05,Unreported,*
AHSD,St. Albans District,2023-05,Hispanic,*
AHSD,St. Albans District,2023-05,Native American,0
AHSD,St. Albans District,2023-05,Non Hispanic,538
AHSD,St. Albans District,2023-05,Unknown,*
AHSD,St. Albans District,2023-05,Unreported,75
AHSD,St. Johnsbury District,2023-05,Hispanic,*
AHSD,St. Johnsbury District,2023-05,Native American,0
AHSD,St. Johnsbury District,2023-05,Non Hispanic,613
AHSD,St. Johnsbury District,2023-05,Unknown,*
AHSD,St. Johnsbury District,2023-05,Unreported,65
AHSD,Barre District,2023-04,Hispanic,*
AHSD,Barre District,2023-04,Native American,0
AHSD,Barre District,2023-04,Non Hispanic,388
AHSD,Barre District,2023-04,Unknown,*
AHSD,Barre District,2023-04,Unreported,29
AHSD,Bennington District,2023-04,Hispanic,*
AHSD,Bennington District,2023-04,Native American,0
AHSD,Bennington District,2023-04,Non Hispanic,515
AHSD,Bennington District,2023-04,Unknown,*
AHSD,Bennington District,2023-04,Unreported,76
AHSD,Brattleboro District,2023-04,Hispanic,27
AHSD,Brattleboro District,2023-04,Native American,*
AHSD,Brattleboro District,2023-04,Non Hispanic,246
AHSD,Brattleboro District,2023-04,Unknown,*
AHSD,Brattleboro District,2023-04,Unreported,84
AHSD,Burlington District,2023-04,Hispanic,40
AHSD,Burlington District,2023-04,Native American,*
AHSD,Burlington District,2023-04,Non Hispanic,1291
AHSD,Burlington District,2023-04,Unknown,*
AHSD,Burlington District,2023-04,Unreported,175
AHSD,Hartford District,2023-04,Hispanic,*
AHSD,Hartford District,2023-04,Native American,0
AHSD,Hartford District,2023-04,Non Hispanic,271
AHSD,Hartford District,2023-04,Unknown,*
AHSD,Hartford District,2023-04,Unreported,34
AHSD,Middlebury District,2023-04,Hispanic,*
AHSD,Middlebury District,2023-04,Native American,0
AHSD,Middlebury District,2023-04,Non Hispanic,341
AHSD,Middlebury District,2023-04,Unknown,*
AHSD,Middlebury District,2023-04,Unreported,80
AHSD,Morrisville District,2023-04,Hispanic,*
AHSD,Morrisville District,2023-04,Native American,0
AHSD,Morrisville District,2023-04,Non Hispanic,387
AHSD,Morrisville District,2023-04,Unknown,*
AHSD,Morrisville District,2023-04,Unreported,17
AHSD,Newport District,2023-04,Hispanic,*
AHSD,Newport District,2023-04,Native American,*
AHSD,Newport District,2023-04,Non Hispanic,376
AHSD,Newport District,2023-04,Unknown,*
AHSD,Newport District,2023-04,Unreported,37
AHSD,Rutland District,2023-04,Hispanic,*
AHSD,Rutland District,2023-04,Native American,0
AHSD,Rutland District,2023-04,Non Hispanic,769
AHSD,Rutland District,2023-04,Unknown,*
AHSD,Rutland District,2023-04,Unreported,40
AHSD,Springfield District,2023-04,Hispanic,*
AHSD,Springfield District,2023-04,Native American,0
AHSD,Springfield District,2023-04,Non Hispanic,401
AHSD,Springfield District,2023-04,Unknown,*
AHSD,Springfield District,2023-04,Unreported,30
AHSD,St. Albans District,2023-04,Hispanic,*
AHSD,St. Albans District,2023-04,Native American,0
AHSD,St. Albans District,2023-04,Non Hispanic,536
AHSD,St. Albans District,2023-04,Unknown,*
AHSD,St. Albans District,2023-04,Unreported,74
AHSD,St. Johnsbury District,2023-04,Hispanic,*
AHSD,St. Johnsbury District,2023-04,Native American,0
AHSD,St. Johnsbury District,2023-04,Non Hispanic,607
AHSD,St. Johnsbury District,2023-04,Unknown,*
AHSD,St. Johnsbury District,2023-04,Unreported,68
AHSD,Barre District,2023-03,Hispanic,*
AHSD,Barre District,2023-03,Native American,0
AHSD,Barre District,2023-03,Non Hispanic,377
AHSD,Barre District,2023-03,Unknown,*
AHSD,Barre District,2023-03,Unreported,27
AHSD,Bennington District,2023-03,Hispanic,*
AHSD,Bennington District,2023-03,Native American,0
AHSD,Bennington District,2023-03,Non Hispanic,496
AHSD,Bennington District,2023-03,Unknown,*
AHSD,Bennington District,2023-03,Unreported,72
AHSD,Brattleboro District,2023-03,Hispanic,27
AHSD,Brattleboro District,2023-03,Native American,*
AHSD,Brattleboro District,2023-03,Non Hispanic,238
AHSD,Brattleboro District,2023-03,Unknown,*
AHSD,Brattleboro District,2023-03,Unreported,81
AHSD,Burlington District,2023-03,Hispanic,41
