geo type,geography,year,category,value
county,Addison,2023-06,Hispanic,*
county,Addison,2023-06,Native American,0
county,Addison,2023-06,Non Hispanic,380
county,Addison,2023-06,Unknown,*
county,Addison,2023-06,Unreported,102
county,Bennington,2023-06,Hispanic,*
county,Bennington,2023-06,Native American,0
county,Bennington,2023-06,Non Hispanic,543
county,Bennington,2023-06,Unknown,*
county,Bennington,2023-06,Unreported,94
county,Caledonia,2023-06,Hispanic,*
county,Caledonia,2023-06,Native American,0
county,Caledonia,2023-06,Non Hispanic,576
county,Caledonia,2023-06,Unknown,*
county,Caledonia,2023-06,Unreported,64
county,Chittenden,2023-06,Hispanic,43
county,Chittenden,2023-06,Native American,*
county,Chittenden,2023-06,Non Hispanic,1394
county,Chittenden,2023-06,Unknown,*
county,Chittenden,2023-06,Unreported,231
county,Essex,2023-06,Hispanic,0
county,Essex,2023-06,Native American,0
county,Essex,2023-06,Non Hispanic,81
county,Essex,2023-06,Unknown,*
county,Essex,2023-06,Unreported,*
county,Franklin,2023-06,Hispanic,*
county,Franklin,2023-06,Native American,0
county,Franklin,2023-06,Non Hispanic,514
county,Franklin,2023-06,Unknown,*
county,Franklin,2023-06,Unreported,70
county,Grand Isle,2023-06,Hispanic,*
county,Grand Isle,2023-06,Native American,0
county,Grand Isle,2023-06,Non Hispanic,66
county,Grand Isle,2023-06,Unknown,0
county,Grand Isle,2023-06,Unreported,*
county,Lamoille,2023-06,Hispanic,*
county,Lamoille,2023-06,Native American,0
county,Lamoille,2023-06,Non Hispanic,356
county,Lamoille,2023-06,Unknown,*
county,Lamoille,2023-06,Unreported,16
county,Orange,2023-06,Hispanic,*
county,Orange,2023-06,Native American,0
county,Orange,2023-06,Non Hispanic,212
county,Orange,2023-06,Unknown,*
county,Orange,2023-06,Unreported,15
county,Orleans,2023-06,Hispanic,*
county,Orleans,2023-06,Native American,*
county,Orleans,2023-06,Non Hispanic,371
county,Orleans,2023-06,Unknown,*
county,Orleans,2023-06,Unreported,32
county,Rutland,2023-06,Hispanic,*
county,Rutland,2023-06,Native American,0
county,Rutland,2023-06,Non Hispanic,827
county,Rutland,2023-06,Unknown,*
county,Rutland,2023-06,Unreported,55
county,Washington,2023-06,Hispanic,*
county,Washington,2023-06,Native American,0
county,Washington,2023-06,Non Hispanic,396
county,Washington,2023-06,Unknown,*
county,Washington,2023-06,Unreported,31
county,Windham,2023-06,Hispanic,37
