geo type,geography,year,category,value
AHSD,Barre District,2023-06,Female,*
AHSD,Barre District,2023-06,Male,273
AHSD,Barre District,2023-06,Non-binary,0
AHSD,Barre District,2023-06,Prefer not to answer,*
AHSD,Barre District,2023-06,Prefer to self-describe,0
AHSD,Barre District,2023-06,Unknown,0
AHSD,Bennington District,2023-06,Female,330
AHSD,Bennington District,2023-06,Male,330
AHSD,Bennington District,2023-06,Non-binary,0
AHSD,Bennington District,2023-06,Prefer not to answer,0
AHSD,Bennington District,2023-06,Prefer to self-describe,0
AHSD,Bennington District,2023-06,Unknown,0
AHSD,Brattleboro District,2023-06,Female,193
AHSD,Brattleboro District,2023-06,Male,202
AHSD,Brattleboro District,2023-06,Non-binary,0
AHSD,Brattleboro District,2023-06,Prefer not to answer,*
AHSD,Brattleboro District,2023-06,Prefer to self-describe,*
AHSD,Brattleboro District,2023-06,Unknown,0
AHSD,Burlington District,2023-06,Female,872
AHSD,Burlington District,2023-06,Male,*
AHSD,Burlington District,2023-06,Non-binary,0
AHSD,Burlington District,2023-06,Prefer not to answer,*
AHSD,Burlington District,2023-06,Prefer to self-describe,0
AHSD,Burlington District,2023-06,Unknown,0
AHSD,Hartford District,2023-06,Female,*
AHSD,Hartford District,2023-06,Male,168
AHSD,Hartford District,2023-06,Non-binary,0
AHSD,Hartford District,2023-06,Prefer not to answer,*
AHSD,Hartford District,2023-06,Prefer to self-describe,0
AHSD,Hartford District,2023-06,Unknown,0
AHSD,Middlebury District,2023-06,Female,249
AHSD,Middlebury District,2023-06,Male,251
AHSD,Middlebury District,2023-06,Non-binary,*
AHSD,Middlebury District,2023-06,Prefer not to answer,*
AHSD,Middlebury District,2023-06,Prefer to self-describe,0
AHSD,Middlebury District,2023-06,Unknown,0
AHSD,Morrisville District,2023-06,Female,223
AHSD,Morrisville District,2023-06,Male,211
AHSD,Morrisville District,2023-06,Non-binary,0
AHSD,Morrisville District,2023-06,Prefer not to answer,0
AHSD,Morrisville District,2023-06,Prefer to self-describe,0
AHSD,Morrisville District,2023-06,Unknown,0
AHSD,Newport District,2023-06,Female,180
AHSD,Newport District,2023-06,Male,224
AHSD,Newport District,2023-06,Non-binary,0
AHSD,Newport District,2023-06,Prefer not to answer,0
AHSD,Newport District,2023-06,Prefer to self-describe,0
AHSD,Newport District,2023-06,Unknown,0
AHSD,Rutland District,2023-06,Female,457
AHSD,Rutland District,2023-06,Male,*
