geo type,geography,year,category,value
county,Addison,2023-06,Female,249
county,Addison,2023-06,Male,251
county,Addison,2023-06,Non-binary,*
county,Addison,2023-06,Prefer not to answer,*
county,Addison,2023-06,Prefer to self-describe,0
county,Addison,2023-06,Unknown,0
county,Bennington,2023-06,Female,330
county,Bennington,2023-06,Male,330
county,Bennington,2023-06,Non-binary,0
county,Bennington,2023-06,Prefer not to answer,0
county,Bennington,2023-06,Prefer to self-describe,0
county,Bennington,2023-06,Unknown,0
county,Caledonia,2023-06,Female,353
county,Caledonia,2023-06,Male,*
county,Caledonia,2023-06,Non-binary,0
county,Caledonia,2023-06,Prefer not to answer,*
county,Caledonia,2023-06,Prefer to self-describe,0
county,Caledonia,2023-06,Unknown,0
county,Chittenden,2023-06,Female,872
county,Chittenden,2023-06,Male,*
county,Chittenden,2023-06,Non-binary,0
county,Chittenden,2023-06,Prefer not to answer,*
county,Chittenden,2023-06,Prefer to self-describe,0
county,Chittenden,2023-06,Unknown,0
county,Essex,2023-06,Female,40
county,Essex,2023-06,Male,48
county,Essex,2023-06,Non-binary,0
county,Essex,2023-06,Prefer not to answer,0
county,Essex,2023-06,Prefer to self-describe,0
county,Essex,2023-06,Unknown,0
county,Franklin,2023-06,Female,*
county,Franklin,2023-06,Male,307
county,Franklin,2023-06,Non-binary,0
county,Franklin,2023-06,Prefer not to answer,*
county,Franklin,2023-06,Prefer to self-describe,0
county,Franklin,2023-06,Unknown,0
county,Grand Isle,2023-06,Female,40
county,Grand Isle,2023-06,Male,38
county,Grand Isle,2023-06,Non-binary,0
county,Grand Isle,2023-06,Prefer not to answer,0
county,Grand Isle,2023-06,Prefer to self-describe,0
county,Grand Isle,2023-06,Unknown,0
county,Lamoille,2023-06,Female,193
county,Lamoille,2023-06,Male,187
county,Lamoille,2023-06,Non-binary,0
county,Lamoille,2023-06,Prefer not to answer,0
county,Lamoille,2023-06,Prefer to self-describe,0
county,Lamoille,2023-06,Unknown,0
county,Orange,2023-06,Female,113
county,Orange,2023-06,Male,121
county,Orange,2023-06,Non-binary,0
county,Orange,2023-06,Prefer not to answer,0
county,Orange,2023-06,Prefer to self-describe,0
county,Orange,2023-06,Unknown,0
county,Orleans,2023-06,Female,189
county,Orleans,2023-06,Male,222
county,Orleans,2023-06,Non-binary,0
county,Orleans,2023-06,Prefer not to answer,0
county,Orleans,2023-06,Prefer to self-describe,0
county,Orleans,2023-06,Unknown,0
county,Rutland,2023-06,Female,457
county,Rutland,2023-06,Male,*
county,Rutland,2023-06,Non-binary,0
county,Rutland,2023-06,Prefer not to answer,*
county,Rutland,2023-06,Prefer to self-describe,0
county,Rutland,2023-06,Unknown,0
county,Washington,2023-06,Female,*
county,Washington,2023-06,Male,251
county,Washington,2023-06,Non-binary,0
county,Washington,2023-06,Prefer not to answer,*
county,Washington,2023-06,Prefer to self-describe,0
county,Washington,2023-06,Unknown,0
county,Windham,2023-06,Female,237
county,Windham,2023-06,Male,262
county,Windham,2023-06,Non-binary,0
county,Windham,2023-06,Prefer not to answer,*
county,Windham,2023-06,Prefer to self-describe,*
county,Windham,2023-06,Unknown,0
county,Windsor,2023-06,Female,294
county,Windsor,2023-06,Male,*
county,Windsor,2023-06,Non-binary,0
county,Windsor,2023-06,Prefer not to answer,*
county,Windsor,2023-06,Prefer to self-describe,0
county,Windsor,2023-06,Unknown,0
county,Addison,2023-05,Female,216
county,Addison,2023-05,Male,207
county,Addison,2023-05,Non-binary,*
county,Addison,2023-05,Prefer not to answer,*
county,Addison,2023-05,Prefer to self-describe,0
county,Addison,2023-05,Unknown,0
county,Bennington,2023-05,Female,302
county,Bennington,2023-05,Male,305
county,Bennington,2023-05,Non-binary,0
county,Bennington,2023-05,Prefer not to answer,0
county,Bennington,2023-05,Prefer to self-describe,0
county,Bennington,2023-05,Unknown,0
county,Caledonia,2023-05,Female,337
county,Caledonia,2023-05,Male,*
county,Caledonia,2023-05,Non-binary,0
county,Caledonia,2023-05,Prefer not to answer,*
county,Caledonia,2023-05,Prefer to self-describe,0
county,Caledonia,2023-05,Unknown,0
county,Chittenden,2023-05,Female,774
county,Chittenden,2023-05,Male,*
county,Chittenden,2023-05,Non-binary,0
county,Chittenden,2023-05,Prefer not to answer,*
county,Chittenden,2023-05,Prefer to self-describe,0
county,Chittenden,2023-05,Unknown,0
county,Essex,2023-05,Female,36
county,Essex,2023-05,Male,47
county,Essex,2023-05,Non-binary,0
county,Essex,2023-05,Prefer not to answer,0
county,Essex,2023-05,Prefer to self-describe,0
county,Essex,2023-05,Unknown,0
county,Franklin,2023-05,Female,*
county,Franklin,2023-05,Male,286
county,Franklin,2023-05,Non-binary,0
county,Franklin,2023-05,Prefer not to answer,*
county,Franklin,2023-05,Prefer to self-describe,0
county,Franklin,2023-05,Unknown,0
county,Grand Isle,2023-05,Female,34
county,Grand Isle,2023-05,Male,34
county,Grand Isle,2023-05,Non-binary,0
county,Grand Isle,2023-05,Prefer not to answer,0
county,Grand Isle,2023-05,Prefer to self-describe,0
county,Grand Isle,2023-05,Unknown,0
county,Lamoille,2023-05,Female,183
county,Lamoille,2023-05,Male,178
county,Lamoille,2023-05,Non-binary,0
county,Lamoille,2023-05,Prefer not to answer,0
county,Lamoille,2023-05,Prefer to self-describe,0
county,Lamoille,2023-05,Unknown,0
county,Orange,2023-05,Female,110
county,Orange,2023-05,Male,111
county,Orange,2023-05,Non-binary,0
county,Orange,2023-05,Prefer not to answer,0
county,Orange,2023-05,Prefer to self-describe,0
county,Orange,2023-05,Unknown,0
county,Orleans,2023-05,Female,195
county,Orleans,2023-05,Male,217
county,Orleans,2023-05,Non-binary,0
county,Orleans,2023-05,Prefer not to answer,0
county,Orleans,2023-05,Prefer to self-describe,0
county,Orleans,2023-05,Unknown,0
county,Rutland,2023-05,Female,*
county,Rutland,2023-05,Male,413
county,Rutland,2023-05,Non-binary,0
county,Rutland,2023-05,Prefer not to answer,*
county,Rutland,2023-05,Prefer to self-describe,0
county,Rutland,2023-05,Unknown,0
county,Washington,2023-05,Female,*
county,Washington,2023-05,Male,229
county,Washington,2023-05,Non-binary,0
county,Washington,2023-05,Prefer not to answer,*
county,Washington,2023-05,Prefer to self-describe,0
county,Washington,2023-05,Unknown,0
county,Windham,2023-05,Female,*
county,Windham,2023-05,Male,235
