geo type,geography,year,category,value
AHSD,Barre District,2023-06,American Indian or Alaskan Native,*
AHSD,Barre District,2023-06,Asian,*
AHSD,Barre District,2023-06,Black or African American,10
AHSD,Barre District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Barre District,2023-06,Prefer not to answer,10
AHSD,Barre District,2023-06,Prefer to self-describe,*
AHSD,Barre District,2023-06,White,405
AHSD,Barre District,2023-06,Two or More Races,22
AHSD,Barre District,2023-06,Unreported,49
AHSD,Bennington District,2023-06,American Indian or Alaskan Native,*
AHSD,Bennington District,2023-06,Asian,*
AHSD,Bennington District,2023-06,Black or African American,*
AHSD,Bennington District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Bennington District,2023-06,Prefer not to answer,*
AHSD,Bennington District,2023-06,Prefer to self-describe,*
AHSD,Bennington District,2023-06,White,540
AHSD,Bennington District,2023-06,Two or More Races,32
AHSD,Bennington District,2023-06,Unreported,75
AHSD,Brattleboro District,2023-06,American Indian or Alaskan Native,*
AHSD,Brattleboro District,2023-06,Asian,*
AHSD,Brattleboro District,2023-06,Black or African American,*
AHSD,Brattleboro District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Brattleboro District,2023-06,Prefer not to answer,*
AHSD,Brattleboro District,2023-06,Prefer to self-describe,*
AHSD,Brattleboro District,2023-06,White,202
AHSD,Brattleboro District,2023-06,Two or More Races,12
AHSD,Brattleboro District,2023-06,Unreported,169
AHSD,Burlington District,2023-06,American Indian or Alaskan Native,*
AHSD,Burlington District,2023-06,Asian,43
AHSD,Burlington District,2023-06,Black or African American,181
AHSD,Burlington District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Burlington District,2023-06,Prefer not to answer,*
AHSD,Burlington District,2023-06,Prefer to self-describe,14
AHSD,Burlington District,2023-06,White,718
AHSD,Burlington District,2023-06,Two or More Races,67
AHSD,Burlington District,2023-06,Unreported,645
AHSD,Hartford District,2023-06,American Indian or Alaskan Native,*
AHSD,Hartford District,2023-06,Asian,*
AHSD,Hartford District,2023-06,Black or African American,*
AHSD,Hartford District,2023-06,Native Hawaiian or Pacific Islander,*
AHSD,Hartford District,2023-06,Prefer not to answer,0
AHSD,Hartford District,2023-06,Prefer to self-describe,0
AHSD,Hartford District,2023-06,White,246
AHSD,Hartford District,2023-06,Two or More Races,*
AHSD,Hartford District,2023-06,Unreported,62
AHSD,Middlebury District,2023-06,American Indian or Alaskan Native,0
AHSD,Middlebury District,2023-06,Asian,0
AHSD,Middlebury District,2023-06,Black or African American,*
AHSD,Middlebury District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Middlebury District,2023-06,Prefer not to answer,0
AHSD,Middlebury District,2023-06,Prefer to self-describe,*
AHSD,Middlebury District,2023-06,White,85
AHSD,Middlebury District,2023-06,Two or More Races,0
AHSD,Middlebury District,2023-06,Unreported,414
AHSD,Morrisville District,2023-06,American Indian or Alaskan Native,0
AHSD,Morrisville District,2023-06,Asian,0
AHSD,Morrisville District,2023-06,Black or African American,*
AHSD,Morrisville District,2023-06,Native Hawaiian or Pacific Islander,*
AHSD,Morrisville District,2023-06,Prefer not to answer,*
AHSD,Morrisville District,2023-06,Prefer to self-describe,0
AHSD,Morrisville District,2023-06,White,306
AHSD,Morrisville District,2023-06,Two or More Races,14
AHSD,Morrisville District,2023-06,Unreported,102
AHSD,Newport District,2023-06,American Indian or Alaskan Native,0
AHSD,Newport District,2023-06,Asian,0
AHSD,Newport District,2023-06,Black or African American,*
AHSD,Newport District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Newport District,2023-06,Prefer not to answer,*
AHSD,Newport District,2023-06,Prefer to self-describe,*
AHSD,Newport District,2023-06,White,216
AHSD,Newport District,2023-06,Two or More Races,0
AHSD,Newport District,2023-06,Unreported,176
AHSD,Rutland District,2023-06,American Indian or Alaskan Native,0
AHSD,Rutland District,2023-06,Asian,*
AHSD,Rutland District,2023-06,Black or African American,26
AHSD,Rutland District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Rutland District,2023-06,Prefer not to answer,*
AHSD,Rutland District,2023-06,Prefer to self-describe,*
AHSD,Rutland District,2023-06,White,759
AHSD,Rutland District,2023-06,Two or More Races,34
AHSD,Rutland District,2023-06,Unreported,85
AHSD,Springfield District,2023-06,American Indian or Alaskan Native,*
AHSD,Springfield District,2023-06,Asian,*
AHSD,Springfield District,2023-06,Black or African American,*
AHSD,Springfield District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,Springfield District,2023-06,Prefer not to answer,0
AHSD,Springfield District,2023-06,Prefer to self-describe,*
AHSD,Springfield District,2023-06,White,408
AHSD,Springfield District,2023-06,Two or More Races,15
AHSD,Springfield District,2023-06,Unreported,51
AHSD,St. Albans District,2023-06,American Indian or Alaskan Native,*
AHSD,St. Albans District,2023-06,Asian,*
AHSD,St. Albans District,2023-06,Black or African American,10
AHSD,St. Albans District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,St. Albans District,2023-06,Prefer not to answer,*
AHSD,St. Albans District,2023-06,Prefer to self-describe,*
AHSD,St. Albans District,2023-06,White,546
AHSD,St. Albans District,2023-06,Two or More Races,22
AHSD,St. Albans District,2023-06,Unreported,95
AHSD,St. Johnsbury District,2023-06,American Indian or Alaskan Native,*
AHSD,St. Johnsbury District,2023-06,Asian,*
AHSD,St. Johnsbury District,2023-06,Black or African American,*
AHSD,St. Johnsbury District,2023-06,Native Hawaiian or Pacific Islander,0
AHSD,St. Johnsbury District,2023-06,Prefer not to answer,*
AHSD,St. Johnsbury District,2023-06,Prefer to self-describe,*
AHSD,St. Johnsbury District,2023-06,White,237
AHSD,St. Johnsbury District,2023-06,Two or More Races,*
AHSD,St. Johnsbury District,2023-06,Unreported,474
AHSD,Barre District,2023-05,American Indian or Alaskan Native,0
AHSD,Barre District,2023-05,Asian,*
AHSD,Barre District,2023-05,Black or African American,*
AHSD,Barre District,2023-05,Native Hawaiian or Pacific Islander,0
AHSD,Barre District,2023-05,Prefer not to answer,10
AHSD,Barre District,2023-05,Prefer to self-describe,*
AHSD,Barre District,2023-05,White,360
AHSD,Barre District,2023-05,Two or More Races,22
AHSD,Barre District,2023-05,Unreported,45
AHSD,Bennington District,2023-05,American Indian or Alaskan Native,*
AHSD,Bennington District,2023-05,Asian,*
AHSD,Bennington District,2023-05,Black or African American,*
AHSD,Bennington District,2023-05,Native Hawaiian or Pacific Islander,0
