Category,Topics,Goals,Geographies
"AHS District, BBF Region, Health Services District",0,0,1
Goal 3: Access to High-Quality Opportunities,0,1,0
Goal 1: Children Have a Healthy Start,0,1,0
Basic Needs,1,0,0
Child Care,1,0,0
Child Development,1,0,0
Demographics,1,0,0
Economics,1,0,0
Education,1,0,0
Goal 2: Families and Communities Play A Leading Role,0,1,0
Hospital Service Area,0,0,1
Housing,1,0,0
Mental Health,1,0,0
Physical Health,1,0,0
Resilience,1,0,0
"Goal 4: Integrated, Well-Resourced, and Data-Informed System",0,1,0
UPK,1,0,0
Vermont,0,0,1
Workforce,1,0,0
County,0,0,1
