wp_id,slug,Chart_url,link,title,BN:Cost of living,BN:Housing,BN:Food security and nutrition,BN:Financial assistance,Housing:Housing,Demographic:Living arrangements,Demographics:Population,Econ:Cost of living,Econ:Financial assistance,Econ:Economic impact,Child Care:Access,Child development:Service access and utilization,Child development:Standardized tests and screening,Education:Enrollment,Education:Standardized tests,Education:Student characteristics,Mental health:Access,Mental health:Prevalence,PH:Mental health,PH:Access and utilization,PH:Food security and nutrition,PH:Perinatal health,R:Food security and nutrition,R:Housing,R:Cost of living,R:Mental health,R:Other environmental factors,R:Social and emotional,UPK:Access and utilization,UPK:Standardized tests,Workforce:Paid Leave,Geo_state,Geo_AHS_District,Geo_County,Geo_SU_SD,Geo_HSA,Goal 1 (healthy start),Goal 2 (families and comm),Goal 3 (opportunties),Goal 4 (integrated/resource/data-drive)
368,aces,/linechart/adverse_experiences:chart,https://vermontkidsdata.org/aces/,Percent of children under 9 with 2 or fewer Adverse Childhood Experiences (ACEs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
147,breastfeeding-duration-exclusivity,/columnchart/breastfed_infants:chart,https://vermontkidsdata.org/breastfeeding-duration-exclusivity/,Breastfeeding duration and exclusivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
141,child-care-access,/columnchart/families_no_05_care:chart,https://vermontkidsdata.org/access-to-0-5-early-care-and-education/,Child care access: families without access to 0-5 early care and education,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
386,child-care-financial-assistance-program,/columnchart/children_ccfap:chart,https://vermontkidsdata.org/families-receiving-ccfap/,Families participating in the Child Care Financial Assistance Program (CCFAP),0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
233,child-protection-case-type,/linechart/dcf:chart,https://vermontkidsdata.org/child-protection-case-type/,Child protection by type of involvement,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
155,children-in-poverty,/columnchart/poverty_under_12:chart,https://vermontkidsdata.org/children-in-poverty/,Children in poverty: Households with children under 6 living at or below 185% of the Federal Poverty Level,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
390,children-served-by-head-start,/columnchart/69,https://vermontkidsdata.org/children-served-by-head-start/,Children served by Head Start and Early Head Start Programs,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
199,children-with-adequate-insurance,/columnchart/health_insurance:chart,https://vermontkidsdata.org/children-with-adequate-insurance/,Children with adequate insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
177,depression-before-pregnancy,/linechart/mothers_depression:chart,https://vermontkidsdata.org/depression-before-pregnancy/,Birthing parents with depression before pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
168,developmental-screening,/columnchart/devscreen:chart,https://vermontkidsdata.org/developmental-screening/,Children with a developmental screening,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
