Category,Basic Needs,Child Care,Child Development,Demographics,Economics,Education,Housing,Mental Health,Physical Health,Resilience,UPK,Workforce,Goal 1: Children Have a Healthy Start,Goal 2: Families and Communities Play A Leading Role,Goal 3: Access to High-Quality Opportunities,"Goal 4: Integrated, Well-Resourced, and Data-Informed System","AHS District, BBF Region, Health Services District",County,Hospital Service Area,Vermont
BN:Cost of living,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN:Financial assistance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN:Food security and nutrition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN:Housing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child care:Child Care,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child development:Child Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child development:Service Access and Utilization,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Child development:Standardized tests and screenings,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demographics:Living arrangements,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demographics:Population,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Econ:Cost of living,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Econ:Economic impact,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Econ:Financial assistance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education:Enrollment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education:General,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing:Housing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health:Access,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health:Prevalence,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PH:Access and utilization,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PH:Food security and nutrition,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PH:Mental health,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
