geo_type,geography,year,category,value
State,Vermont,2024,pre-tax income annually,"136,599"
State,Vermont,2024,pre-tax income hourly,32.84
County,Addison County,2024,pre-tax income annually,"120,589"
County,Addison County,2024,pre-tax income hourly,28.99
County,Bennington County,2024,pre-tax income annually,"114,436"
County,Bennington County,2024,pre-tax income hourly,27.51
County,Caledonia County,2024,pre-tax income annually,"109,933"
County,Caledonia County,2024,pre-tax income hourly,26.43
County,Chittenden County,2024,pre-tax income annually,"136,599"
County,Chittenden County,2024,pre-tax income hourly,32.84
County,Essex County,2024,pre-tax income annually,"103,919"
County,Essex County,2024,pre-tax income hourly,24.98
County,Franklin County,2024,pre-tax income annually,"126,690"
County,Franklin County,2024,pre-tax income hourly,30.45
County,Grand Isle County,2024,pre-tax income annually,"125,702"
County,Grand Isle County,2024,pre-tax income hourly,30.22
County,Lamoille County,2024,pre-tax income annually,"116,211"
County,Lamoille County,2024,pre-tax income hourly,27.94
County,Orange County,2024,pre-tax income annually,"114,853"
County,Orange County,2024,pre-tax income hourly,27.61
County,Orleans County,2024,pre-tax income annually,"111,832"
County,Orleans County,2024,pre-tax income hourly,26.88
County,Rutland County,2024,pre-tax income annually,"113,652"
County,Rutland County,2024,pre-tax income hourly,27.32
County,Washington County,2024,pre-tax income annually,"115,598"
County,Washington County,2024,pre-tax income hourly,27.79
County,Windham County,2024,pre-tax income annually,"124,163"
County,Windham County,2024,pre-tax income hourly,29.85
County,Windsor County,2024,pre-tax income annually,"115,668"
County,Windsor County,2024,pre-tax income hourly,27.8
