Geo Type,Geography,Year,Category,Value
Country,US,2010,100% FPL,22050
Country,US,2011,100% FPL,22350
Country,US,2012,100% FPL,23050
Country,US,2013,100% FPL,23550
Country,US,2014,100% FPL,23850
Country ,US,2015,100% FPL,24250
Country,US,2016,100% FPL,24300
Country ,US,2017,100% FPL,24600
Country,US,2018,100% FPL,25100
Country,US,2019,100% FPL,25750
Country,US,2020,100% FPL,26200
Country,US,2021,100% FPL,26500
Country,US,2022,100% FPL,27750
Country,US,2023,100% FPL,30000
Country,US,2010,185% FPL,40793
Country,US,2011,185% FPL,41348
Country,US,2012,185% FPL,42643
Country,US,2013,185% FPL,43475
Country,US,2014,185% FPL,44123
Country ,US,2015,185% FPL,44863
Country,US,2016,185% FPL,44955
Country ,US,2017,185% FPL,45510
Country,US,2018,185% FPL,46435
Country,US,2019,185% FPL,47638
Country,US,2020,185% FPL,48470
Country,US,2021,185% FPL,49025
Country,US,2022,185% FPL,51338
Country,US,2023,185% FPL,55500
