geo_type,geography,year,percent
State,Vermont,2014,0.191
State,Vermont,2015,0.157
State,Vermont,2016,0.157
State,Vermont,2017,0.159
State,Vermont,2018,0.152
State,Vermont,2019,0.137
State,Vermont,2020,0.118
State,Vermont,2021,0.103
US,United States,2014,0.205
US,United States,2015,0.179
US,United States,2016,0.175
US,United States,2017,0.17
US,United States,2018,0.152
US,United States,2019,0.146
US,United States,2020,0.161
US,United States,2021,0.128
US,United States,2022,0.185
US,United States,2023,0.192
State,Vermont,2022,0.147
State,Vermont,2023,0.139
