Geo Type,Geography,Year Type,Year,Age,Category,Value
State,Vermont,School Year,2018,3,IEP,467
State,Vermont,School Year,2018,4,IEP,623
State,Vermont,School Year,2018,5,IEP,743
State,Vermont,School Year,2018,6,IEP,828
State,Vermont,School Year,2018,7,IEP,893
State,Vermont,School Year,2018,8,IEP,940
State,Vermont,School Year,2018,3 to 8,IEP,4494
State,Vermont,School Year,2019,3,IEP,469
State,Vermont,School Year,2019,4,IEP,696
State,Vermont,School Year,2019,5,IEP,811
State,Vermont,School Year,2019,6,IEP,790
State,Vermont,School Year,2019,7,IEP,920
State,Vermont,School Year,2019,8,IEP,988
State,Vermont,School Year,2019,3 to 8,IEP,4674
State,Vermont,School Year,2020,3,IEP,491
State,Vermont,School Year,2020,4,IEP,675
State,Vermont,School Year,2020,5,IEP,845
State,Vermont,School Year,2020,6,IEP,871
State,Vermont,School Year,2020,7,IEP,878
State,Vermont,School Year,2020,8,IEP,1019
State,Vermont,School Year,2020,3 to 8,IEP,4779
State,Vermont,School Year,2021,3,IEP,346
State,Vermont,School Year,2021,4,IEP,606
State,Vermont,School Year,2021,5,IEP,742
State,Vermont,School Year,2021,6,IEP,855
State,Vermont,School Year,2021,7,IEP,851
State,Vermont,School Year,2021,8,IEP,932
State,Vermont,School Year,2021,3 to 8,IEP,4332
State,Vermont,School Year,2022,3,IEP,370
State,Vermont,School Year,2022,4,IEP,561
State,Vermont,School Year,2022,5,IEP,780
State,Vermont,School Year,2022,6,IEP,818
State,Vermont,School Year,2022,7,IEP,942
State,Vermont,School Year,2022,8,IEP,1008
State,Vermont,School Year,2022,3 to 8,IEP,4479
State,Vermont,School Year,2023,3,IEP,533
State,Vermont,School Year,2023,4,IEP,641
State,Vermont,School Year,2023,5,IEP,750
State,Vermont,School Year,2023,6,IEP,844
State,Vermont,School Year,2023,7,IEP,931
State,Vermont,School Year,2023,8,IEP,1106
State,Vermont,School Year,2023,3 to 8,IEP,4805
