geo_type,geography,year,percent
County,Addison,2019,0.796
County,Bennington,2019,0.761
County,Caledonia,2019,0.74
County,Chittenden,2019,0.803
County,Essex,2019,0.596
County,Franklin,2019,0.796
County,Grand Isle,2019,0.707
County,Lamoille,2019,0.714
County,Orange,2019,0.815
County,Orleans,2019,0.763
County,Rutland,2019,0.758
State,Vermont,2019,0.764
County,Washington,2019,0.773
County,Windham,2019,0.716
County,Windsor,2019,0.656
County,Addison,2020,0.776
County,Bennington,2020,0.807
County,Caledonia,2020,0.664
County,Chittenden,2020,0.794
County,Essex,2020,0.577
County,Franklin,2020,0.719
County,Grand Isle,2020,0.785
County,Lamoille,2020,0.713
County,Orange,2020,0.738
County,Orleans,2020,0.748
County,Rutland,2020,0.815
State,Vermont,2020,0.756
County,Washington,2020,0.768
County,Windham,2020,0.697
County,Windsor,2020,0.701
County,Addison,2021,0.779
County,Bennington,2021,0.768
County,Caledonia,2021,0.678
County,Chittenden,2021,0.786
County,Essex,2021,0.455
County,Franklin,2021,0.707
County,Grand Isle,2021,0.6
County,Lamoille,2021,0.774
County,Orange,2021,0.77
County,Orleans,2021,0.771
County,Rutland,2021,0.862
State,Vermont,2021,0.75
County,Washington,2021,0.749
County,Windham,2021,0.666
County,Windsor,2021,0.683
County,Addison,2022,0.774
County,Bennington,2022,0.742
County,Caledonia,2022,0.651
County,Chittenden,2022,0.79
County,Essex,2022,0.596
County,Franklin,2022,0.735
County,Grand Isle,2022,0.77
County,Lamoille,2022,0.753
County,Orange,2022,0.769
County,Orleans,2022,0.749
County,Rutland,2022,0.82
State,Vermont,2022,0.755
County,Washington,2022,0.775
County,Windham,2022,0.671
County,Windsor,2022,0.701
County,Addison,2023,0.825
County,Bennington,2023,0.713
County,Caledonia,2023,0.674
County,Chittenden,2023,0.769
County,Essex,2023,0.455
County,Franklin,2023,0.817
County,Grand Isle,2023,0.703
County,Lamoille,2023,0.73
County,Orange,2023,0.775
County,Orleans,2023,0.772
State,Vermont,2023,0.758
County,Washington,2023,0.786
County,Windham,2023,0.697
County,Windsor,2023,0.688
County,Addison,2024,0.78
County,Bennington,2024,0.75
County,Caledonia,2024,0.67
County,Chittenden,2024,0.78
County,Essex,2024,0.51
County,Franklin,2024,0.79
County,Grand Isle,2024,0.75
County,Lamoille,2024,0.73
County,Orange,2024,0.75
County,Orleans,2024,0.68
State,Vermont,2024,0.75
County,Washington,2024,0.76
County,Windham,2024,0.63
County,Windsor,2024,0.74
