Geo Type,Geography,Year,Category,Value
State,Vermont,2024,Children under 18,"20,741"
County,Addison,2024,Children under 18,803
County,Bennington,2024,Children under 18,"1,769"
County,Caledonia,2024,Children under 18,"1,324"
County,Chittenden,2024,Children under 18,"3,959"
County,Essex,2024,Children under 18,300
County,Franklin,2024,Children under 18,"1,927"
County,Grand Isle,2024,Children under 18,259
County,Lamoille,2024,Children under 18,776
County,Orange,2024,Children under 18,970
County,Orleans,2024,Children under 18,"1,326"
County,Rutland,2024,Children under 18,"2,347"
County,Washington,2024,Children under 18,"1,637"
County,Windham,2024,Children under 18,"1,621"
County,Windsor,2024,Children under 18,"1,685"
State,Vermont,2023,Children under 18,"20,860"
State,Vermont,2022,Children under 18,"22,001"
State,Vermont,2021,Children under 18,"20,373"
State,Vermont,2020,Children under 18,"19,926"
