Geo type,Geography,Year,Category ,Value
State,Vermont,2023,pre tax income,104193
State,Vermont,2023,pre tax income hourly,21.25
State,Vermont,2023,annual food expenses,13429
State,Vermont,2023,transporation cost,11821
State,Vermont,2023,child care costs,20925.4
State,Vermont,2023,health cost,8852
County,Addison County,2023,pre tax income,103680
County,Addison County,2023,pre tax income hourly,24.92
County,Bennington County,2023,pre tax income,100326
County,Bennington County,2023,pre tax income hourly,24.12
County,Caledonia County,2023,pre tax income,96067
County,Caledonia County,2023,pre tax income hourly,23.09
County,Chittenden County,2023,pre tax income,112467
County,Chittenden County,2023,pre tax income hourly,27.04
County,Essex County,2023,pre tax income,91553
County,Essex County,2023,pre tax income hourly,22.01
County,Franklin County,2023,pre tax income,105622
County,Franklin County,2023,pre tax income hourly,25.39
County,Grand Isle County,2023,pre tax income,103884
County,Grand Isle County,2023,pre tax income hourly,24.97
County,Lamoille County,2023,pre tax income,99553
County,Lamoille County,2023,pre tax income hourly,23.93
County,Orange County,2023,pre tax income,98984
County,Orange County,2023,pre tax income hourly,23.79
County,Orleans County,2023,pre tax income,97438
County,Orleans County,2023,pre tax income hourly,23.42
County,Rutland County,2023,pre tax income,99106
County,Rutland County,2023,pre tax income hourly,23.82
County,Washington County,2023,pre tax income,101265
County,Washington County,2023,pre tax income hourly,24.34
County,Windham County,2023,pre tax income,107235
County,Windham County,2023,pre tax income hourly,25.78
County,Windsor County,2023,pre tax income,101272
County,Windsor County,2023,pre tax income hourly,24.34
