geo_type,geography,age_range,year,count
BBF Region,Central Vermont,Under 9,2014,48
BBF Region,Central Vermont,Under 9,2015,48
BBF Region,Central Vermont,Under 9,2016,59
BBF Region,Central Vermont,Under 9,2017,57
BBF Region,Central Vermont,Under 9,2018,67
BBF Region,Central Vermont,Under 9,2019,59
BBF Region,Central Vermont,Under 9,2020,44
BBF Region,Central Vermont,Under 9,2021,41
BBF Region,Central Vermont,Under 9,2022,64
BBF Region,Central Vermont,Under 9,2023,39
BBF Region,Central Vermont,Under 9,2024,44
BBF Region,Central Vermont,Under 9,2025,38
BBF Region,Bennington,Under 9,2014,42
BBF Region,Bennington,Under 9,2015,52
BBF Region,Bennington,Under 9,2016,45
BBF Region,Bennington,Under 9,2017,49
BBF Region,Bennington,Under 9,2018,61
BBF Region,Bennington,Under 9,2019,64
BBF Region,Bennington,Under 9,2020,69
BBF Region,Bennington,Under 9,2021,57
BBF Region,Bennington,Under 9,2022,57
BBF Region,Bennington,Under 9,2023,47
BBF Region,Bennington,Under 9,2024,50
BBF Region,Bennington,Under 9,2025,51
BBF Region,Southeast Vermont,Under 9,2014,45
BBF Region,Southeast Vermont,Under 9,2015,50
BBF Region,Southeast Vermont,Under 9,2016,88
BBF Region,Southeast Vermont,Under 9,2017,75
BBF Region,Southeast Vermont,Under 9,2018,96
BBF Region,Southeast Vermont,Under 9,2019,79
BBF Region,Southeast Vermont,Under 9,2020,59
BBF Region,Southeast Vermont,Under 9,2021,45
BBF Region,Southeast Vermont,Under 9,2022,51
BBF Region,Southeast Vermont,Under 9,2023,35
BBF Region,Southeast Vermont,Under 9,2024,31
BBF Region,Southeast Vermont,Under 9,2025,27
BBF Region,Chittenden,Under 9,2014,76
BBF Region,Chittenden,Under 9,2015,86
BBF Region,Chittenden,Under 9,2016,74
BBF Region,Chittenden,Under 9,2017,85
BBF Region,Chittenden,Under 9,2018,62
BBF Region,Chittenden,Under 9,2019,88
BBF Region,Chittenden,Under 9,2020,71
BBF Region,Chittenden,Under 9,2021,67
BBF Region,Chittenden,Under 9,2022,67
BBF Region,Chittenden,Under 9,2023,71
BBF Region,Chittenden,Under 9,2024,70
BBF Region,Chittenden,Under 9,2025,59
BBF Region,Northern Windsor and Orange,Under 9,2014,47
BBF Region,Northern Windsor and Orange,Under 9,2015,57
BBF Region,Northern Windsor and Orange,Under 9,2016,49
BBF Region,Northern Windsor and Orange,Under 9,2017,38
BBF Region,Northern Windsor and Orange,Under 9,2018,42
BBF Region,Northern Windsor and Orange,Under 9,2019,33
BBF Region,Northern Windsor and Orange,Under 9,2020,21
BBF Region,Northern Windsor and Orange,Under 9,2021,16
BBF Region,Northern Windsor and Orange,Under 9,2022,18
BBF Region,Northern Windsor and Orange,Under 9,2023,21
BBF Region,Northern Windsor and Orange,Under 9,2024,24
BBF Region,Northern Windsor and Orange,Under 9,2025,19
BBF Region,Addison,Under 9,2014,25
BBF Region,Addison,Under 9,2015,33
BBF Region,Addison,Under 9,2016,43
BBF Region,Addison,Under 9,2017,32
BBF Region,Addison,Under 9,2018,37
BBF Region,Addison,Under 9,2019,45
BBF Region,Addison,Under 9,2020,38
BBF Region,Addison,Under 9,2021,21
BBF Region,Addison,Under 9,2022,29
BBF Region,Addison,Under 9,2023,31
BBF Region,Addison,Under 9,2024,18
BBF Region,Addison,Under 9,2025,17
BBF Region,Lamoille Valley,Under 9,2014,19
BBF Region,Lamoille Valley,Under 9,2015,26
BBF Region,Lamoille Valley,Under 9,2016,23
BBF Region,Lamoille Valley,Under 9,2017,14
BBF Region,Lamoille Valley,Under 9,2018,15
BBF Region,Lamoille Valley,Under 9,2019,24
BBF Region,Lamoille Valley,Under 9,2020,19
BBF Region,Lamoille Valley,Under 9,2021,28
BBF Region,Lamoille Valley,Under 9,2022,33
BBF Region,Lamoille Valley,Under 9,2023,27
BBF Region,Lamoille Valley,Under 9,2024,25
BBF Region,Lamoille Valley,Under 9,2025,17
BBF Region,Orleans and Northern Essex,Under 9,2014,14
BBF Region,Orleans and Northern Essex,Under 9,2015,28
BBF Region,Orleans and Northern Essex,Under 9,2016,29
BBF Region,Orleans and Northern Essex,Under 9,2017,16
BBF Region,Orleans and Northern Essex,Under 9,2018,21
BBF Region,Orleans and Northern Essex,Under 9,2019,50
BBF Region,Orleans and Northern Essex,Under 9,2020,28
BBF Region,Orleans and Northern Essex,Under 9,2021,37
BBF Region,Orleans and Northern Essex,Under 9,2022,40
BBF Region,Orleans and Northern Essex,Under 9,2023,32
BBF Region,Orleans and Northern Essex,Under 9,2024,27
BBF Region,Orleans and Northern Essex,Under 9,2025,14
BBF Region,Rutland,Under 9,2014,52
BBF Region,Rutland,Under 9,2015,75
BBF Region,Rutland,Under 9,2016,81
BBF Region,Rutland,Under 9,2017,71
BBF Region,Rutland,Under 9,2018,65
BBF Region,Rutland,Under 9,2019,73
BBF Region,Rutland,Under 9,2020,51
BBF Region,Rutland,Under 9,2021,74
BBF Region,Rutland,Under 9,2022,70
BBF Region,Rutland,Under 9,2023,65
BBF Region,Rutland,Under 9,2024,59
BBF Region,Rutland,Under 9,2025,50
BBF Region,Springfield Area,Under 9,2014,33
BBF Region,Springfield Area,Under 9,2015,49
BBF Region,Springfield Area,Under 9,2016,61
BBF Region,Springfield Area,Under 9,2017,58
BBF Region,Springfield Area,Under 9,2018,48
BBF Region,Springfield Area,Under 9,2019,33
BBF Region,Springfield Area,Under 9,2020,33
BBF Region,Springfield Area,Under 9,2021,28
BBF Region,Springfield Area,Under 9,2022,26
BBF Region,Springfield Area,Under 9,2023,21
BBF Region,Springfield Area,Under 9,2024,18
BBF Region,Springfield Area,Under 9,2025,19
BBF Region,Franklin and Grand Isle,Under 9,2014,72
BBF Region,Franklin and Grand Isle,Under 9,2015,136
BBF Region,Franklin and Grand Isle,Under 9,2016,123
BBF Region,Franklin and Grand Isle,Under 9,2017,84
BBF Region,Franklin and Grand Isle,Under 9,2018,105
BBF Region,Franklin and Grand Isle,Under 9,2019,84
BBF Region,Franklin and Grand Isle,Under 9,2020,80
BBF Region,Franklin and Grand Isle,Under 9,2021,76
BBF Region,Franklin and Grand Isle,Under 9,2022,62
