geo_type,geography,year,category,percent
State,Vermont,2016,,0.732
State,Vermont,2016,All Students Surveyed,0.818
State,Vermont,2016,Boys,0.774
State,Vermont,2016,Girls,0.866
State,Vermont,2016,Free and Reduced Lunch Eligible,0.732
State,Vermont,2016,Not Free and Reduced Lunch Eligible,0.881
State,Vermont,2016,Attended Publicly Funded PreK,0.854
State,Vermont,2016,Did Not Attend Publicly Funded PreK,0.775
State,Vermont,2017,,0.746
State,Vermont,2017,All Students Surveyed,0.838
State,Vermont,2017,Boys,0.794
State,Vermont,2017,Girls,0.886
State,Vermont,2017,Free and Reduced Lunch Eligible,0.746
State,Vermont,2017,Not Free and Reduced Lunch Eligible,0.905
State,Vermont,2017,Attended Publicly Funded PreK,0.845
State,Vermont,2017,Did Not Attend Publicly Funded PreK,0.822
State,Vermont,2018,,0.743
State,Vermont,2018,1-Not yet ready,0.06
State,Vermont,2018,2-Approaching ready,0.1
State,Vermont,2018,3-Ready and practicing,0.24
State,Vermont,2018,4-Ready and performing independently,0.6
State,Vermont,2018,Total of all students statewide identified as ready,0.84
State,Vermont,2018,All Students Surveyed,0.839
State,Vermont,2018,Boys,0.803
State,Vermont,2018,Girls,0.878
State,Vermont,2018,Free and Reduced Lunch Eligible,0.743
State,Vermont,2018,Not Free and Reduced Lunch Eligible,0.906
State,Vermont,2018,Attended Publicly Funded PreK,0.841
State,Vermont,2018,Did Not Attend Publicly Funded PreK,0.835
State,Vermont,2019,,0.739
State,Vermont,2019,1-Not yet ready,0.06
State,Vermont,2019,2-Approaching ready,0.11
State,Vermont,2019,3-Ready and practicing,0.24
State,Vermont,2019,4-Ready and performing independently,0.59
State,Vermont,2019,Total of all students statewide identified as ready,0.83
State,Vermont,2019,All Students Surveyed,0.829
State,Vermont,2019,Boys,0.782
State,Vermont,2019,Girls,0.882
State,Vermont,2019,Free and Reduced Lunch Eligible,0.739
State,Vermont,2019,Not Free and Reduced Lunch Eligible,0.89
State,Vermont,2019,Attended Publicly Funded PreK,0.829
State,Vermont,2019,Did Not Attend Publicly Funded PreK,0.827
SU/District,Addison Central SD,2019,,0.867
SU/District,Addison Central SD,2019,All Students Surveyed,0.95
SU/District,Addison Central SD,2019,Boys,0.926
SU/District,Addison Central SD,2019,Girls,0.979
SU/District,Addison Central SD,2019,Free and Reduced Lunch Eligible,0.867
SU/District,Addison Central SD,2019,Not Free and Reduced Lunch Eligible,0.986
SU/District,Addison Central SD,2019,Attended Publicly Funded PreK,0.942
SU/District,Addison Central SD,2019,Did Not Attend Publicly Funded PreK,1
SU/District,Addison Northeast SU,2019,,0.922
SU/District,Addison Northeast SU,2019,All Students Surveyed,0.923
SU/District,Addison Northeast SU,2019,Boys,0.878
SU/District,Addison Northeast SU,2019,Girls,100
SU/District,Addison Northeast SU,2019,Free and Reduced Lunch Eligible,0.922
SU/District,Addison Northeast SU,2019,Not Free and Reduced Lunch Eligible,1
SU/District,Addison Northeast SU,2019,Attended Publicly Funded PreK,0.9
SU/District,Addison Northeast SU,2019,Did Not Attend Publicly Funded PreK,1
SU/District,Addison Northwest SD,2019,,0.722
SU/District,Addison Northwest SD,2019,All Students Surveyed,0.789
SU/District,Addison Northwest SD,2019,Boys,0.756
SU/District,Addison Northwest SD,2019,Girls,0.833
SU/District,Addison Northwest SD,2019,Free and Reduced Lunch Eligible,0.722
SU/District,Addison Northwest SD,2019,Not Free and Reduced Lunch Eligible,0.811
SU/District,Addison Northwest SD,2019,Attended Publicly Funded PreK,0.735
SU/District,Addison Northwest SD,2019,Did Not Attend Publicly Funded PreK,0.909
SU/District,Addison Rutland SU,2019,,0.795
SU/District,Addison Rutland SU,2019,All Students Surveyed,0.906
SU/District,Addison Rutland SU,2019,Boys,0.884
SU/District,Addison Rutland SU,2019,Girls,0.929
SU/District,Addison Rutland SU,2019,Free and Reduced Lunch Eligible,0.795
SU/District,Addison Rutland SU,2019,Not Free and Reduced Lunch Eligible,1
SU/District,Addison Rutland SU,2019,Attended Publicly Funded PreK,0.914
SU/District,Addison Rutland SU,2019,Did Not Attend Publicly Funded PreK,0.867
SU/District,Barre SU,2019,,0.569
SU/District,Barre SU,2019,All Students Surveyed,0.649
SU/District,Barre SU,2019,Boys,0.608
SU/District,Barre SU,2019,Girls,0.694
SU/District,Barre SU,2019,Free and Reduced Lunch Eligible,0.569
SU/District,Barre SU,2019,Not Free and Reduced Lunch Eligible,0.722
SU/District,Barre SU,2019,Attended Publicly Funded PreK,0.646
SU/District,Barre SU,2019,Did Not Attend Publicly Funded PreK,0.667
SU/District,Battenkill Valley SU,2019,,0.867
SU/District,Battenkill Valley SU,2019,All Students Surveyed,0.885
SU/District,Battenkill Valley SU,2019,Boys,0.8
SU/District,Battenkill Valley SU,2019,Girls,1
SU/District,Battenkill Valley SU,2019,Free and Reduced Lunch Eligible,0.867
SU/District,Battenkill Valley SU,2019,Not Free and Reduced Lunch Eligible,0.909
SU/District,Battenkill Valley SU,2019,Attended Publicly Funded PreK,1
SU/District,Battenkill Valley SU,2019,Did Not Attend Publicly Funded PreK,0.5
SU/District,Bennington Rutland SU,2019,,0.731
SU/District,Bennington Rutland SU,2019,All Students Surveyed,0.879
SU/District,Bennington Rutland SU,2019,Boys,0.843
SU/District,Bennington Rutland SU,2019,Girls,0.935
SU/District,Bennington Rutland SU,2019,Free and Reduced Lunch Eligible,0.731
SU/District,Bennington Rutland SU,2019,Not Free and Reduced Lunch Eligible,0.922
SU/District,Bennington Rutland SU,2019,Attended Publicly Funded PreK,0.907
SU/District,Bennington Rutland SU,2019,Did Not Attend Publicly Funded PreK,0.737
SU/District,Burlington SD,2019,,0.59
SU/District,Burlington SD,2019,All Students Surveyed,0.699
SU/District,Burlington SD,2019,Boys,0.637
SU/District,Burlington SD,2019,Girls,0.768
SU/District,Burlington SD,2019,Free and Reduced Lunch Eligible,0.59
SU/District,Burlington SD,2019,Not Free and Reduced Lunch Eligible,0.843
SU/District,Burlington SD,2019,Attended Publicly Funded PreK,0.713
SU/District,Burlington SD,2019,Did Not Attend Publicly Funded PreK,0.634
SU/District,Caledonia Central SU,2019,,0.85
SU/District,Caledonia Central SU,2019,All Students Surveyed,0.894
SU/District,Caledonia Central SU,2019,Boys,0.821
SU/District,Caledonia Central SU,2019,Girls,0.947
SU/District,Caledonia Central SU,2019,Free and Reduced Lunch Eligible,0.85
SU/District,Caledonia Central SU,2019,Not Free and Reduced Lunch Eligible,0.913
SU/District,Caledonia Central SU,2019,Attended Publicly Funded PreK,0.9
SU/District,Caledonia Central SU,2019,Did Not Attend Publicly Funded PreK,0.833
SU/District,Central Vermont SU,2019,,0.517
SU/District,Central Vermont SU,2019,All Students Surveyed,0.594
SU/District,Central Vermont SU,2019,Boys,0.571
SU/District,Central Vermont SU,2019,Girls,0.621
SU/District,Central Vermont SU,2019,Free and Reduced Lunch Eligible,0.517
SU/District,Central Vermont SU,2019,Not Free and Reduced Lunch Eligible,0.657
SU/District,Central Vermont SU,2019,Attended Publicly Funded PreK,0.61
SU/District,Central Vermont SU,2019,Did Not Attend Publicly Funded PreK,0.4
SU/District,Champlain Valley SD,2019,,0.75
SU/District,Champlain Valley SD,2019,All Students Surveyed,0.938
SU/District,Champlain Valley SD,2019,Boys,0.932
SU/District,Champlain Valley SD,2019,Girls,0.944
SU/District,Champlain Valley SD,2019,Free and Reduced Lunch Eligible,0.75
SU/District,Champlain Valley SD,2019,Not Free and Reduced Lunch Eligible,0.962
SU/District,Champlain Valley SD,2019,Attended Publicly Funded PreK,0.951
SU/District,Champlain Valley SD,2019,Did Not Attend Publicly Funded PreK,0.861
SU/District,Colchester SD,2019,,0.766
SU/District,Colchester SD,2019,All Students Surveyed,0.843
SU/District,Colchester SD,2019,Boys,0.776
SU/District,Colchester SD,2019,Girls,0.895
SU/District,Colchester SD,2019,Free and Reduced Lunch Eligible,0.766
SU/District,Colchester SD,2019,Not Free and Reduced Lunch Eligible,0.877
SU/District,Colchester SD,2019,Attended Publicly Funded PreK,0.864
SU/District,Colchester SD,2019,Did Not Attend Publicly Funded PreK,0.771
SU/District,Essex North SU,2019,,0.25
SU/District,Essex North SU,2019,All Students Surveyed,0.667
SU/District,Essex North SU,2019,Boys,0.5
SU/District,Essex North SU,2019,Girls,1
SU/District,Essex North SU,2019,Free and Reduced Lunch Eligible,0.25
SU/District,Essex North SU,2019,Not Free and Reduced Lunch Eligible,1
SU/District,Essex North SU,2019,Attended Publicly Funded PreK,0.625
SU/District,Essex North SU,2019,Did Not Attend Publicly Funded PreK,1
SU/District,Essex Westford SD,2019,,0.667
SU/District,Essex Westford SD,2019,All Students Surveyed,0.816
SU/District,Essex Westford SD,2019,Boys,0.758
SU/District,Essex Westford SD,2019,Girls,0.881
SU/District,Essex Westford SD,2019,Free and Reduced Lunch Eligible,0.667
SU/District,Essex Westford SD,2019,Not Free and Reduced Lunch Eligible,0.861
SU/District,Essex Westford SD,2019,Attended Publicly Funded PreK,0.827
SU/District,Essex Westford SD,2019,Did Not Attend Publicly Funded PreK,0.759
SU/District,Franklin Northeast SU,2019,,0.767
SU/District,Franklin Northeast SU,2019,All Students Surveyed,0.841
SU/District,Franklin Northeast SU,2019,Boys,0.754
SU/District,Franklin Northeast SU,2019,Girls,0.929
SU/District,Franklin Northeast SU,2019,Free and Reduced Lunch Eligible,0.767
SU/District,Franklin Northeast SU,2019,Not Free and Reduced Lunch Eligible,0.925
SU/District,Franklin Northeast SU,2019,Attended Publicly Funded PreK,0.838
SU/District,Franklin Northeast SU,2019,Did Not Attend Publicly Funded PreK,0.857
SU/District,Franklin West SU,2019,,0.571
SU/District,Franklin West SU,2019,All Students Surveyed,0.87
SU/District,Franklin West SU,2019,Boys,0.825
SU/District,Franklin West SU,2019,Girls,0.919
SU/District,Franklin West SU,2019,Free and Reduced Lunch Eligible,0.571
SU/District,Franklin West SU,2019,Not Free and Reduced Lunch Eligible,0.9
SU/District,Franklin West SU,2019,Attended Publicly Funded PreK,0.864
SU/District,Franklin West SU,2019,Did Not Attend Publicly Funded PreK,0.909
SU/District,Franklink Northwest,2019,,0.766
SU/District,Franklink Northwest,2019,All Students Surveyed,0.878
SU/District,Franklink Northwest,2019,Boys,0.864
SU/District,Franklink Northwest,2019,Girls,0.891
SU/District,Franklink Northwest,2019,Free and Reduced Lunch Eligible,0.766
SU/District,Franklink Northwest,2019,Not Free and Reduced Lunch Eligible,0.947
SU/District,Franklink Northwest,2019,Attended Publicly Funded PreK,0.879
SU/District,Franklink Northwest,2019,Did Not Attend Publicly Funded PreK,0.875
SU/District,Grand Isle SU,2019,,0
SU/District,Grand Isle SU,2019,All Students Surveyed,0.947
SU/District,Grand Isle SU,2019,Boys,0.929
SU/District,Grand Isle SU,2019,Girls,1
SU/District,Grand Isle SU,2019,Free and Reduced Lunch Eligible,0
SU/District,Grand Isle SU,2019,Not Free and Reduced Lunch Eligible,1
SU/District,Grand Isle SU,2019,Attended Publicly Funded PreK,1
SU/District,Grand Isle SU,2019,Did Not Attend Publicly Funded PreK,0.75
SU/District,Greater Rutland County SU,2019,,0.711
SU/District,Greater Rutland County SU,2019,All Students Surveyed,0.825
SU/District,Greater Rutland County SU,2019,Boys,0.797
SU/District,Greater Rutland County SU,2019,Girls,0.855
SU/District,Greater Rutland County SU,2019,Free and Reduced Lunch Eligible,0.711
