Geo type,Geography,Year,Age,Category,Value
State,Vermont,2022,10 and under,Total population,59173
State,Vermont,2022,All ages,Total population,647064
State,Vermont,2022,10 and under,Hispanic/Latino/a/x,2001
State,Vermont,2022,All ages,Hispanic/Latino/a/x,14857
State,Vermont,2022,10 and under,White,53605
State,Vermont,2022,All ages,White,607189
State,Vermont,2022,10 and under,Black or African American,1277
State,Vermont,2022,All ages,Black or African American,9830
State,Vermont,2022,10 and under,American Indian and Alaska Native,213
State,Vermont,2022,All ages,American Indian and Alaska Native,2546
State,Vermont,2022,10 and under,Asian,1393
State,Vermont,2022,All ages,Asian,13354
State,Vermont,2022,10 and under,Native Hawaiian and Other Pacific Islander,19
State,Vermont,2022,All ages,Native Hawaiian and Other Pacific Islander,250
State,Vermont,2022,10 and under,Two or More Races,2438
State,Vermont,2022,All ages,Two or More Races,13895
State,Vermont,2021,10 and under,Total population,60364
State,Vermont,2021,All ages,Total population,645570
State,Vermont,2021,10 and under,Hispanic/Latino/a/x,1930
State,Vermont,2021,All ages,Hispanic/Latino/a/x,14384
State,Vermont,2021,10 and under,White,54853
State,Vermont,2021,All ages,White,607082
State,Vermont,2021,10 and under,Black or African American,1201
State,Vermont,2021,All ages,Black or African American,9393
State,Vermont,2021,10 and under,American Indian and Alaska Native,225
State,Vermont,2021,All ages,American Indian and Alaska Native,2529
State,Vermont,2021,10 and under,Asian,1391
State,Vermont,2021,All ages,Asian,12962
State,Vermont,2021,10 and under,Native Hawaiian and Other Pacific Islander,25
State,Vermont,2021,All ages,Native Hawaiian and Other Pacific Islander,245
State,Vermont,2021,10 and under,Two or More Races,2669
State,Vermont,2021,All ages,Two or More Races,13359
State,Vermont,2020,10 and under,Total population,61110
State,Vermont,2020,All ages,Total population,642495
State,Vermont,2020,10 and under,Hispanic/Latino/a/x,1923
State,Vermont,2020,All ages,Hispanic/Latino/a/x,13781
State,Vermont,2020,10 and under,White,55630
State,Vermont,2020,All ages,White,604813
State,Vermont,2020,10 and under,Black or African American,1200
State,Vermont,2020,All ages,Black or African American,9175
State,Vermont,2020,10 and under,American Indian and Alaska Native,219
State,Vermont,2020,All ages,American Indian and Alaska Native,2476
State,Vermont,2020,10 and under,Asian,1443
State,Vermont,2020,All ages,Asian,12846
State,Vermont,2020,10 and under,Native Hawaiian and Other Pacific Islander,27
State,Vermont,2020,All ages,Native Hawaiian and Other Pacific Islander,236
State,Vermont,2020,10 and under,Two or More Races,2593
State,Vermont,2020,All ages,Two or More Races,12949
