Geo Type,Geography,Year,Category,Value
State,Vermont,2022,Caseload,3428
State,Vermont,2022,Monthly Maximum Benefits for a Family of 4,1000
State,Vermont,2022,Annual Maximum Benefit for a Family of Four,12000
State,Vermont,2021,Caseload,3125
State,Vermont,2021,Monthly Maximum Benefits for a Family of 4,1000
State,Vermont,2021,Annual Maximum Benefit for a Family of Four,1200
State,Vermont,2020,Caseload,3507
State,Vermont,2020,Monthly Maximum Benefits for a Family of 4,867
State,Vermont,2020,Annual Maximum Benefit for a Family of Four,"10,404"
State,Vermont,2019,Caseload,3599
State,Vermont,2019,Monthly Maximum Benefits for a Family of 4,867
State,Vermont,2019,Annual Maximum Benefit for a Family of Four,10404
State,Vermont,2018,Caseload,3790
State,Vermont,2018,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2018,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2017,Caseload,4078
State,Vermont,2017,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2017,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2016,Caseload,4260
State,Vermont,2016,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2016,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2015,Caseload,4860
State,Vermont,2015,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2015,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2014,Caseload,5669
State,Vermont,2014,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2014,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2013,Caseload,6019
State,Vermont,2013,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2013,Annual Maximum Benefit for a Family of Four,9540
State,Vermont,2012,Caseload,5972
State,Vermont,2012,Monthly Maximum Benefits for a Family of 4,795
State,Vermont,2012,Annual Maximum Benefit for a Family of Four,9540
