geo_type,geography,year,category,value
State,Vermont,2015,homeowner,0.02
State,Vermont,2015,rental,0.041
State,Vermont,2016,homeowner,0.015
State,Vermont,2016,rental,0.038
State,Vermont,2017,homeowner,0.014
State,Vermont,2017,rental,0.038
State,Vermont,2018,homeowner,0.016
State,Vermont,2018,rental,0.051
State,Vermont,2019,homeowner,0.016
State,Vermont,2019,rental,0.045
State,Vermont,2020,homeowner,--
State,Vermont,2020,rental,--
State,Vermont,2021,homeowner,0.006
State,Vermont,2021,rental,0.024
State,Vermont,2022,homeowner,0.01
State,Vermont,2022,rental,0.033
State,Vermont,2023,homeowner,0.005
State,Vermont,2023,rental,0.035
State,Vermont,2024,homeowner,0.003
State,Vermont,2024,rental,0.021
