Geo type,Geography ,Category ,Year,Value
State,Vermont,English All Students,2023,0.489123
State,Vermont,English No Special Ed,2023,0.562872
State,Vermont,English Special Ed,2023,0.139113
State,Vermont,English ELL,2023,0.285714
State,Vermont,English Not ELL,2023,0.4953
State,Vermont,English FRL,2023,0.29062
State,Vermont,English Not FRL,2023,0.592425
State,Vermont,English Foster,2023,0.178571
State,Vermont,English Not Foster,2023,0.492204
State,Vermont,English Female,2023,0.531585
State,Vermont,English Male,2023,0.450718
State,Vermont,English Historically Marginalized,2023,0.314439
State,Vermont,English Not Historically Marginalized,2023,0.658377
State,Vermont,English McKinney Vento Eligible,2023,0.182692
State,Vermont,English Not McKinney Vento Eligible,2023,0.494818
State,Vermont,English Migrant,2023,***
State,Vermont,English Not Migrant,2023,***
State,Vermont,English Military,2023,0.307692
State,Vermont,English Not Military,2023,0.489954
State,Vermont,English American Indian or Alaskan Native,2023,0.404762
State,Vermont,English Asian,2023,0.612903
State,Vermont,English Black,2023,0.327465
State,Vermont,English Hispanic,2023,0.466258
State,Vermont,English Native Hawaiian or Pacific Islander,2023,0.684211
State,Vermont,English White,2023,0.492237
State,Vermont,Math All Students,2023,0.371938
State,Vermont,Math No Special Ed,2023,0.427331
State,Vermont,Math Special Ed,2023,0.109438
State,Vermont,Math ELL,2023,0.212291
State,Vermont,Math Not ELL,2023,0.3771
State,Vermont,Math FRL,2023,0.181586
State,Vermont,Math Not FRL,2023,0.470885
State,Vermont,Math Foster,2023,0.142857
State,Vermont,Math Not Foster,2023,0.374205
State,Vermont,Math Female,2023,0.352227
State,Vermont,Math Male,2023,0.389797
State,Vermont,Math Historically Marginalized,2023,0.215679
State,Vermont,Math Not Historically Marginalized,2023,0.52399
State,Vermont,Math McKinney Vento Eligible,2023,0.095238
State,Vermont,Math Not McKinney Vento Eligible,2023,0.377116
State,Vermont,Math Migrant,2023,***
State,Vermont,Math Not Migrant,2023,***
State,Vermont,Math Military,2023,0.269231
State,Vermont,Math Not Military,2023,0.372408
State,Vermont,Math American Indian or Alaskan Native,2023,0.27907
State,Vermont,Math Asian,2023,0.47619
State,Vermont,Math Black,2023,0.212544
State,Vermont,Math Hispanic,2023,0.309524
State,Vermont,Math Native Hawaiian or Pacific Islander,2023,0.578947
State,Vermont,Math White,2023,0.376638
Supervisory Union/School District,Addison Central SD,English All Students,2023,0.544715
Supervisory Union/School District,Addison Central SD,English No Special Ed,2023,***
Supervisory Union/School District,Addison Central SD,English Special Ed,2023,***
Supervisory Union/School District,Addison Central SD,English ELL,2023,***
Supervisory Union/School District,Addison Central SD,English Not ELL,2023,***
Supervisory Union/School District,Addison Central SD,English FRL,2023,0.212121
Supervisory Union/School District,Addison Central SD,English Not FRL,2023,0.666667
Supervisory Union/School District,Addison Central SD,English Foster,2023,0
Supervisory Union/School District,Addison Central SD,English Not Foster,2023,0.544715
