geo_type,geography,age,category,year,value
State,Vermont,3,Literacy,2018,0.86
State,Vermont,3,Math,2018,0.91
State,Vermont,3,Social Emotional,2018,0.89
State,Vermont,4,Literacy,2018,0.91
State,Vermont,4,Math,2018,0.84
State,Vermont,4,Social Emotional,2018,0.86
Supervisory Union/School District,,3,Literacy,2018,100
Supervisory Union/School District,,3,Math,2018,100
Supervisory Union/School District,,3,Social Emotional,2018,95.45
Supervisory Union/School District,--,3,Literacy,2018,87.5
Supervisory Union/School District,--,3,Math,2018,95.83
Supervisory Union/School District,--,3,Social Emotional,2018,91.67
Supervisory Union/School District,ADDISON CENTRAL SD,3,Literacy,2018,81.08
Supervisory Union/School District,ADDISON CENTRAL SD,3,Math,2018,83.78
Supervisory Union/School District,ADDISON CENTRAL SD,3,Social Emotional,2018,89.19
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Literacy,2018,96.88
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Math,2018,96.88
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Social Emotional,2018,93.75
Supervisory Union/School District,BARRE SD,3,Literacy,2018,88.89
Supervisory Union/School District,BARRE SD,3,Math,2018,94.95
Supervisory Union/School District,BARRE SD,3,Social Emotional,2018,88.89
Supervisory Union/School District,BURLINGTON SD,3,Literacy,2018,76.67
Supervisory Union/School District,BURLINGTON SD,3,Math,2018,85
Supervisory Union/School District,BURLINGTON SD,3,Social Emotional,2018,85
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Literacy,2018,88.89
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Math,2018,91.67
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Social Emotional,2018,94.44
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Literacy,2018,93.51
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Math,2018,93.51
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Social Emotional,2018,93.51
Supervisory Union/School District,COLCHESTER SD,3,Literacy,2018,89.83
Supervisory Union/School District,COLCHESTER SD,3,Math,2018,93.22
Supervisory Union/School District,COLCHESTER SD,3,Social Emotional,2018,91.53
Supervisory Union/School District,ESSEX WESTFORD SD,3,Literacy,2018,86.78
Supervisory Union/School District,ESSEX WESTFORD SD,3,Math,2018,90.08
Supervisory Union/School District,ESSEX WESTFORD SD,3,Social Emotional,2018,87.6
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Literacy,2018,89.29
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Math,2018,96.43
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Social Emotional,2018,92.86
Supervisory Union/School District,FRANKLIN WEST SU,3,Literacy,2018,92.31
Supervisory Union/School District,FRANKLIN WEST SU,3,Math,2018,96.15
Supervisory Union/School District,FRANKLIN WEST SU,3,Social Emotional,2018,98.08
Supervisory Union/School District,GRAND ISLE SU,3,Literacy,2018,56
Supervisory Union/School District,GRAND ISLE SU,3,Math,2018,72
Supervisory Union/School District,GRAND ISLE SU,3,Social Emotional,2018,36
Supervisory Union/School District,HARTFORD SD,3,Literacy,2018,88.89
Supervisory Union/School District,HARTFORD SD,3,Math,2018,92.59
Supervisory Union/School District,HARTFORD SD,3,Social Emotional,2018,88.89
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Literacy,2018,93.75
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Math,2018,95.31
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Social Emotional,2018,95.31
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Literacy,2018,83.67
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Math,2018,95.92
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Social Emotional,2018,85.71
Supervisory Union/School District,MAPLE RUN SD,3,Literacy,2018,76.47
Supervisory Union/School District,MAPLE RUN SD,3,Math,2018,72.55
Supervisory Union/School District,MAPLE RUN SD,3,Social Emotional,2018,76.47
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Literacy,2018,100
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Math,2018,100
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Social Emotional,2018,100
Supervisory Union/School District,MILTON SD,3,Literacy,2018,94.44
Supervisory Union/School District,MILTON SD,3,Math,2018,94.44
Supervisory Union/School District,MILTON SD,3,Social Emotional,2018,97.22
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Literacy,2018,83.08
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Math,2018,87.69
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Social Emotional,2018,81.54
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Literacy,2018,92.86
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Math,2018,95.54
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Social Emotional,2018,94.64
Supervisory Union/School District,NORTH COUNTRY SU,3,Literacy,2018,88.04
Supervisory Union/School District,NORTH COUNTRY SU,3,Math,2018,91.3
Supervisory Union/School District,NORTH COUNTRY SU,3,Social Emotional,2018,95.65
Supervisory Union/School District,ORANGE EAST SU,3,Literacy,2018,96
Supervisory Union/School District,ORANGE EAST SU,3,Math,2018,96
Supervisory Union/School District,ORANGE EAST SU,3,Social Emotional,2018,100
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Literacy,2018,100
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Math,2018,100
