geo_type,geography,year,value
Hospital Service,Barre,2019,0.66
Hospital Service,Bennington,2019,0.64
Hospital Service,Brattleboro,2019,0.63
Hospital Service,Burlington,2019,0.77
Hospital Service,Middlebury,2019,0.71
Hospital Service,Morrisville,2019,0.61
Hospital Service,Newport,2019,0.67
Hospital Service,Randolph,2019,0.71
Hospital Service,Rutland,2019,0.68
Hospital Service,Springfield,2019,0.67
Hospital Service,St Albans,2019,0.72
Hospital Service,St Johnsbury,2019,0.66
Hospital Service,White River Jct,2019,0.73
State,Vermont,2019,0.7
Hospital Service,Barre,2020,0.62
Hospital Service,Bennington,2020,0.6
Hospital Service,Brattleboro,2020,0.49
Hospital Service,Burlington,2020,0.71
Hospital Service,Middlebury,2020,0.62
Hospital Service,Morrisville,2020,0.57
Hospital Service,Newport,2020,0.61
Hospital Service,Randolph,2020,0.62
Hospital Service,Rutland,2020,0.68
Hospital Service,Springfield,2020,0.61
Hospital Service,St Albans,2020,0.61
Hospital Service,St Johnsbury,2020,0.67
Hospital Service,White River Jct,2020,0.65
State,Vermont,2020,0.64
Hospital Service,Barre,2021,0.65
Hospital Service,Bennington,2021,0.64
Hospital Service,Brattleboro,2021,0.59
Hospital Service,Burlington,2021,0.73
Hospital Service,Middlebury,2021,0.66
Hospital Service,Morrisville,2021,0.6
Hospital Service,Newport,2021,0.69
Hospital Service,Randolph,2021,0.69
Hospital Service,Rutland,2021,0.68
Hospital Service,Springfield,2021,0.64
Hospital Service,St Albans,2021,0.69
Hospital Service,St Johnsbury,2021,0.64
Hospital Service,White River Jct,2021,0.67
State,Vermont,2021,0.67
Hospital Service,Barre,2022,0.65
Hospital Service,Bennington,2022,0.67
Hospital Service,Brattleboro,2022,0.56
Hospital Service,Burlington,2022,0.74
Hospital Service,Middlebury,2022,0.73
Hospital Service,Morrisville,2022,0.59
Hospital Service,Newport,2022,0.69
Hospital Service,Randolph,2022,0.65
Hospital Service,Rutland,2022,0.64
Hospital Service,Springfield,2022,0.62
Hospital Service,St Albans,2022,0.69
Hospital Service,St Johnsbury,2022,0.71
Hospital Service,White River Jct,2022,0.71
State,Vermont,2022,0.68
State,Vermont,2023,0.69
Hospital Service,Barre,2023,0.66
Hospital Service,Bennington,2023,0.71
Hospital Service,Brattleboro,2023,0.61
Hospital Service,Burlington,2023,0.75
Hospital Service,Middlebury,2023,0.73
Hospital Service,Morrisville,2023,0.59
Hospital Service,Newport,2023,0.67
Hospital Service,Randolph,2023,0.69
Hospital Service,Rutland,2023,0.64
Hospital Service,Springfield,2023,0.63
Hospital Service,St Albans,2023,0.72
Hospital Service,St Johnsbury,2023,0.64
Hospital Service,White River Jct,2023,0.7
