Geo type,Geography,Year,Category,Value
State,Vermont,2019-01,Women,2341
District,Barre,2019-01,Women,220
District,Bennington,2019-01,Women,184
District,Brattleboro,2019-01,Women,126
District,Burlington,2019-01,Women,493
District,Middlebury,2019-01,Women,127
District,Morrisville,2019-01,Women,148
District,Newport,2019-01,Women,166
District,Rutland,2019-01,Women,240
District,Springfield,2019-01,Women,105
District,St Albans,2019-01,Women,234
District,St Johnsbury,2019-01,Women,149
District,White River Junction,2019-01,Women,149
State,Vermont,2019-01,Infants,2126
District,Barre,2019-01,Infants,207
District,Bennington,2019-01,Infants,189
District,Brattleboro,2019-01,Infants,126
District,Burlington,2019-01,Infants,420
District,Middlebury,2019-01,Infants,110
District,Morrisville,2019-01,Infants,112
District,Newport,2019-01,Infants,171
District,Rutland,2019-01,Infants,203
District,Springfield,2019-01,Infants,97
District,St Albans,2019-01,Infants,227
District,St Johnsbury,2019-01,Infants,131
District,White River Junction,2019-01,Infants,133
State,Vermont,2019-01,Children,6895
District,Barre,2019-01,Children,605
District,Bennington,2019-01,Children,474
District,Brattleboro,2019-01,Children,409
District,Burlington,2019-01,Children,1269
District,Middlebury,2019-01,Children,447
District,Morrisville,2019-01,Children,485
District,Newport,2019-01,Children,487
District,Rutland,2019-01,Children,667
District,Springfield,2019-01,Children,394
District,St Albans,2019-01,Children,657
District,St Johnsbury,2019-01,Children,513
District,White River Junction,2019-01,Children,488
State,Vermont,2019-04,Women,2339
District,Barre,2019-04,Women,202
District,Bennington,2019-04,Women,167
District,Brattleboro,2019-04,Women,128
District,Burlington,2019-04,Women,489
District,Middlebury,2019-04,Women,142
District,Morrisville,2019-04,Women,151
District,Newport,2019-04,Women,181
District,Rutland,2019-04,Women,246
District,Springfield,2019-04,Women,115
District,St Albans,2019-04,Women,223
District,St Johnsbury,2019-04,Women,147
District,White River Junction,2019-04,Women,148
State,Vermont,2019-04,Infants,2114
District,Barre,2019-04,Infants,195
District,Bennington,2019-04,Infants,181
District,Brattleboro,2019-04,Infants,122
District,Burlington,2019-04,Infants,418
District,Middlebury,2019-04,Infants,123
District,Morrisville,2019-04,Infants,128
District,Newport,2019-04,Infants,165
District,Rutland,2019-04,Infants,205
District,Springfield,2019-04,Infants,95
District,St Albans,2019-04,Infants,215
District,St Johnsbury,2019-04,Infants,134
District,White River Junction,2019-04,Infants,133
State,Vermont,2019-04,Children,6785
District,Barre,2019-04,Children,612
District,Bennington,2019-04,Children,453
District,Brattleboro,2019-04,Children,396
District,Burlington,2019-04,Children,1285
District,Middlebury,2019-04,Children,459
District,Morrisville,2019-04,Children,460
District,Newport,2019-04,Children,488
District,Rutland,2019-04,Children,697
District,Springfield,2019-04,Children,379
District,St Albans,2019-04,Children,601
District,St Johnsbury,2019-04,Children,483
District,White River Junction,2019-04,Children,472
State,Vermont,2019-07,Women,2380
District,Barre,2019-07,Women,201
District,Bennington,2019-07,Women,167
District,Brattleboro,2019-07,Women,133
District,Burlington,2019-07,Women,499
District,Middlebury,2019-07,Women,146
District,Morrisville,2019-07,Women,163
District,Newport,2019-07,Women,192
District,Rutland,2019-07,Women,250
District,Springfield,2019-07,Women,116
District,St Albans,2019-07,Women,225
District,St Johnsbury,2019-07,Women,161
District,White River Junction,2019-07,Women,127
State,Vermont,2019-07,Infants,2109
District,Barre,2019-07,Infants,201
District,Bennington,2019-07,Infants,160
District,Brattleboro,2019-07,Infants,125
District,Burlington,2019-07,Infants,407
District,Middlebury,2019-07,Infants,121
District,Morrisville,2019-07,Infants,132
District,Newport,2019-07,Infants,157
District,Rutland,2019-07,Infants,213
District,Springfield,2019-07,Infants,94
District,St Albans,2019-07,Infants,225
District,St Johnsbury,2019-07,Infants,138
District,White River Junction,2019-07,Infants,136
State,Vermont,2019-07,Children,6796
District,Barre,2019-07,Children,618
District,Bennington,2019-07,Children,478
District,Brattleboro,2019-07,Children,404
District,Burlington,2019-07,Children,1307
District,Middlebury,2019-07,Children,446
District,Morrisville,2019-07,Children,444
District,Newport,2019-07,Children,502
District,Rutland,2019-07,Children,688
District,Springfield,2019-07,Children,364
District,St Albans,2019-07,Children,592
District,St Johnsbury,2019-07,Children,489
District,White River Junction,2019-07,Children,464
State,Vermont,2019-10,Women,2377
District,Barre,2019-10,Women,210
District,Bennington,2019-10,Women,160
District,Brattleboro,2019-10,Women,138
District,Burlington,2019-10,Women,469
District,Middlebury,2019-10,Women,134
District,Morrisville,2019-10,Women,178
District,Newport,2019-10,Women,172
District,Rutland,2019-10,Women,254
District,Springfield,2019-10,Women,118
District,St Albans,2019-10,Women,222
District,St Johnsbury,2019-10,Women,173
District,White River Junction,2019-10,Women,149
State,Vermont,2019-10,Infants,2084
District,Barre,2019-10,Infants,188
District,Bennington,2019-10,Infants,152
District,Brattleboro,2019-10,Infants,131
District,Burlington,2019-10,Infants,394
District,Middlebury,2019-10,Infants,126
District,Morrisville,2019-10,Infants,133
District,Newport,2019-10,Infants,155
District,Rutland,2019-10,Infants,218
District,Springfield,2019-10,Infants,85
District,St Albans,2019-10,Infants,216
District,St Johnsbury,2019-10,Infants,145
District,White River Junction,2019-10,Infants,141
State,Vermont,2019-10,Children,6792
District,Barre,2019-10,Children,617
District,Bennington,2019-10,Children,484
District,Brattleboro,2019-10,Children,413
District,Burlington,2019-10,Children,1307
District,Middlebury,2019-10,Children,442
District,Morrisville,2019-10,Children,442
District,Newport,2019-10,Children,492
District,Rutland,2019-10,Children,687
District,Springfield,2019-10,Children,372
District,St Albans,2019-10,Children,594
District,St Johnsbury,2019-10,Children,491
District,White River Junction,2019-10,Children,451
State,Vermont,2020-01,Women,2250
District,Barre,2020-01,Women,206
District,Bennington,2020-01,Women,153
District,Brattleboro,2020-01,Women,120
District,Burlington,2020-01,Women,433
District,Middlebury,2020-01,Women,126
District,Morrisville,2020-01,Women,161
District,Newport,2020-01,Women,165
District,Rutland,2020-01,Women,240
District,Springfield,2020-01,Women,108
District,St Albans,2020-01,Women,226
District,St Johnsbury,2020-01,Women,157
District,White River Junction,2020-01,Women,155
State,Vermont,2020-01,Infants,2041
District,Barre,2020-01,Infants,177
District,Bennington,2020-01,Infants,151
District,Brattleboro,2020-01,Infants,115
District,Burlington,2020-01,Infants,364
District,Middlebury,2020-01,Infants,114
District,Morrisville,2020-01,Infants,141
District,Newport,2020-01,Infants,161
District,Rutland,2020-01,Infants,223
District,Springfield,2020-01,Infants,96
District,St Albans,2020-01,Infants,220
District,St Johnsbury,2020-01,Infants,147
District,White River Junction,2020-01,Infants,132
State,Vermont,2020-01,Children,6639
District,Barre,2020-01,Children,619
District,Bennington,2020-01,Children,453
District,Brattleboro,2020-01,Children,394
District,Burlington,2020-01,Children,1274
District,Middlebury,2020-01,Children,446
District,Morrisville,2020-01,Children,447
District,Newport,2020-01,Children,477
District,Rutland,2020-01,Children,656
District,Springfield,2020-01,Children,354
District,St Albans,2020-01,Children,597
District,St Johnsbury,2020-01,Children,482
District,White River Junction,2020-01,Children,440
State,Vermont,2020-04,Women,2327
District,Barre,2020-04,Women,205
District,Bennington,2020-04,Women,160
District,Brattleboro,2020-04,Women,125
District,Burlington,2020-04,Women,442
District,Middlebury,2020-04,Women,121
District,Morrisville,2020-04,Women,154
District,Newport,2020-04,Women,170
District,Rutland,2020-04,Women,234
District,Springfield,2020-04,Women,120
District,St Albans,2020-04,Women,269
District,St Johnsbury,2020-04,Women,172
District,White River Junction,2020-04,Women,155
State,Vermont,2020-04,Infants,2112
District,Barre,2020-04,Infants,191
District,Bennington,2020-04,Infants,159
District,Brattleboro,2020-04,Infants,117
District,Burlington,2020-04,Infants,359
District,Middlebury,2020-04,Infants,117
District,Morrisville,2020-04,Infants,140
District,Newport,2020-04,Infants,152
District,Rutland,2020-04,Infants,232
District,Springfield,2020-04,Infants,104
District,St Albans,2020-04,Infants,249
District,St Johnsbury,2020-04,Infants,153
District,White River Junction,2020-04,Infants,139
State,Vermont,2020-04,Children,6935
District,Barre,2020-04,Children,641
District,Bennington,2020-04,Children,476
District,Brattleboro,2020-04,Children,411
District,Burlington,2020-04,Children,1375
District,Middlebury,2020-04,Children,435
District,Morrisville,2020-04,Children,471
District,Newport,2020-04,Children,479
District,Rutland,2020-04,Children,662
District,Springfield,2020-04,Children,367
District,St Albans,2020-04,Children,665
District,St Johnsbury,2020-04,Children,492
District,White River Junction,2020-04,Children,461
State,Vermont,2020-07,Women,2276
District,Barre,2020-07,Women,197
District,Bennington,2020-07,Women,163
District,Brattleboro,2020-07,Women,115
District,Burlington,2020-07,Women,444
District,Middlebury,2020-07,Women,128
District,Morrisville,2020-07,Women,133
District,Newport,2020-07,Women,171
District,Rutland,2020-07,Women,263
District,Springfield,2020-07,Women,110
District,St Albans,2020-07,Women,256
District,St Johnsbury,2020-07,Women,152
District,White River Junction,2020-07,Women,144
State,Vermont,2020-07,Infants,2010
District,Barre,2020-07,Infants,167
District,Bennington,2020-07,Infants,157
District,Brattleboro,2020-07,Infants,109
District,Burlington,2020-07,Infants,353
District,Middlebury,2020-07,Infants,101
District,Morrisville,2020-07,Infants,117
District,Newport,2020-07,Infants,156
District,Rutland,2020-07,Infants,225
